Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted tissue (ODiseA)	Human affected cell types	Mouse similar affected cell types
102700	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency"	608958	ADA	Ada	1	1			1	1	Yes	['hematopoietic.stem.cell']	
102900	"Adenosine Triphosphate, Elevated, Of Erythrocytes"	609712	PKLR	Pklr	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
105150	Amyloidosis Vi	604312	CST3	Cst3	1	1			1	1	No		
105650	Diamond-blackfan Anemia 1	603474	RPS19	Rps19	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	156540	MTAP	Mtap	1	1			1	1	Yes	['myeloid.progenitor']	
116860	Cerebral Cavernous Malformations	604214	KRIT1	Krit1	1	1	PS116860	Cerebral cavernous malformations	1	1	No		
116920	"Leukocyte Adhesion Deficiency, Type I"	600065	ITGB2	Itgb2	1	1			1	1	Yes		
120100	Familial Cold Inflammatory Syndrome 1	606416	NLRP3	Nlrp3	1	1	PS120100	Familial cold autoinflammatory syndrome	1	1	Yes		
122470	Cornelia De Lange Syndrome 1	608667	NIPBL	Nipbl	1	1	PS122470	Cornelia de Lange syndrome	1	1	No		
122700	Coumarin Resistance	601130	CYP2C9	Cyp2c65	1	1			0	0	No		
122700	Coumarin Resistance	601130	CYP2C9	Cyp2c66	1	1			0	0	No		
122700	Coumarin Resistance	608547	VKORC1	Vkorc1	1	1			1	1	No		
122700	Coumarin Resistance	122720	CYP2A6	Cyp2a4	1	1			0	0	No		
122700	Coumarin Resistance	122720	CYP2A6	Cyp2a5	1	1			0	0	No		
124000	Mitochondrial Complex Iii Deficiency	603647	BCS1L	Bcs1l	1	1	PS124000	"Mitochondrial complex III deficiency, nuclear type"	1	1	No		
124900	"Deafness, Autosomal Dominant Nonsyndromic Sensorineural 1"	602121	DIAPH1	Diaph1	1	1	PS124900	"Deafness, autosomal dominant"	1	0			
127000	"Kenny-caffey Syndrome, Type 2"	615292	FAM111A	Fam111a	1	1	PS127000	Kenny-Caffey syndrome	1	1	Yes		
127550	"Dyskeratosis Congenita, Autosomal Dominant"	602322	TERC		1	1	PS127550	Dyskeratosis congenita	0	0	Yes		
130000	"Ehlers-danlos Syndrome, Type I"	120215	COL5A1	Col5a1	1	1	PS130000	Ehlers-Danlos syndrome	1	1	No		
130010	"Ehlers-danlos Syndrome, Classic Type, 2"	120190	COL5A2	Col5a2	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
130050	"Ehlers-danlos Syndrome, Vascular Type"	120180	COL3A1	Col3a1	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
130060	"Ehlers-danlos Syndrome, Type Vii, Autosomal Dominant"	120150	COL1A1	Col1a1	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
130080	"Ehlers-danlos Syndrome, Periodontal Type, 1"	613785	C1R	C1rb	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
130080	"Ehlers-danlos Syndrome, Periodontal Type, 1"	613785	C1R	C1ra	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
130600	Elliptocytosis 2	182860	SPTA1	Spta1	1	1			1	0			
131300	Camurati-engelmann Disease	190180	TGFB1	Tgfb1	1	1			0	1	Yes		
131950	"Epidermolysis Bullosa Simplex, Ogna Type"	601282	PLEC	Plec	1	1			1	1	No		
133100	"Erythrocytosis, Familial, 1"	133171	EPOR	Epor	1	1	PS133100	"Erythrocytosis, familial"	1	1	Yes		
