Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted (ODiseA)	Human affected cell types	Mouse similar affected cell types
100300	Adams-oliver Syndrome	610911	ARHGAP31	Arhgap31	1	1	PS100300	Adams-Oliver syndrome	1	1	No		
102700	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency"	608958	ADA	Ada	1	1			1	1	Yes	['plasmacytoid.dendritic.cell']	
108900	Atrial Septal Defect With Atrioventricular Conduction Defects	600584	NKX2-5	Nkx2-5	1	1	PS108800	Atrial septal defect	0	0			
115197	"Cardiomyopathy, Familial Hypertrophic, 4"	600958	MYBPC3	Mybpc3	1	1	PS192600	"Cardiomyopathy, familial hypertrophic"	0	0			
118450	Alagille Syndrome 1	601920	JAG1	Jag1	1	1	PS118450	Alagille syndrome	1	1	No		
122470	Cornelia De Lange Syndrome 1	608667	NIPBL	Nipbl	1	1	PS122470	Cornelia de Lange syndrome	1	1	Yes	['neutrophil']	
123700	"Cutis Laxa, Autosomal Dominant 1"	130160	ELN		1	1	PS123700	Cutis laxa	1	0		"['adventitial.cell', 'alveolar.fibroblast']"	
127550	"Dyskeratosis Congenita, Autosomal Dominant"	602322	TERC		1	1	PS127550	Dyskeratosis congenita	0	0		['bronchial.vessel.endothelial.cell']	
130000	"Ehlers-danlos Syndrome, Type I"	120215	COL5A1	Col5a1	1	1	PS130000	Ehlers-Danlos syndrome	1	1	No		
130010	"Ehlers-danlos Syndrome, Classic Type, 2"	120190	COL5A2	Col5a2	1	1	PS130000	Ehlers-Danlos syndrome	1	1	No		
