Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted (ODiseA)	Human affected cell types	Mouse similar affected cell types
100100	"Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism"	118494	CHRM3	Chrm3	1	1			1	0			
100300	Adams-oliver Syndrome	610911	ARHGAP31	Arhgap31	1	1	PS100300	Adams-Oliver syndrome	1	1		['capillary.endothelial.cell']	
100800	Achondroplasia	134934	FGFR3	Fgfr3	1	1			0	1			
103050	Adenylosuccinase Deficiency	608222	ADSL	Adsl	1	1			1	1		['fast.muscle.cell']	['striated.muscle.cell']
105120	Amyloidosis V	137350	GSN	Gsn	1	1			1	1		['mesenchymal.stem.cell']	['skeletal.muscle.fibroblast..fibroblast']
105210	"Amyloidosis, Hereditary, Transthyretin-related"	176300	TTR	Ttr	1	1			0	0			
105400	Amyotrophic Lateral Sclerosis 1	601143	DCTN1	Dctn1	1	1	PS105400	Amyotrophic lateral sclerosis	1	1			
105400	Amyotrophic Lateral Sclerosis 1	170710	PRPH	Prph	1	1	PS105400	Amyotrophic lateral sclerosis	1	1			
105400	Amyotrophic Lateral Sclerosis 1	147450	SOD1	Sod1	1	1	PS105400	Amyotrophic lateral sclerosis	1	1			
105400	Amyotrophic Lateral Sclerosis 1	162230	NEFH	Nefh	1	1	PS105400	Amyotrophic lateral sclerosis	0	0			
105500	Amyotrophic Lateral Sclerosis-parkinsonism/dementia Complex 1	605692	TRPM7	Trpm7	1	1			1	1			
105550	Amyotrophic Lateral Sclerosis And/or Frontotemporal Dementia 1	614260	C9orf72	C9orf72	1	1	PS105400	Amyotrophic lateral sclerosis	1	0			
105550	Amyotrophic Lateral Sclerosis And/or Frontotemporal Dementia 1	614260	C9orf72	C9orf72	1	1	PS105550	Frontotemporal dementia and/or Amyotrophic Lateral Sclerosis	1	0			
105830	Angelman Syndrome	601623	UBE3A	Ube3a	1	1			1	1			
108120	"Arthrogryposis, Distal, Type 1a"	190990	TPM2		1	1	PS108120	"Arthrogryposis, distal"	1	0		['fast.muscle.cell']	['striated.muscle.cell']
