Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted (ODiseA)	Human affected cell types	Mouse similar affected cell types
102700	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency"	608958	ADA	Ada	1	1			1	1		"['macrophage', 'nk.cell']"	
105200	"Amyloidosis, Familial Visceral"	134820	FGA	Fga	1	1			0	0			
105200	"Amyloidosis, Familial Visceral"	107680	APOA1	Apoa1	1	1			0	0			
105200	"Amyloidosis, Familial Visceral"	153450	LYZ	Lyz1	1	1			1	1			
105200	"Amyloidosis, Familial Visceral"	153450	LYZ	Lyz2	1	1			1	1			
105200	"Amyloidosis, Familial Visceral"	109700	B2M	B2m	1	1			1	1			
115150	Cardiofaciocutaneous Syndrome 1	164757	BRAF	Braf	1	1	PS115150	Cardiofaciocutaneous syndrome	1	0			
121300	Coproporphyria	612732	CPOX	Cpox	1	1			1	1		['erythrocyte']	
133100	"Erythrocytosis, Familial, 1"	133171	EPOR	Epor	1	1	PS133100	"Erythrocytosis, familial"	1	0			
133180	"Erythroleukemia, Familial, Susceptibility To"	190151	ERBB3	Erbb3	1	1			0	0			
133540	"Cockayne Syndrome, Type B"	609413	ERCC6	Ercc6	1	1			1	0			
135500	Zimmermann-laband Syndrome 1	603305	KCNH1	Kcnh1	1	1	PS135500	Zimmermann-Laband syndrome	0	0			
139090	Gray Platelet Syndrome	614169	NBEAL2	Nbeal2	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1		"['intermediate.monocyte', 'neutrophil']"	
150550	"Periodic Fever, Immunodeficiency, And Thrombocytopenia Syndrome"	604734	WDR1	Wdr1	1	1			1	1		['platelet']	
153670	"Bernard-soulier Syndrome, Benign Autosomal Dominant"	606672	GP1BA	Gp1ba	1	1			1	0			
164280	Feingold Syndrome	164840	MYCN	Mycn	1	1	PS164280	Feingold syndrome	0	0			
170100	Prolidase Deficiency	613230	PEPD	Pepd	1	1			1	1		"['classical.monocyte', 'macrophage']"	['plasmacytoid.dendritic.cell']
181000	"Sarcoidosis, Susceptibility To, 1"	142857	HLA-DRB1		1	1			1	0			
182900	"Spherocytosis, Hereditary"	612641	ANK1	Ank1	1	1			1	0			
185000	Overhydrated Hereditary Stomatocytosis	180297	RHAG	Rhag	1	1			1	0			
185020	Cryohydrocytosis	109270	SLC4A1	Slc4a1	1	1			1	0			
185070	Stormorken Syndrome	605921	STIM1	Stim1	1	1			1	1		['platelet']	
187950	Thrombocythemia 1	600044	THPO	Thpo	1	1	PS187950	Thrombocythemia	0	0			
194380	Dehydrated Hereditary Stomatocytosis With Or Without Pseudohyperkalemiaand/or Perinatal Edema	611184	PIEZO1	Piezo1	1	1			1	0			
201000	Carpenter Syndrome	606144	RAB23	Rab23	1	1	PS201000	Carpenter syndrome	0	0			
201100	"Acrodermatitis Enteropathica, Zinc-deficiency Type"	607059	SLC39A4	Slc39a4	1	1			1	1		['platelet']	
