"Bone marrow"	"Lung"	"value"
"381"	"nampt.neutrophil"	"neutrophil"	0.395484340859432
"382"	"neutrophil"	"neutrophil"	0.253760627861347
"448"	"plasma.cell"	"plasma.cell"	0.244604316546763
"399"	"nk.cell"	"nk.cell"	0.213566507684155
"2"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.182960893854749
"17"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.161073825503356
"408"	"macrophage"	"non.classical.monocyte"	0.151248164464024
"280"	"macrophage"	"intermediate.monocyte"	0.141891891891892
"73"	"memory.b.cell"	"b.cell"	0.131528046421663
"184"	"macrophage"	"classical.monocyte"	0.129476584022039
"15"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.126582278481013
"18"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.108064516129032
"410"	"monocyte"	"non.classical.monocyte"	0.101239669421488
"76"	"naive.b.cell"	"b.cell"	0.0976470588235294
"328"	"macrophage"	"macrophage"	0.0886889460154242
"533"	"erythroid.progenitor"	"smooth.muscle.cell"	0.0844636251541307
"186"	"monocyte"	"classical.monocyte"	0.0838095238095238
"282"	"monocyte"	"intermediate.monocyte"	0.08
"133"	"erythroid.progenitor"	"bronchial.vessel.endothelial.cell"	0.0714285714285714
"371"	"cd24.neutrophil"	"neutrophil"	0.069837447320891
"139"	"myeloid.progenitor"	"bronchial.vessel.endothelial.cell"	0.0635424940428912
"1"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0625978090766823
"217"	"memory.b.cell"	"dendritic.cell"	0.0601941747572816
"386"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0593768371546149
"460"	"naive.b.cell"	"plasmacytoid.dendritic.cell"	0.0520728008088979
"539"	"myeloid.progenitor"	"smooth.muscle.cell"	0.0493670886075949
"216"	"macrophage"	"dendritic.cell"	0.0491132332878581
"190"	"neutrophil"	"classical.monocyte"	0.046594982078853
"311"	"hematopoietic.stem.cell"	"lung.microvascular.endothelial.cell"	0.0461538461538462
"103"	"hematopoietic.stem.cell"	"basophil"	0.0455089820359281
"330"	"monocyte"	"macrophage"	0.0437828371278459
"469"	"erythroid.progenitor"	"pulmonary.ionocyte"	0.041696364932288
"179"	"cd24.neutrophil"	"classical.monocyte"	0.0415400202634245
"189"	"nampt.neutrophil"	"classical.monocyte"	0.0410347903657449
"475"	"myeloid.progenitor"	"pulmonary.ionocyte"	0.0390279823269514
"231"	"hematopoietic.stem.cell"	"endothelial.cell.of.artery"	0.0388446215139442
"463"	"nk.cell"	"plasmacytoid.dendritic.cell"	0.0377855887521968
"55"	"hematopoietic.stem.cell"	"alveolar.fibroblast"	0.0374115267947422
"363"	"myeloid.progenitor"	"myofibroblast.cell"	0.0362821035466775
"431"	"nk.cell"	"pericyte.cell"	0.0361663652802893
"244"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0357954545454545
"275"	"cd24.neutrophil"	"intermediate.monocyte"	0.0353982300884956
"31"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0352422907488987
"390"	"granulocyte"	"nk.cell"	0.0348970251716247
"107"	"myeloid.progenitor"	"basophil"	0.0334975369458128
"583"	"hematopoietic.stem.cell"	"vascular.associated.smooth.muscle.cell"	0.032034632034632
"423"	"hematopoietic.stem.cell"	"pericyte.cell"	0.0314842578710645
"451"	"cd24.neutrophil"	"plasmacytoid.dendritic.cell"	0.0314585319351764
"151"	"hematopoietic.stem.cell"	"capillary.aerocyte"	0.0313588850174216
"167"	"hematopoietic.stem.cell"	"capillary.endothelial.cell"	0.0310283687943262
"599"	"hematopoietic.stem.cell"	"vein.endothelial.cell"	0.0309555854643338
"357"	"erythroid.progenitor"	"myofibroblast.cell"	0.030811232449298
"251"	"myeloid.progenitor"	"endothelial.cell.of.lymphatic.vessel"	0.0305584826132771
"453"	"erythroid.progenitor"	"plasmacytoid.dendritic.cell"	0.0305206463195691
"159"	"nk.cell"	"capillary.aerocyte"	0.0303643724696356
"259"	"cd24.neutrophil"	"fibroblast"	0.0303246521584017
"175"	"nk.cell"	"capillary.endothelial.cell"	0.0300957592339261
"220"	"naive.b.cell"	"dendritic.cell"	0.0299539170506912
"271"	"nk.cell"	"fibroblast"	0.0296963630296964
