"Bone marrow"	"Skeletal muscle"	"value"
"175"	"nk.cell"	"mature.nk.t.cell"	0.171484888304862
"100"	"erythrocyte"	"erythrocyte"	0.140767824497258
"136"	"macrophage"	"macrophage"	0.113057324840764
"141"	"nampt.neutrophil"	"macrophage"	0.103731815306768
"17"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.103174603174603
"142"	"neutrophil"	"macrophage"	0.0791100123609394
"34"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0743670886075949
"162"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0729080364540182
"245"	"erythroid.progenitor"	"slow.muscle.cell"	0.0672696438665913
"235"	"myeloid.progenitor"	"skeletal.muscle.satellite.stem.cell"	0.0649606299212598
"274"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0630733944954128
"273"	"cd4.positive..alpha.beta.t.cell"	"t.cell"	0.0630252100840336
"138"	"monocyte"	"macrophage"	0.061054579093432
"117"	"erythroid.progenitor"	"fast.muscle.cell"	0.059672131147541
"287"	"nk.cell"	"t.cell"	0.0567587752053772
"18"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0540540540540541
"131"	"cd24.neutrophil"	"macrophage"	0.0538057742782152
"33"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0536082474226804
"47"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0456989247311828
"286"	"neutrophil"	"t.cell"	0.0446497305619707
"229"	"erythroid.progenitor"	"skeletal.muscle.satellite.stem.cell"	0.0395430579964851
"199"	"hematopoietic.stem.cell"	"mesothelial.cell"	0.0381619937694704
"55"	"hematopoietic.stem.cell"	"endothelial.cell.of.artery"	0.0362790697674419
"174"	"neutrophil"	"mature.nk.t.cell"	0.0354141656662665
"159"	"nk.cell"	"mast.cell"	0.0344599072233267
"285"	"nampt.neutrophil"	"t.cell"	0.034324942791762
"284"	"naive.b.cell"	"t.cell"	0.0337283500455789
"157"	"nampt.neutrophil"	"mast.cell"	0.0337233310392292
"7"	"hematopoietic.stem.cell"	"capillary.endothelial.cell"	0.033041788143829
"151"	"hematopoietic.stem.cell"	"mast.cell"	0.0322033898305085
"304"	"plasma.cell"	"tendon.cell"	0.0321592649310873
"155"	"myeloid.progenitor"	"mast.cell"	0.0318282753515914
"61"	"nampt.neutrophil"	"endothelial.cell.of.artery"	0.0309734513274336
"71"	"hematopoietic.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0306513409961686
"91"	"myeloid.progenitor"	"endothelial.cell.of.vascular.tree"	0.0299345182413471
"267"	"myeloid.progenitor"	"smooth.muscle.cell"	0.029082774049217
"263"	"hematopoietic.stem.cell"	"smooth.muscle.cell"	0.0290598290598291
"275"	"cd24.neutrophil"	"t.cell"	0.0287404902789518
"140"	"naive.b.cell"	"macrophage"	0.0283592167454423
