"Bone marrow"	"Spleen"	"value"
"116"	"erythrocyte"	"erythrocyte"	0.51888341543514
"285"	"nampt.neutrophil"	"neutrophil"	0.478365384615385
"320"	"plasma.cell"	"plasma.cell"	0.409340659340659
"163"	"cd24.neutrophil"	"intermediate.monocyte"	0.361631753031974
"236"	"naive.b.cell"	"naive.b.cell"	0.296851574212894
"286"	"neutrophil"	"neutrophil"	0.281054823039556
"303"	"nk.cell"	"nk.cell"	0.251805985552116
"217"	"memory.b.cell"	"memory.b.cell"	0.220735785953177
"88"	"macrophage"	"classical.monocyte"	0.209876543209877
"241"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.203619909502262
"17"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.163366336633663
"174"	"neutrophil"	"intermediate.monocyte"	0.152556580050293
"133"	"erythroid.progenitor"	"hematopoietic.stem.cell"	0.142660234321158
"54"	"granulocyte"	"cd8.positive..alpha.beta.t.cell"	0.139389193422083
"90"	"monocyte"	"classical.monocyte"	0.131634819532909
"184"	"macrophage"	"macrophage"	0.131212723658052
"139"	"myeloid.progenitor"	"hematopoietic.stem.cell"	0.125813449023861
"353"	"cd4.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.123359580052493
"233"	"memory.b.cell"	"naive.b.cell"	0.121475054229935
"258"	"cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.121212121212121
"53"	"erythroid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.121103117505995
"336"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.110294117647059
"370"	"cd8.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.102161100196464
"220"	"naive.b.cell"	"memory.b.cell"	0.100308641975309
"186"	"monocyte"	"macrophage"	0.0977722772277228
"134"	"granulocyte"	"hematopoietic.stem.cell"	0.0865384615384615
"383"	"nk.cell"	"type.i.nk.t.cell"	0.0715015321756895
"271"	"nk.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0702127659574468
"347"	"myeloid.progenitor"	"platelet"	0.0674544559330379
"34"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0666666666666667
"325"	"erythroid.progenitor"	"plasmacytoid.dendritic.cell"	0.0650710545998504
"354"	"cd8.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.0623885918003565
"117"	"erythroid.progenitor"	"erythrocyte"	0.0584474885844749
"207"	"nk.cell"	"mature.nk.t.cell"	0.0564516129032258
"151"	"hematopoietic.stem.cell"	"innate.lymphoid.cell"	0.0552208835341365
"194"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0526315789473684
"131"	"cd24.neutrophil"	"hematopoietic.stem.cell"	0.0524137931034483
"340"	"erythrocyte"	"platelet"	0.0495100567302733
"135"	"hematopoietic.stem.cell"	"hematopoietic.stem.cell"	0.0485952923310554
"103"	"hematopoietic.stem.cell"	"endothelial.cell"	0.0482388973966309
"5"	"erythroid.progenitor"	"cd1c.positive.myeloid.dendritic.cell"	0.0475302889095993
"107"	"myeloid.progenitor"	"endothelial.cell"	0.0474478792235802
"59"	"myeloid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.0442739079102715
"72"	"macrophage"	"cd141.positive.myeloid.dendritic.cell"	0.0439093484419263
"159"	"nk.cell"	"innate.lymphoid.cell"	0.0434131736526946
"341"	"erythroid.progenitor"	"platelet"	0.0432183908045977
"343"	"hematopoietic.stem.cell"	"platelet"	0.0418410041841004
"275"	"cd24.neutrophil"	"neutrophil"	0.0396099939061548
"73"	"memory.b.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0383838383838384
"350"	"neutrophil"	"platelet"	0.0383036935704514
"173"	"nampt.neutrophil"	"intermediate.monocyte"	0.0377643504531722
"339"	"cd24.neutrophil"	"platelet"	0.036372453928225
"76"	"naive.b.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0360576923076923
"332"	"naive.b.cell"	"plasmacytoid.dendritic.cell"	0.0359897172236504
"351"	"nk.cell"	"platelet"	0.0331858407079646
"99"	"cd24.neutrophil"	"endothelial.cell"	0.031484794275492
"326"	"granulocyte"	"plasmacytoid.dendritic.cell"	0.0295918367346939
"145"	"cd4.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.0292887029288703
"349"	"nampt.neutrophil"	"platelet"	0.0289330922242315
"329"	"memory.b.cell"	"plasmacytoid.dendritic.cell"	0.028673835125448
"110"	"neutrophil"	"endothelial.cell"	0.0282312925170068
"344"	"macrophage"	"platelet"	0.0266098988823842
