"Bone marrow"	"Tongue"	"value"
"98"	"cd8.positive..alpha.beta.t.cell"	"immune.cell"	0.0986046511627907
"111"	"nk.cell"	"immune.cell"	0.0691864189622037
"109"	"nampt.neutrophil"	"immune.cell"	0.0662251655629139
"97"	"cd4.positive..alpha.beta.t.cell"	"immune.cell"	0.0640756302521008
"110"	"neutrophil"	"immune.cell"	0.0515665796344648
"69"	"erythroid.progenitor"	"epithelial.cell"	0.049665711556829
"149"	"erythroid.progenitor"	"schwann.cell"	0.0451900034234851
"46"	"neutrophil"	"endothelial.cell.of.artery"	0.0411985018726592
"72"	"macrophage"	"epithelial.cell"	0.0411522633744856
"159"	"nk.cell"	"schwann.cell"	0.0407073740407074
"155"	"myeloid.progenitor"	"schwann.cell"	0.0405357772294677
"108"	"naive.b.cell"	"immune.cell"	0.0365944734876774
"47"	"nk.cell"	"endothelial.cell.of.artery"	0.0360144057623049
"104"	"macrophage"	"immune.cell"	0.0352459016393443
"70"	"granulocyte"	"epithelial.cell"	0.0332326283987915
"105"	"memory.b.cell"	"immune.cell"	0.0327706057596822
"43"	"myeloid.progenitor"	"endothelial.cell.of.artery"	0.0324503311258278
"35"	"cd24.neutrophil"	"endothelial.cell.of.artery"	0.0324324324324324
"158"	"neutrophil"	"schwann.cell"	0.030986864264062
"39"	"hematopoietic.stem.cell"	"endothelial.cell.of.artery"	0.0305514157973174
"99"	"cd24.neutrophil"	"immune.cell"	0.0301120448179272
"6"	"granulocyte"	"basal.cell"	0.029673590504451
"52"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0281569965870307
"165"	"erythroid.progenitor"	"tongue.muscle.cell"	0.0279187817258883
"139"	"myeloid.progenitor"	"pericyte.cell"	0.0271828665568369
"135"	"hematopoietic.stem.cell"	"pericyte.cell"	0.0268456375838926
"147"	"cd24.neutrophil"	"schwann.cell"	0.0263527758257203
"148"	"erythrocyte"	"schwann.cell"	0.0262104113578449
"60"	"naive.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0259849119865884
"171"	"myeloid.progenitor"	"tongue.muscle.cell"	0.0257826887661142
"55"	"hematopoietic.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0255957634598411
"45"	"nampt.neutrophil"	"endothelial.cell.of.artery"	0.0252152521525215
"156"	"naive.b.cell"	"schwann.cell"	0.0245487364620939
"36"	"erythrocyte"	"endothelial.cell.of.artery"	0.0244252873563218
"31"	"nk.cell"	"capillary.endothelial.cell"	0.0241935483870968
"106"	"monocyte"	"immune.cell"	0.0232558139534884
"80"	"plasma.cell"	"epithelial.cell"	0.022887323943662
"20"	"erythrocyte"	"capillary.endothelial.cell"	0.0221285563751317
"157"	"nampt.neutrophil"	"schwann.cell"	0.0220440881763527
"115"	"cd24.neutrophil"	"keratinocyte"	0.0218905472636816
"151"	"hematopoietic.stem.cell"	"schwann.cell"	0.0217151269782849
"44"	"naive.b.cell"	"endothelial.cell.of.artery"	0.0212014134275618
"51"	"cd24.neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.02109375
"19"	"cd24.neutrophil"	"capillary.endothelial.cell"	0.020952380952381
"23"	"hematopoietic.stem.cell"	"capillary.endothelial.cell"	0.0209251101321586
"88"	"macrophage"	"fibroblast"	0.0209059233449477
"59"	"myeloid.progenitor"	"endothelial.cell.of.lymphatic.vessel"	0.0205949656750572
"87"	"hematopoietic.stem.cell"	"fibroblast"	0.0205850487540628
"152"	"macrophage"	"schwann.cell"	0.0203083866115081
"11"	"myeloid.progenitor"	"basal.cell"	0.0202429149797571
"5"	"erythroid.progenitor"	"basal.cell"	0.0202391904323827
"26"	"monocyte"	"capillary.endothelial.cell"	0.0199667221297837
"37"	"erythroid.progenitor"	"endothelial.cell.of.artery"	0.0196560196560197
"167"	"hematopoietic.stem.cell"	"tongue.muscle.cell"	0.0195652173913043
"143"	"nk.cell"	"pericyte.cell"	0.0194664744051911
"30"	"neutrophil"	"capillary.endothelial.cell"	0.0193439865433137
"53"	"erythroid.progenitor"	"endothelial.cell.of.lymphatic.vessel"	0.0191218130311615
"183"	"hematopoietic.stem.cell"	"vein.endothelial.cell"	0.0190615835777126
"63"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.018957345971564
"24"	"macrophage"	"capillary.endothelial.cell"	0.0188679245283019
"3"	"cd24.neutrophil"	"basal.cell"	0.0187695516162669
"186"	"monocyte"	"vein.endothelial.cell"	0.018716577540107
"4"	"erythrocyte"	"basal.cell"	0.0186263096623981
"56"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0175925925925926
"117"	"erythroid.progenitor"	"keratinocyte"	0.0175592625109745
"141"	"nampt.neutrophil"	"pericyte.cell"	0.0172672672672673
"100"	"erythrocyte"	"immune.cell"	0.0170876671619614
"18"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0169050715214564
"61"	"nampt.neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0168776371308017
"29"	"nampt.neutrophil"	"capillary.endothelial.cell"	0.0167926112510495
"132"	"erythrocyte"	"pericyte.cell"	0.0164233576642336
"118"	"granulocyte"	"keratinocyte"	0.0163934426229508
"14"	"neutrophil"	"basal.cell"	0.0163785259326661
"90"	"monocyte"	"fibroblast"	0.0161812297734628
"142"	"neutrophil"	"pericyte.cell"	0.0157303370786517
"27"	"myeloid.progenitor"	"capillary.endothelial.cell"	0.0156537753222836
"28"	"naive.b.cell"	"capillary.endothelial.cell"	0.0154004106776181
"120"	"macrophage"	"keratinocyte"	0.0148698884758364
"125"	"nampt.neutrophil"	"keratinocyte"	0.0147954743255004
"184"	"macrophage"	"vein.endothelial.cell"	0.014446227929374
"133"	"erythroid.progenitor"	"pericyte.cell"	0.0142964635063958
