"Bone marrow"	"Trachea"	"value"
"237"	"nampt.neutrophil"	"neutrophil"	0.376674546887313
"256"	"plasma.cell"	"plasma.cell"	0.342592592592593
"238"	"neutrophil"	"neutrophil"	0.233592095977417
"28"	"naive.b.cell"	"b.cell"	0.20076726342711
"66"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.152737752161383
"25"	"memory.b.cell"	"b.cell"	0.145348837209302
"184"	"macrophage"	"macrophage"	0.139737991266376
"79"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.124890829694323
"49"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.112980769230769
"186"	"monocyte"	"macrophage"	0.0937931034482759
"127"	"nk.cell"	"double.positive..alpha.beta.thymocyte"	0.0751043115438109
"227"	"cd24.neutrophil"	"neutrophil"	0.0684385382059801
"50"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0551839464882943
"306"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0547045951859956
"65"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0515806988352745
"305"	"cd4.positive..alpha.beta.t.cell"	"t.cell"	0.0501672240802676
"135"	"hematopoietic.stem.cell"	"endothelial.cell"	0.0498595505617977
"114"	"cd8.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0468839336763865
"319"	"nk.cell"	"t.cell"	0.04638619201726
"179"	"cd24.neutrophil"	"macrophage"	0.0442035029190992
"165"	"erythroid.progenitor"	"ionocyte"	0.0422053231939164
"203"	"myeloid.progenitor"	"mast.cell"	0.0414250207125104
"54"	"granulocyte"	"cd4.positive..alpha.beta.t.cell"	0.0390879478827362
"37"	"erythroid.progenitor"	"basal.cell"	0.038550501156515
"43"	"myeloid.progenitor"	"basal.cell"	0.0383333333333333
"16"	"plasma.cell"	"goblet.cell"	0.0380794701986755
"103"	"hematopoietic.stem.cell"	"connective.tissue.cell"	0.0345514950166113
"232"	"macrophage"	"neutrophil"	0.033210332103321
"175"	"nk.cell"	"ionocyte"	0.0331247699668752
"143"	"nk.cell"	"endothelial.cell"	0.0320044918585065
"117"	"erythroid.progenitor"	"double.positive..alpha.beta.thymocyte"	0.0315934065934066
"293"	"erythroid.progenitor"	"smooth.muscle.cell"	0.0315018315018315
"63"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0313364055299539
"295"	"hematopoietic.stem.cell"	"smooth.muscle.cell"	0.0309936189608022
"182"	"granulocyte"	"macrophage"	0.0308510638297872
"299"	"myeloid.progenitor"	"smooth.muscle.cell"	0.0307570977917981
"164"	"erythrocyte"	"ionocyte"	0.0304151253596383
"207"	"nk.cell"	"mast.cell"	0.0303907380607815
"211"	"cd24.neutrophil"	"mucus.secreting.cell"	0.02997002997003
"107"	"myeloid.progenitor"	"connective.tissue.cell"	0.029708853238265
"199"	"hematopoietic.stem.cell"	"mast.cell"	0.0295238095238095
"163"	"cd24.neutrophil"	"ionocyte"	0.0291913214990138
"136"	"macrophage"	"endothelial.cell"	0.028735632183908
"139"	"myeloid.progenitor"	"endothelial.cell"	0.0283076923076923
"126"	"neutrophil"	"double.positive..alpha.beta.thymocyte"	0.0277272727272727
"133"	"erythroid.progenitor"	"endothelial.cell"	0.0266512166859791
"111"	"nk.cell"	"connective.tissue.cell"	0.0264721772015127
"249"	"memory.b.cell"	"plasma.cell"	0.0263157894736842
"138"	"monocyte"	"endothelial.cell"	0.0260642919200695
"85"	"erythroid.progenitor"	"ciliated.cell"	0.026027913994719
"196"	"erythrocyte"	"mast.cell"	0.0255474452554745
"172"	"naive.b.cell"	"ionocyte"	0.0251623376623377
"195"	"cd24.neutrophil"	"mast.cell"	0.0250836120401338
"185"	"memory.b.cell"	"macrophage"	0.0249687890137328
"39"	"hematopoietic.stem.cell"	"basal.cell"	0.024904214559387
"151"	"hematopoietic.stem.cell"	"fibroblast"	0.0247933884297521
"99"	"cd24.neutrophil"	"connective.tissue.cell"	0.024683925346177
"115"	"cd24.neutrophil"	"double.positive..alpha.beta.thymocyte"	0.0246376811594203
"171"	"myeloid.progenitor"	"ionocyte"	0.0240496508921645
"91"	"myeloid.progenitor"	"ciliated.cell"	0.0238467552775606
"167"	"hematopoietic.stem.cell"	"ionocyte"	0.0236809306190278
"190"	"neutrophil"	"macrophage"	0.0235294117647059
"108"	"naive.b.cell"	"connective.tissue.cell"	0.0233881163084703
"123"	"myeloid.progenitor"	"double.positive..alpha.beta.thymocyte"	0.0233000475511175
"84"	"erythrocyte"	"ciliated.cell"	0.0230452674897119
"206"	"neutrophil"	"mast.cell"	0.0224550898203593
"116"	"erythrocyte"	"double.positive..alpha.beta.thymocyte"	0.0222784810126582
"152"	"macrophage"	"fibroblast"	0.022002200220022
"132"	"erythrocyte"	"endothelial.cell"	0.0219269102990033
"131"	"cd24.neutrophil"	"endothelial.cell"	0.0218068535825545
"94"	"neutrophil"	"ciliated.cell"	0.0217228464419476
"168"	"macrophage"	"ionocyte"	0.0217021276595745
"100"	"erythrocyte"	"connective.tissue.cell"	0.021059349074665
"188"	"naive.b.cell"	"macrophage"	0.0209606986899563
