"Lung"	"Bone marrow"	"value"
"480"	"neutrophil"	"nampt.neutrophil"	0.395484340859432
"518"	"neutrophil"	"neutrophil"	0.253760627861347
"598"	"plasma.cell"	"plasma.cell"	0.244604316546763
"557"	"nk.cell"	"nk.cell"	0.213566507684155
"39"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.182960893854749
"2"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.161073825503356
"292"	"non.classical.monocyte"	"macrophage"	0.151248164464024
"284"	"intermediate.monocyte"	"macrophage"	0.141891891891892
"309"	"b.cell"	"memory.b.cell"	0.131528046421663
"278"	"classical.monocyte"	"macrophage"	0.129476584022039
"533"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.126582278481013
"40"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.108064516129032
"368"	"non.classical.monocyte"	"monocyte"	0.101239669421488
"423"	"b.cell"	"naive.b.cell"	0.0976470588235294
"287"	"macrophage"	"macrophage"	0.0886889460154242
"186"	"smooth.muscle.cell"	"erythroid.progenitor"	0.0844636251541307
"354"	"classical.monocyte"	"monocyte"	0.0838095238095238
"360"	"intermediate.monocyte"	"monocyte"	0.08
"161"	"bronchial.vessel.endothelial.cell"	"erythroid.progenitor"	0.0714285714285714
"100"	"neutrophil"	"cd24.neutrophil"	0.069837447320891
"389"	"bronchial.vessel.endothelial.cell"	"myeloid.progenitor"	0.0635424940428912
"1"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0625978090766823
"318"	"dendritic.cell"	"memory.b.cell"	0.0601941747572816
"63"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0593768371546149
"447"	"plasmacytoid.dendritic.cell"	"naive.b.cell"	0.0520728008088979
"414"	"smooth.muscle.cell"	"myeloid.progenitor"	0.0493670886075949
"280"	"dendritic.cell"	"macrophage"	0.0491132332878581
"506"	"classical.monocyte"	"neutrophil"	0.046594982078853
"248"	"lung.microvascular.endothelial.cell"	"hematopoietic.stem.cell"	0.0461538461538462
"235"	"basophil"	"hematopoietic.stem.cell"	0.0455089820359281
"363"	"macrophage"	"monocyte"	0.0437828371278459
"182"	"pulmonary.ionocyte"	"erythroid.progenitor"	0.041696364932288
"88"	"classical.monocyte"	"cd24.neutrophil"	0.0415400202634245
"468"	"classical.monocyte"	"nampt.neutrophil"	0.0410347903657449
"410"	"pulmonary.ionocyte"	"myeloid.progenitor"	0.0390279823269514
"243"	"endothelial.cell.of.artery"	"hematopoietic.stem.cell"	0.0388446215139442
"561"	"plasmacytoid.dendritic.cell"	"nk.cell"	0.0377855887521968
"232"	"alveolar.fibroblast"	"hematopoietic.stem.cell"	0.0374115267947422
"403"	"myofibroblast.cell"	"myeloid.progenitor"	0.0362821035466775
"559"	"pericyte.cell"	"nk.cell"	0.0361663652802893
"130"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.0357954545454545
"94"	"intermediate.monocyte"	"cd24.neutrophil"	0.0353982300884956
"534"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0352422907488987
"215"	"nk.cell"	"granulocyte"	0.0348970251716247
"387"	"basophil"	"myeloid.progenitor"	0.0334975369458128
"265"	"vascular.associated.smooth.muscle.cell"	"hematopoietic.stem.cell"	0.032034632034632
"255"	"pericyte.cell"	"hematopoietic.stem.cell"	0.0314842578710645
"105"	"plasmacytoid.dendritic.cell"	"cd24.neutrophil"	0.0314585319351764
"238"	"capillary.aerocyte"	"hematopoietic.stem.cell"	0.0313588850174216
"239"	"capillary.endothelial.cell"	"hematopoietic.stem.cell"	0.0310283687943262
"266"	"vein.endothelial.cell"	"hematopoietic.stem.cell"	0.0309555854643338
"175"	"myofibroblast.cell"	"erythroid.progenitor"	0.030811232449298
"396"	"endothelial.cell.of.lymphatic.vessel"	"myeloid.progenitor"	0.0305584826132771
"181"	"plasmacytoid.dendritic.cell"	"erythroid.progenitor"	0.0305206463195691
"542"	"capillary.aerocyte"	"nk.cell"	0.0303643724696356
"93"	"fibroblast"	"cd24.neutrophil"	0.0303246521584017
"543"	"capillary.endothelial.cell"	"nk.cell"	0.0300957592339261
"432"	"dendritic.cell"	"naive.b.cell"	0.0299539170506912
"549"	"fibroblast"	"nk.cell"	0.0296963630296964
"603"	"serous.cell.of.epithelium.of.bronchus"	"plasma.cell"	0.0289193302891933
"448"	"pulmonary.ionocyte"	"naive.b.cell"	0.0288753799392097
"174"	"mesothelial.cell"	"erythroid.progenitor"	0.028830313014827
