"Lung"	"Spleen"	"value"
"670"	"neutrophil"	"neutrophil"	0.544117647058823
"202"	"classical.monocyte"	"classical.monocyte"	0.220394736842105
"750"	"plasma.cell"	"plasma.cell"	0.204778156996587
"208"	"intermediate.monocyte"	"classical.monocyte"	0.200312989045383
"444"	"non.classical.monocyte"	"macrophage"	0.189674523007856
"166"	"dendritic.cell"	"cd141.positive.myeloid.dendritic.cell"	0.16036036036036
"216"	"non.classical.monocyte"	"classical.monocyte"	0.155482815057283
"537"	"b.cell"	"naive.b.cell"	0.147157190635452
"499"	"b.cell"	"memory.b.cell"	0.143468950749465
"439"	"macrophage"	"macrophage"	0.134343434343434
"709"	"nk.cell"	"nk.cell"	0.12970969734404
"404"	"neutrophil"	"intermediate.monocyte"	0.117268041237113
"239"	"capillary.endothelial.cell"	"endothelial.cell"	0.113106610622851
"244"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell"	0.111111111111111
"436"	"intermediate.monocyte"	"macrophage"	0.102261553588987
"392"	"classical.monocyte"	"intermediate.monocyte"	0.0956618464961068
"572"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0930232558139535
"838"	"cd4.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.0914179104477612
"243"	"endothelial.cell.of.artery"	"endothelial.cell"	0.0893135725429017
"139"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0892018779342723
"238"	"capillary.aerocyte"	"endothelial.cell"	0.089086859688196
"245"	"fibroblast"	"endothelial.cell"	0.087103798693443
"609"	"cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0827922077922078
"875"	"cd8.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.0790273556231003
"658"	"classical.monocyte"	"neutrophil"	0.0737463126843658
"148"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0708055413032324
"40"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0681198910081744
"837"	"cd8.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.0673352435530086
"685"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0671550671550672
"457"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0661654135338346
"430"	"classical.monocyte"	"macrophage"	0.066147859922179
"251"	"myofibroblast.cell"	"endothelial.cell"	0.0621935483870968
"211"	"macrophage"	"classical.monocyte"	0.0621546961325967
"794"	"smooth.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0621359223300971
"255"	"pericyte.cell"	"endothelial.cell"	0.0607397353240584
"338"	"smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0605203619909502
"258"	"pulmonary.ionocyte"	"endothelial.cell"	0.0600434048709911
"266"	"vein.endothelial.cell"	"endothelial.cell"	0.0589225589225589
"144"	"pulmonary.ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.0565485862853429
"828"	"pulmonary.ionocyte"	"platelet"	0.0564399421128799
"398"	"intermediate.monocyte"	"intermediate.monocyte"	0.0542797494780793
"313"	"bronchial.vessel.endothelial.cell"	"hematopoietic.stem.cell"	0.0542005420054201
"789"	"plasmacytoid.dendritic.cell"	"plasmacytoid.dendritic.cell"	0.0526824552924118
"664"	"intermediate.monocyte"	"neutrophil"	0.0518465909090909
"237"	"bronchial.vessel.endothelial.cell"	"endothelial.cell"	0.0512450378924576
"115"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0506578947368421
"247"	"lung.ciliated.cell"	"endothelial.cell"	0.0502851218247797
"14"	"dendritic.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0501519756838906
"827"	"plasmacytoid.dendritic.cell"	"platelet"	0.0500173671413685
"610"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0496894409937888
"825"	"pericyte.cell"	"platelet"	0.0493827160493827
"899"	"nk.cell"	"type.i.nk.t.cell"	0.0491493383742911
"263"	"type.i.pneumocyte"	"endothelial.cell"	0.0486202365308804
"334"	"pulmonary.ionocyte"	"hematopoietic.stem.cell"	0.0479310344827586
"808"	"capillary.aerocyte"	"platelet"	0.0478927203065134
"815"	"fibroblast"	"platelet"	0.0466480446927374
"333"	"plasmacytoid.dendritic.cell"	"hematopoietic.stem.cell"	0.0464208242950108
"788"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.0462833099579243
"178"	"non.classical.monocyte"	"cd141.positive.myeloid.dendritic.cell"	0.046031746031746
"814"	"endothelial.cell.of.lymphatic.vessel"	"platelet"	0.0454374765302291
"143"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0445859872611465
"633"	"nk.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0444301352221507
"265"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell"	0.0436324937921249
"232"	"alveolar.fibroblast"	"endothelial.cell"	0.0428249436513899
"34"	"smooth.muscle.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0427682737169518
"835"	"vascular.associated.smooth.muscle.cell"	"platelet"	0.0427350427350427
"756"	"smooth.muscle.cell"	"plasma.cell"	0.0417362270450751
"248"	"lung.microvascular.endothelial.cell"	"endothelial.cell"	0.0417014178482068
"321"	"fibroblast"	"hematopoietic.stem.cell"	0.0415144470275656
"204"	"dendritic.cell"	"classical.monocyte"	0.0406626506024096
"806"	"bronchial.smooth.muscle.cell"	"platelet"	0.0402750491159136
"833"	"type.i.pneumocyte"	"platelet"	0.0399659863945578
"823"	"nk.cell"	"platelet"	0.0398167723749119
"432"	"dendritic.cell"	"macrophage"	0.0398009950248756
"401"	"macrophage"	"intermediate.monocyte"	0.0390143737166324
"821"	"myofibroblast.cell"	"platelet"	0.0382008626001232
"876"	"cd4.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.0377358490566038
"29"	"plasmacytoid.dendritic.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0375690607734807
"481"	"nk.cell"	"mature.nk.t.cell"	0.0374064837905237
"327"	"myofibroblast.cell"	"hematopoietic.stem.cell"	0.0368282600526118
"817"	"lung.ciliated.cell"	"platelet"	0.0366886171213547
"769"	"bronchial.vessel.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.0360501567398119
"170"	"intermediate.monocyte"	"cd141.positive.myeloid.dendritic.cell"	0.0359712230215827
"173"	"macrophage"	"cd141.positive.myeloid.dendritic.cell"	0.0358680057388809
"790"	"pulmonary.ionocyte"	"plasmacytoid.dendritic.cell"	0.0350553505535055
"822"	"neutrophil"	"platelet"	0.0345368916797488
"123"	"bronchial.vessel.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0345231129315389
"805"	"basophil"	"platelet"	0.0341597796143251
"236"	"bronchial.smooth.muscle.cell"	"endothelial.cell"	0.0339350180505415
"231"	"adventitial.cell"	"endothelial.cell"	0.0336826347305389
"329"	"nk.cell"	"hematopoietic.stem.cell"	0.0335689045936396
"809"	"capillary.endothelial.cell"	"platelet"	0.033381020505484
"371"	"plasmacytoid.dendritic.cell"	"innate.lymphoid.cell"	0.0332506203473945
"262"	"smooth.muscle.cell"	"endothelial.cell"	0.0329178651326302
"214"	"neutrophil"	"classical.monocyte"	0.0325484764542936
"832"	"smooth.muscle.cell"	"platelet"	0.0319634703196347
"534"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0318979266347687
"725"	"adventitial.cell"	"plasma.cell"	0.0318302387267905
"137"	"myofibroblast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0315972222222222
"369"	"pericyte.cell"	"innate.lymphoid.cell"	0.0315412186379928
"344"	"cd4.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.0311059907834101
"561"	"plasmacytoid.dendritic.cell"	"naive.b.cell"	0.0309162450815065
"365"	"myofibroblast.cell"	"innate.lymphoid.cell"	0.0305473058973271
"181"	"plasmacytoid.dendritic.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0303882948790096
"346"	"alveolar.fibroblast"	"innate.lymphoid.cell"	0.0302743614001892
"755"	"serous.cell.of.epithelium.of.bronchus"	"plasma.cell"	0.0301659125188537
"672"	"non.classical.monocyte"	"neutrophil"	0.0297316896301668
"793"	"serous.cell.of.epithelium.of.bronchus"	"plasmacytoid.dendritic.cell"	0.0296650717703349
"783"	"myofibroblast.cell"	"plasmacytoid.dendritic.cell"	0.0285132382892057
"667"	"macrophage"	"neutrophil"	0.0284327323162275
"320"	"endothelial.cell.of.lymphatic.vessel"	"hematopoietic.stem.cell"	0.0283956460009465
"282"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.0282555282555283
"406"	"non.classical.monocyte"	"intermediate.monocyte"	0.028169014084507
"149"	"type.i.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.0281265695630337
"377"	"type.i.pneumocyte"	"innate.lymphoid.cell"	0.0280054644808743
"453"	"type.i.pneumocyte"	"macrophage"	0.0279503105590062
"323"	"lung.ciliated.cell"	"hematopoietic.stem.cell"	0.0278413424866514
"311"	"basophil"	"hematopoietic.stem.cell"	0.0275974025974026
"257"	"plasmacytoid.dendritic.cell"	"endothelial.cell"	0.0275354416575791
"763"	"adventitial.cell"	"plasmacytoid.dendritic.cell"	0.0271929824561404
"751"	"plasmacytoid.dendritic.cell"	"plasma.cell"	0.0270425776754891
"77"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0269749518304432
"358"	"endothelial.cell.of.lymphatic.vessel"	"innate.lymphoid.cell"	0.0267409470752089
"131"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.0266789328426863
"409"	"plasmacytoid.dendritic.cell"	"intermediate.monocyte"	0.026621490803485
"164"	"classical.monocyte"	"cd141.positive.myeloid.dendritic.cell"	0.0265878877400295
"367"	"nk.cell"	"innate.lymphoid.cell"	0.0265577119509704
"133"	"lung.ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.0264830508474576
"428"	"capillary.aerocyte"	"macrophage"	0.0264511388684791
"339"	"type.i.pneumocyte"	"hematopoietic.stem.cell"	0.0262863534675615
"130"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.0262478485370052
"447"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0262068965517241
"458"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0261682242990654
"361"	"lung.ciliated.cell"	"innate.lymphoid.cell"	0.0260303687635575
"445"	"pericyte.cell"	"macrophage"	0.025823111684958
"691"	"basophil"	"nk.cell"	0.0258152173913043
"675"	"plasmacytoid.dendritic.cell"	"neutrophil"	0.0257222002374357
"560"	"plasma.cell"	"naive.b.cell"	0.0255102040816327
"681"	"type.i.pneumocyte"	"neutrophil"	0.0254452926208651
"777"	"fibroblast"	"plasmacytoid.dendritic.cell"	0.0254416961130742
"713"	"plasmacytoid.dendritic.cell"	"nk.cell"	0.0253505933117584
"301"	"type.i.pneumocyte"	"erythrocyte"	0.0253261703760553
"359"	"fibroblast"	"innate.lymphoid.cell"	0.0252100840336134
"816"	"intermediate.monocyte"	"platelet"	0.025201072386059
"813"	"endothelial.cell.of.artery"	"platelet"	0.0250375563345018
"433"	"endothelial.cell.of.artery"	"macrophage"	0.0244698205546493
"575"	"b.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.024390243902439
"434"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0241521068859198
"349"	"basophil"	"innate.lymphoid.cell"	0.0240700218818381
"442"	"neutrophil"	"macrophage"	0.0238623751387347
"397"	"fibroblast"	"intermediate.monocyte"	0.0237495501979129
"448"	"pulmonary.ionocyte"	"macrophage"	0.0236305048335124
"807"	"bronchial.vessel.endothelial.cell"	"platelet"	0.0231350330500472
"372"	"pulmonary.ionocyte"	"innate.lymphoid.cell"	0.023036253776435
"9"	"bronchial.vessel.endothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.023023023023023
"657"	"capillary.endothelial.cell"	"neutrophil"	0.0229817324690631
"765"	"b.cell"	"plasmacytoid.dendritic.cell"	0.0228401191658391
"656"	"capillary.aerocyte"	"neutrophil"	0.0227008149010477
"362"	"lung.microvascular.endothelial.cell"	"innate.lymphoid.cell"	0.0226986128625473
"273"	"basophil"	"erythrocyte"	0.0226666666666667
"421"	"adventitial.cell"	"macrophage"	0.0225375626043406
"405"	"nk.cell"	"intermediate.monocyte"	0.0224550898203593
"274"	"bronchial.smooth.muscle.cell"	"erythrocyte"	0.0223123732251521
"801"	"adventitial.cell"	"platelet"	0.0223123732251521
"429"	"capillary.endothelial.cell"	"macrophage"	0.0222882615156018
"390"	"capillary.aerocyte"	"intermediate.monocyte"	0.0222575516693164
"39"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0222222222222222
"30"	"pulmonary.ionocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.02203182374541
"671"	"nk.cell"	"neutrophil"	0.0214835832995541
"391"	"capillary.endothelial.cell"	"intermediate.monocyte"	0.0209846650524617
"699"	"endothelial.cell.of.artery"	"nk.cell"	0.0209713024282561
"300"	"smooth.muscle.cell"	"erythrocyte"	0.0207715133531157
"523"	"plasmacytoid.dendritic.cell"	"memory.b.cell"	0.020631067961165
"522"	"plasma.cell"	"memory.b.cell"	0.0204081632653061
"802"	"alveolar.fibroblast"	"platelet"	0.0201005025125628
"387"	"basophil"	"intermediate.monocyte"	0.0198744769874477
"276"	"capillary.aerocyte"	"erythrocyte"	0.0198675496688742
"785"	"nk.cell"	"plasmacytoid.dendritic.cell"	0.0198547215496368
"422"	"alveolar.fibroblast"	"macrophage"	0.0197530864197531
"425"	"basophil"	"macrophage"	0.0197183098591549
"162"	"capillary.aerocyte"	"cd141.positive.myeloid.dendritic.cell"	0.0194472876151484
"824"	"non.classical.monocyte"	"platelet"	0.019273127753304
"415"	"type.i.pneumocyte"	"intermediate.monocyte"	0.0191419141914191
"834"	"type.ii.pneumocyte"	"platelet"	0.019047619047619
"331"	"pericyte.cell"	"hematopoietic.stem.cell"	0.0190092165898618
"810"	"classical.monocyte"	"platelet"	0.0188984881209503
"455"	"vascular.associated.smooth.muscle.cell"	"macrophage"	0.018854242204496
"797"	"vascular.associated.smooth.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0188536953242836
"731"	"bronchial.vessel.endothelial.cell"	"plasma.cell"	0.018640350877193
"698"	"dendritic.cell"	"nk.cell"	0.0185449358059914
"394"	"dendritic.cell"	"intermediate.monocyte"	0.0185387131952017
"508"	"dendritic.cell"	"memory.b.cell"	0.0185185185185185
"253"	"nk.cell"	"endothelial.cell"	0.0184573002754821
"426"	"bronchial.smooth.muscle.cell"	"macrophage"	0.0184190330007675
"250"	"mesothelial.cell"	"endothelial.cell"	0.0183314627759072
"812"	"dendritic.cell"	"platelet"	0.0183028286189684
"283"	"fibroblast"	"erythrocyte"	0.0181467181467181
"660"	"dendritic.cell"	"neutrophil"	0.0181159420289855
"819"	"macrophage"	"platelet"	0.0180851063829787
"590"	"lung.microvascular.endothelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.018018018018018
"225"	"type.i.pneumocyte"	"classical.monocyte"	0.0179968701095462
"322"	"intermediate.monocyte"	"hematopoietic.stem.cell"	0.0179968701095462
"355"	"club.cell"	"innate.lymphoid.cell"	0.0178784266984505
"337"	"serous.cell.of.epithelium.of.bronchus"	"hematopoietic.stem.cell"	0.0178710178710179
"396"	"endothelial.cell.of.lymphatic.vessel"	"intermediate.monocyte"	0.0178474851270957
"116"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0177053824362606
"296"	"pulmonary.ionocyte"	"erythrocyte"	0.0176282051282051
"288"	"mesothelial.cell"	"erythrocyte"	0.0176263219741481
"357"	"endothelial.cell.of.artery"	"innate.lymphoid.cell"	0.0174793008279669
"353"	"capillary.endothelial.cell"	"innate.lymphoid.cell"	0.0174273858921162
"850"	"dendritic.cell"	"regulatory.t.cell"	0.0173913043478261
"23"	"myofibroblast.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0173754000914495
"343"	"cd8.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.017357762777242
"861"	"nk.cell"	"regulatory.t.cell"	0.0173548773189707
"546"	"dendritic.cell"	"naive.b.cell"	0.0172955974842767
"18"	"intermediate.monocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.0172413793103448
"122"	"bronchial.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0171597633136095
"376"	"smooth.muscle.cell"	"innate.lymphoid.cell"	0.0171165240289664
"410"	"pulmonary.ionocyte"	"intermediate.monocyte"	0.0170244263508512
"340"	"type.ii.pneumocyte"	"hematopoietic.stem.cell"	0.017014694508894
"395"	"endothelial.cell.of.artery"	"intermediate.monocyte"	0.0168738898756661
"663"	"fibroblast"	"neutrophil"	0.0168659920269856
"435"	"fibroblast"	"macrophage"	0.0168558651530788
"293"	"pericyte.cell"	"erythrocyte"	0.0168134507606085
"776"	"endothelial.cell.of.lymphatic.vessel"	"plasmacytoid.dendritic.cell"	0.0167802831672784
"316"	"classical.monocyte"	"hematopoietic.stem.cell"	0.0167330677290837
"662"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.016414686825054
"661"	"endothelial.cell.of.artery"	"neutrophil"	0.0163522012578616
"159"	"basophil"	"cd141.positive.myeloid.dendritic.cell"	0.0163204747774481
"352"	"capillary.aerocyte"	"innate.lymphoid.cell"	0.0162999185004075
"187"	"type.i.pneumocyte"	"cd141.positive.myeloid.dendritic.cell"	0.0162074554294976
"694"	"capillary.aerocyte"	"nk.cell"	0.0162059103908484
"302"	"type.ii.pneumocyte"	"erythrocyte"	0.0161892901618929
"865"	"plasmacytoid.dendritic.cell"	"regulatory.t.cell"	0.0160550458715596
"336"	"respiratory.mucous.cell"	"hematopoietic.stem.cell"	0.015993907083016
"241"	"club.cell"	"endothelial.cell"	0.0159936025589764
"416"	"type.ii.pneumocyte"	"intermediate.monocyte"	0.0158730158730159
"407"	"pericyte.cell"	"intermediate.monocyte"	0.015807560137457
"673"	"pericyte.cell"	"neutrophil"	0.0156331422615946
"252"	"neutrophil"	"endothelial.cell"	0.0156156156156156
"752"	"pulmonary.ionocyte"	"plasma.cell"	0.0155789473684211
"452"	"smooth.muscle.cell"	"macrophage"	0.0155781905332534
"557"	"nk.cell"	"naive.b.cell"	0.0155619596541787
"128"	"dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.015547703180212
"312"	"bronchial.smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0154986522911051
"463"	"basophil"	"mature.nk.t.cell"	0.0154905335628227
"335"	"respiratory.goblet.cell"	"hematopoietic.stem.cell"	0.0154545454545455
"653"	"basophil"	"neutrophil"	0.0154494382022472
"295"	"plasmacytoid.dendritic.cell"	"erythrocyte"	0.0153927813163482
"379"	"vascular.associated.smooth.muscle.cell"	"innate.lymphoid.cell"	0.0153721682847896
"559"	"pericyte.cell"	"naive.b.cell"	0.0153452685421995
"437"	"lung.ciliated.cell"	"macrophage"	0.0153411384739604
"558"	"non.classical.monocyte"	"naive.b.cell"	0.0153374233128834
"782"	"mesothelial.cell"	"plasmacytoid.dendritic.cell"	0.0152603231597846
"403"	"myofibroblast.cell"	"intermediate.monocyte"	0.0152200740436035
