"Lung"	"Tongue"	"value"
"229"	"cd8.positive..alpha.beta.t.cell"	"immune.cell"	0.222426470588235
"312"	"bronchial.smooth.muscle.cell"	"pericyte.cell"	0.220183486238532
"438"	"lung.microvascular.endothelial.cell"	"vein.endothelial.cell"	0.213333333333333
"341"	"vascular.associated.smooth.muscle.cell"	"pericyte.cell"	0.208530805687204
"194"	"alveolar.fibroblast"	"fibroblast"	0.205412054120541
"193"	"adventitial.cell"	"fibroblast"	0.201492537313433
"230"	"cd4.positive..alpha.beta.t.cell"	"immune.cell"	0.191446028513238
"130"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.169359664871335
"456"	"vein.endothelial.cell"	"vein.endothelial.cell"	0.162162162162162
"331"	"pericyte.cell"	"pericyte.cell"	0.133644133644134
"91"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.130503144654088
"49"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.121057985757884
"48"	"capillary.aerocyte"	"capillary.endothelial.cell"	0.118525896414343
"253"	"nk.cell"	"immune.cell"	0.114634146341463
"252"	"neutrophil"	"immune.cell"	0.114253393665158
"242"	"dendritic.cell"	"immune.cell"	0.106906338694418
"372"	"pulmonary.ionocyte"	"schwann.cell"	0.0894348894348894
"6"	"basal.cell"	"basal.cell"	0.0864
"87"	"capillary.endothelial.cell"	"endothelial.cell.of.artery"	0.0857142857142857
"365"	"myofibroblast.cell"	"schwann.cell"	0.0800832033281331
"272"	"basal.cell"	"keratinocyte"	0.0752212389380531
"359"	"fibroblast"	"schwann.cell"	0.0739511732638066
"254"	"non.classical.monocyte"	"immune.cell"	0.0694945848375451
"297"	"respiratory.goblet.cell"	"keratinocyte"	0.069204152249135
"240"	"classical.monocyte"	"immune.cell"	0.0691768826619965
"376"	"smooth.muscle.cell"	"schwann.cell"	0.064453125
"361"	"lung.ciliated.cell"	"schwann.cell"	0.0606846473029046
"86"	"capillary.aerocyte"	"endothelial.cell.of.artery"	0.0604432505036938
"246"	"intermediate.monocyte"	"immune.cell"	0.0595238095238095
"53"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.0593311758360302
"371"	"plasmacytoid.dendritic.cell"	"schwann.cell"	0.0592654424040067
"302"	"type.ii.pneumocyte"	"keratinocyte"	0.0583657587548638
"367"	"nk.cell"	"schwann.cell"	0.054488989271598
"427"	"bronchial.vessel.endothelial.cell"	"vein.endothelial.cell"	0.0519951632406288
"385"	"b.cell"	"tongue.muscle.cell"	0.0512163892445583
"186"	"smooth.muscle.cell"	"epithelial.cell"	0.0511182108626198
"338"	"smooth.muscle.cell"	"pericyte.cell"	0.0475234270414993
"358"	"endothelial.cell.of.lymphatic.vessel"	"schwann.cell"	0.0460275579009088
"158"	"basal.cell"	"epithelial.cell"	0.0453125
"235"	"basophil"	"immune.cell"	0.0448662640207075
"257"	"plasmacytoid.dendritic.cell"	"immune.cell"	0.0447695035460993
"301"	"type.i.pneumocyte"	"keratinocyte"	0.0445660672400313
"93"	"fibroblast"	"endothelial.cell.of.artery"	0.0439121756487026
"249"	"macrophage"	"immune.cell"	0.0426065162907268
"369"	"pericyte.cell"	"schwann.cell"	0.042504118616145
"32"	"respiratory.mucous.cell"	"basal.cell"	0.0411140583554377
"207"	"fibroblast"	"fibroblast"	0.0409108452335006
"377"	"type.i.pneumocyte"	"schwann.cell"	0.0405927835051546
"35"	"type.i.pneumocyte"	"basal.cell"	0.0387722132471729
"308"	"alveolar.fibroblast"	"pericyte.cell"	0.0383895131086142
"161"	"bronchial.vessel.endothelial.cell"	"epithelial.cell"	0.0374609781477627
"114"	"vein.endothelial.cell"	"endothelial.cell.of.artery"	0.0366071428571429
"58"	"lung.microvascular.endothelial.cell"	"capillary.endothelial.cell"	0.0361990950226244
"47"	"bronchial.vessel.endothelial.cell"	"capillary.endothelial.cell"	0.0357142857142857
"227"	"vascular.associated.smooth.muscle.cell"	"fibroblast"	0.035230352303523
"233"	"b.cell"	"immune.cell"	0.0342172797262618
"384"	"alveolar.fibroblast"	"tongue.muscle.cell"	0.0338983050847458
"105"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.artery"	0.0338329764453961
"106"	"pulmonary.ionocyte"	"endothelial.cell.of.artery"	0.0336505778382053
"429"	"capillary.endothelial.cell"	"vein.endothelial.cell"	0.0332541567695962
"85"	"bronchial.vessel.endothelial.cell"	"endothelial.cell.of.artery"	0.0331564986737401
"182"	"pulmonary.ionocyte"	"epithelial.cell"	0.0329029571012078
"13"	"club.cell"	"basal.cell"	0.032520325203252
"379"	"vascular.associated.smooth.muscle.cell"	"schwann.cell"	0.0322133702805681
"76"	"vein.endothelial.cell"	"capillary.endothelial.cell"	0.0322108345534407
"100"	"neutrophil"	"endothelial.cell.of.artery"	0.0320773930753564
"180"	"plasma.cell"	"epithelial.cell"	0.0318627450980392
"212"	"mesothelial.cell"	"fibroblast"	0.0311804008908686
"351"	"bronchial.vessel.endothelial.cell"	"schwann.cell"	0.0310971348707198
"298"	"respiratory.mucous.cell"	"keratinocyte"	0.0308641975308642
"31"	"respiratory.goblet.cell"	"basal.cell"	0.0308529945553539
"217"	"pericyte.cell"	"fibroblast"	0.0302091402013943
