"Lung"	"Trachea"	"value"
"209"	"lung.ciliated.cell"	"ciliated.cell"	0.581894736842105
"556"	"neutrophil"	"neutrophil"	0.524602026049204
"598"	"plasma.cell"	"plasma.cell"	0.354679802955665
"444"	"non.classical.monocyte"	"macrophage"	0.281167108753316
"463"	"basophil"	"mast.cell"	0.267716535433071
"345"	"adventitial.cell"	"fibroblast"	0.265255292652553
"153"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.25197889182058
"82"	"basal.cell"	"basal.cell"	0.234185733512786
"410"	"pulmonary.ionocyte"	"ionocyte"	0.229346853563973
"315"	"capillary.endothelial.cell"	"endothelial.cell"	0.205776173285199
"43"	"b.cell"	"b.cell"	0.198738170347003
"232"	"alveolar.fibroblast"	"connective.tissue.cell"	0.198347107438017
"319"	"endothelial.cell.of.artery"	"endothelial.cell"	0.189562547966232
"721"	"vascular.associated.smooth.muscle.cell"	"smooth.muscle.cell"	0.184560780834073
"639"	"respiratory.goblet.cell"	"secretory.cell"	0.178571428571429
"436"	"intermediate.monocyte"	"macrophage"	0.176403207331042
"439"	"macrophage"	"macrophage"	0.171981776765376
"231"	"adventitial.cell"	"connective.tissue.cell"	0.170244263508512
"692"	"bronchial.smooth.muscle.cell"	"smooth.muscle.cell"	0.159594095940959
"430"	"classical.monocyte"	"macrophage"	0.154377880184332
"154"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.153508771929825
"342"	"vein.endothelial.cell"	"endothelial.cell"	0.153079710144928
"324"	"lung.microvascular.endothelial.cell"	"endothelial.cell"	0.15032080659945
"432"	"dendritic.cell"	"macrophage"	0.144404332129964
"314"	"capillary.aerocyte"	"endothelial.cell"	0.143340094658553
"31"	"respiratory.goblet.cell"	"goblet.cell"	0.133208255159475
"346"	"alveolar.fibroblast"	"fibroblast"	0.131868131868132
"116"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.125226860254083
"544"	"classical.monocyte"	"neutrophil"	0.122314049586777
"177"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.121979964643489
"313"	"bronchial.vessel.endothelial.cell"	"endothelial.cell"	0.119302949061662
"711"	"pericyte.cell"	"smooth.muscle.cell"	0.112820512820513
"679"	"serous.cell.of.epithelium.of.bronchus"	"serous.cell.of.epithelium.of.trachea"	0.106481481481481
"614"	"basal.cell"	"secretory.cell"	0.104575163398693
"320"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell"	0.103232030873131
"291"	"nk.cell"	"double.positive..alpha.beta.thymocyte"	0.102968808718527
"33"	"serous.cell.of.epithelium.of.bronchus"	"goblet.cell"	0.0947802197802198
"245"	"fibroblast"	"connective.tissue.cell"	0.0930693069306931
"718"	"smooth.muscle.cell"	"smooth.muscle.cell"	0.0913364674278039
"525"	"respiratory.goblet.cell"	"mucus.secreting.cell"	0.0874125874125874
"550"	"intermediate.monocyte"	"neutrophil"	0.0847058823529412
"526"	"respiratory.mucous.cell"	"mucus.secreting.cell"	0.0839793281653747
"115"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0773480662983425
"723"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0767918088737201
"364"	"mesothelial.cell"	"fibroblast"	0.0760749724366042
"32"	"respiratory.mucous.cell"	"goblet.cell"	0.0718015665796345
"255"	"pericyte.cell"	"connective.tissue.cell"	0.0710352422907489
"267"	"cd8.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0708491076257436
"295"	"plasmacytoid.dendritic.cell"	"double.positive..alpha.beta.thymocyte"	0.0663120567375887
"265"	"vascular.associated.smooth.muscle.cell"	"connective.tissue.cell"	0.0640483383685801
"397"	"fibroblast"	"ionocyte"	0.0611167002012072
