"Skeletal muscle"	"Bone marrow"	"value"
"277"	"mature.nk.t.cell"	"nk.cell"	0.171484888304862
"64"	"erythrocyte"	"erythrocyte"	0.140767824497258
"142"	"macrophage"	"macrophage"	0.113057324840764
"237"	"macrophage"	"nampt.neutrophil"	0.103731815306768
"2"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.103174603174603
"256"	"macrophage"	"neutrophil"	0.0791100123609394
"22"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0743670886075949
"30"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0729080364540182
"92"	"slow.muscle.cell"	"erythroid.progenitor"	0.0672696438665913
"205"	"skeletal.muscle.satellite.stem.cell"	"myeloid.progenitor"	0.0649606299212598
"37"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0630733944954128
"18"	"t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0630252100840336
"180"	"macrophage"	"monocyte"	0.061054579093432
"84"	"fast.muscle.cell"	"erythroid.progenitor"	0.059672131147541
"284"	"t.cell"	"nk.cell"	0.0567587752053772
"21"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0540540540540541
"47"	"macrophage"	"cd24.neutrophil"	0.0538057742782152
"3"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0536082474226804
"269"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0456989247311828
"265"	"t.cell"	"neutrophil"	0.0446497305619707
"91"	"skeletal.muscle.satellite.stem.cell"	"erythroid.progenitor"	0.0395430579964851
"127"	"mesothelial.cell"	"hematopoietic.stem.cell"	0.0381619937694704
"118"	"endothelial.cell.of.artery"	"hematopoietic.stem.cell"	0.0362790697674419
"258"	"mature.nk.t.cell"	"neutrophil"	0.0354141656662665
"276"	"mast.cell"	"nk.cell"	0.0344599072233267
"246"	"t.cell"	"nampt.neutrophil"	0.034324942791762
"227"	"t.cell"	"naive.b.cell"	0.0337283500455789
"238"	"mast.cell"	"nampt.neutrophil"	0.0337233310392292
"115"	"capillary.endothelial.cell"	"hematopoietic.stem.cell"	0.033041788143829
"124"	"mast.cell"	"hematopoietic.stem.cell"	0.0322033898305085
"304"	"tendon.cell"	"plasma.cell"	0.0321592649310873
"200"	"mast.cell"	"myeloid.progenitor"	0.0318282753515914
"232"	"endothelial.cell.of.artery"	"nampt.neutrophil"	0.0309734513274336
"119"	"endothelial.cell.of.lymphatic.vessel"	"hematopoietic.stem.cell"	0.0306513409961686
"196"	"endothelial.cell.of.vascular.tree"	"myeloid.progenitor"	0.0299345182413471
"207"	"smooth.muscle.cell"	"myeloid.progenitor"	0.029082774049217
"131"	"smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0290598290598291
"56"	"t.cell"	"cd24.neutrophil"	0.0287404902789518
"218"	"macrophage"	"naive.b.cell"	0.0283592167454423
"215"	"endothelial.cell.of.vascular.tree"	"naive.b.cell"	0.028125
"120"	"endothelial.cell.of.vascular.tree"	"hematopoietic.stem.cell"	0.0277777777777778
"251"	"endothelial.cell.of.artery"	"neutrophil"	0.0271659324522761
"48"	"mast.cell"	"cd24.neutrophil"	0.027128862094951
"89"	"mesothelial.cell"	"erythroid.progenitor"	0.0267857142857143
"257"	"mast.cell"	"neutrophil"	0.0266393442622951
"62"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.026605504587156
"264"	"smooth.muscle.cell"	"neutrophil"	0.0261888352860096
"73"	"slow.muscle.cell"	"erythrocyte"	0.0254184748915065
"75"	"t.cell"	"erythrocyte"	0.0248161764705882
"219"	"mast.cell"	"naive.b.cell"	0.024
"49"	"mature.nk.t.cell"	"cd24.neutrophil"	0.0239018087855297
"220"	"mature.nk.t.cell"	"naive.b.cell"	0.0238582140422631
"229"	"capillary.endothelial.cell"	"nampt.neutrophil"	0.0235562310030395
"128"	"pericyte.cell"	"hematopoietic.stem.cell"	0.0233766233766234
"141"	"fast.muscle.cell"	"macrophage"	0.0232558139534884
"239"	"mature.nk.t.cell"	"nampt.neutrophil"	0.0231454005934718
"149"	"slow.muscle.cell"	"macrophage"	0.023132848645076
"154"	"cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0.0230414746543779
"234"	"endothelial.cell.of.vascular.tree"	"nampt.neutrophil"	0.0228426395939086
"93"	"smooth.muscle.cell"	"erythroid.progenitor"	0.0227900552486188
"55"	"smooth.muscle.cell"	"cd24.neutrophil"	0.0227445034116755
"86"	"mast.cell"	"erythroid.progenitor"	0.0225718194254446
"143"	"mast.cell"	"macrophage"	0.0221238938053097
"206"	"slow.muscle.cell"	"myeloid.progenitor"	0.021726700971984
"146"	"mesothelial.cell"	"macrophage"	0.0217216411906677
"104"	"macrophage"	"granulocyte"	0.0216216216216216
"198"	"fast.muscle.cell"	"myeloid.progenitor"	0.021577882670263
"214"	"endothelial.cell.of.lymphatic.vessel"	"naive.b.cell"	0.0215439856373429
"195"	"endothelial.cell.of.lymphatic.vessel"	"myeloid.progenitor"	0.0212071778140294
"42"	"endothelial.cell.of.artery"	"cd24.neutrophil"	0.0210867802108678
"158"	"endothelial.cell.of.vascular.tree"	"memory.b.cell"	0.0207667731629393
"65"	"fast.muscle.cell"	"erythrocyte"	0.0206794682422452
"194"	"endothelial.cell.of.artery"	"myeloid.progenitor"	0.0205696202531646
"203"	"mesothelial.cell"	"myeloid.progenitor"	0.0202839756592292
"39"	"capillary.endothelial.cell"	"cd24.neutrophil"	0.0202702702702703
"252"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.02023988005997
"133"	"tendon.cell"	"hematopoietic.stem.cell"	0.020066889632107
"43"	"endothelial.cell.of.lymphatic.vessel"	"cd24.neutrophil"	0.0200501253132832
"222"	"mesothelial.cell"	"naive.b.cell"	0.0197368421052632
"267"	"capillary.endothelial.cell"	"nk.cell"	0.0195794053662074
"82"	"endothelial.cell.of.vascular.tree"	"erythroid.progenitor"	0.0195080576759966
"61"	"endothelial.cell.of.artery"	"erythrocyte"	0.0193832599118943
"70"	"mesothelial.cell"	"erythrocyte"	0.0192592592592593
"161"	"macrophage"	"memory.b.cell"	0.0190806591500434
"51"	"mesothelial.cell"	"cd24.neutrophil"	0.0186078566505858
"283"	"smooth.muscle.cell"	"nk.cell"	0.0184331797235023
"58"	"capillary.endothelial.cell"	"erythrocyte"	0.0184162062615101
"212"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0183908045977011
"250"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0183654729109275
"81"	"endothelial.cell.of.lymphatic.vessel"	"erythroid.progenitor"	0.018058690744921
"41"	"cd8.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.0178571428571429
"172"	"capillary.endothelial.cell"	"monocyte"	0.0176630434782609
"66"	"macrophage"	"erythrocyte"	0.0175913396481732
"183"	"mesenchymal.stem.cell"	"monocyte"	0.0175131348511384
"248"	"capillary.endothelial.cell"	"neutrophil"	0.0173584905660377
"134"	"capillary.endothelial.cell"	"macrophage"	0.017293997965412
"210"	"capillary.endothelial.cell"	"naive.b.cell"	0.0171790235081374
"145"	"mesenchymal.stem.cell"	"macrophage"	0.0171149144254279
"260"	"mesothelial.cell"	"neutrophil"	0.0169704588309239
"129"	"skeletal.muscle.satellite.stem.cell"	"hematopoietic.stem.cell"	0.0168350168350168
"209"	"tendon.cell"	"myeloid.progenitor"	0.0167753960857409
"20"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0166112956810631
"231"	"cd8.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.0165137614678899
"271"	"endothelial.cell.of.lymphatic.vessel"	"nk.cell"	0.0164756446991404
"191"	"capillary.endothelial.cell"	"myeloid.progenitor"	0.0164068908941756
"130"	"slow.muscle.cell"	"hematopoietic.stem.cell"	0.016403785488959
"95"	"tendon.cell"	"erythroid.progenitor"	0.0161977834612106
"44"	"endothelial.cell.of.vascular.tree"	"cd24.neutrophil"	0.0161443494776828
"67"	"mast.cell"	"erythrocyte"	0.016116035455278
"71"	"pericyte.cell"	"erythrocyte"	0.0158924205378973
"204"	"pericyte.cell"	"myeloid.progenitor"	0.0158061116965227
"211"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0153846153846154
"270"	"endothelial.cell.of.artery"	"nk.cell"	0.0153310104529617
"253"	"endothelial.cell.of.vascular.tree"	"neutrophil"	0.0151006711409396
"245"	"smooth.muscle.cell"	"nampt.neutrophil"	0.0150068212824011
"263"	"slow.muscle.cell"	"neutrophil"	0.0149892933618844
"177"	"endothelial.cell.of.vascular.tree"	"monocyte"	0.0149501661129568
"213"	"endothelial.cell.of.artery"	"naive.b.cell"	0.0146678170836928
"176"	"endothelial.cell.of.lymphatic.vessel"	"monocyte"	0.014647137150466
"74"	"smooth.muscle.cell"	"erythrocyte"	0.0146460537021969
"80"	"endothelial.cell.of.artery"	"erythroid.progenitor"	0.0145878920495988
"282"	"slow.muscle.cell"	"nk.cell"	0.0145379023883697
"53"	"skeletal.muscle.satellite.stem.cell"	"cd24.neutrophil"	0.0144787644787645
"103"	"fast.muscle.cell"	"granulocyte"	0.0143581081081081
"268"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0141776937618147
"249"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.013986013986014
"111"	"slow.muscle.cell"	"granulocyte"	0.0137646249139711
"1"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.0135135135135135
"233"	"endothelial.cell.of.lymphatic.vessel"	"nampt.neutrophil"	0.0134128166915052
"107"	"mesenchymal.stem.cell"	"granulocyte"	0.0133868808567604
"90"	"pericyte.cell"	"erythroid.progenitor"	0.0133206470028544
"294"	"macrophage"	"plasma.cell"	0.0132890365448505
"96"	"capillary.endothelial.cell"	"granulocyte"	0.0131434830230011
"255"	"fast.muscle.cell"	"neutrophil"	0.0131004366812227
"46"	"fast.muscle.cell"	"cd24.neutrophil"	0.0129692832764505
"240"	"mesenchymal.stem.cell"	"nampt.neutrophil"	0.0128865979381443
"79"	"cd8.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.0128794848206072
"60"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.0128504672897196
"244"	"slow.muscle.cell"	"nampt.neutrophil"	0.0128273650454303
"157"	"endothelial.cell.of.lymphatic.vessel"	"memory.b.cell"	0.0128205128205128
"72"	"skeletal.muscle.satellite.stem.cell"	"erythrocyte"	0.0128068303094984
"296"	"mature.nk.t.cell"	"plasma.cell"	0.0126689189189189
"50"	"mesenchymal.stem.cell"	"cd24.neutrophil"	0.0126582278481013
"175"	"endothelial.cell.of.artery"	"monocyte"	0.0126582278481013
"224"	"skeletal.muscle.satellite.stem.cell"	"naive.b.cell"	0.0125523012552301
"109"	"pericyte.cell"	"granulocyte"	0.0124610591900312
"105"	"mast.cell"	"granulocyte"	0.0121836925960637
"279"	"mesothelial.cell"	"nk.cell"	0.0120772946859903
"162"	"mast.cell"	"memory.b.cell"	0.011943539630836
"243"	"skeletal.muscle.satellite.stem.cell"	"nampt.neutrophil"	0.0119047619047619
"139"	"endothelial.cell.of.vascular.tree"	"macrophage"	0.0117370892018779
"68"	"mature.nk.t.cell"	"erythrocyte"	0.0115961800818554
"137"	"endothelial.cell.of.artery"	"macrophage"	0.0115495668912416
"150"	"smooth.muscle.cell"	"macrophage"	0.0115248226950355
"54"	"slow.muscle.cell"	"cd24.neutrophil"	0.0115207373271889
"112"	"smooth.muscle.cell"	"granulocyte"	0.0113851992409867
"242"	"pericyte.cell"	"nampt.neutrophil"	0.0113207547169811
"126"	"mesenchymal.stem.cell"	"hematopoietic.stem.cell"	0.0112994350282486
"241"	"mesothelial.cell"	"nampt.neutrophil"	0.0112570356472795
"298"	"mesothelial.cell"	"plasma.cell"	0.0111111111111111
"144"	"mature.nk.t.cell"	"macrophage"	0.0110132158590308
"152"	"tendon.cell"	"macrophage"	0.0106761565836299
"185"	"pericyte.cell"	"monocyte"	0.0106609808102345
"275"	"macrophage"	"nk.cell"	0.0106442577030812
"122"	"fast.muscle.cell"	"hematopoietic.stem.cell"	0.0105660377358491
"221"	"mesenchymal.stem.cell"	"naive.b.cell"	0.0105596620908131
"23"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.0104275286757039
"228"	"tendon.cell"	"naive.b.cell"	0.0103412616339193
"97"	"cd4.positive..alpha.beta.t.cell"	"granulocyte"	0.0102389078498294
"262"	"skeletal.muscle.satellite.stem.cell"	"neutrophil"	0.0101781170483461
"201"	"mature.nk.t.cell"	"myeloid.progenitor"	0.01
"184"	"mesothelial.cell"	"monocyte"	0.00991080277502478
"199"	"macrophage"	"myeloid.progenitor"	0.00987045033929673
"77"	"capillary.endothelial.cell"	"erythroid.progenitor"	0.00979653353428787
"290"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00967351874244256
"285"	"tendon.cell"	"nk.cell"	0.00963081861958266
"36"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00953288846520496
"223"	"pericyte.cell"	"naive.b.cell"	0.00950118764845606
"63"	"endothelial.cell.of.vascular.tree"	"erythrocyte"	0.00938477580813347
"99"	"endothelial.cell.of.artery"	"granulocyte"	0.0093071354705274
"108"	"mesothelial.cell"	"granulocyte"	0.00929054054054054
"297"	"mesenchymal.stem.cell"	"plasma.cell"	0.00925925925925926
"289"	"endothelial.cell.of.artery"	"plasma.cell"	0.0092485549132948
"59"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00913838120104439
"153"	"capillary.endothelial.cell"	"memory.b.cell"	0.00909090909090909
"25"	"endothelial.cell.of.vascular.tree"	"cd8.positive..alpha.beta.t.cell"	0.00905562742561449
"225"	"slow.muscle.cell"	"naive.b.cell"	0.00904704463208685
"78"	"cd4.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.00901803607214429
"170"	"t.cell"	"memory.b.cell"	0.00898587933247754
"278"	"mesenchymal.stem.cell"	"nk.cell"	0.00896495517522412
"138"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.00896414342629482
"230"	"cd4.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00895522388059702
"280"	"pericyte.cell"	"nk.cell"	0.00892060660124889
"226"	"smooth.muscle.cell"	"naive.b.cell"	0.00876494023904383
"85"	"macrophage"	"erythroid.progenitor"	0.00870574579222287
"165"	"mesothelial.cell"	"memory.b.cell"	0.00867052023121387
"12"	"mesenchymal.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00866551126516464
"69"	"mesenchymal.stem.cell"	"erythrocyte"	0.00860215053763441
"186"	"skeletal.muscle.satellite.stem.cell"	"monocyte"	0.00851788756388416
"202"	"mesenchymal.stem.cell"	"myeloid.progenitor"	0.00847457627118644
"261"	"pericyte.cell"	"neutrophil"	0.00845864661654135
"28"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00842911877394636
"274"	"fast.muscle.cell"	"nk.cell"	0.00839328537170264
"190"	"tendon.cell"	"monocyte"	0.00838926174496644
"123"	"macrophage"	"hematopoietic.stem.cell"	0.0082815734989648
"83"	"erythrocyte"	"erythroid.progenitor"	0.0082256169212691
"87"	"mature.nk.t.cell"	"erythroid.progenitor"	0.00822078684674104
"208"	"t.cell"	"myeloid.progenitor"	0.00807754442649435
"193"	"cd8.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00806451612903226
"188"	"smooth.muscle.cell"	"monocyte"	0.00792751981879955
"13"	"mesothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00790513833992095
"33"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00783699059561128
"181"	"mast.cell"	"monocyte"	0.00780379041248606
"259"	"mesenchymal.stem.cell"	"neutrophil"	0.00768573868488471
"57"	"tendon.cell"	"cd24.neutrophil"	0.00760456273764259
"113"	"t.cell"	"granulocyte"	0.0075512405609493
"236"	"fast.muscle.cell"	"nampt.neutrophil"	0.0074487895716946
"299"	"pericyte.cell"	"plasma.cell"	0.00736648250460405
"301"	"slow.muscle.cell"	"plasma.cell"	0.00735294117647059
"281"	"skeletal.muscle.satellite.stem.cell"	"nk.cell"	0.00725806451612903
"295"	"mast.cell"	"plasma.cell"	0.00721649484536083
"217"	"fast.muscle.cell"	"naive.b.cell"	0.00718907260963336
"5"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00659630606860158
"6"	"endothelial.cell.of.vascular.tree"	"cd4.positive..alpha.beta.t.cell"	0.00657894736842105
"24"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.00648648648648649
"114"	"tendon.cell"	"granulocyte"	0.00647668393782383
"52"	"pericyte.cell"	"cd24.neutrophil"	0.00647249190938511
"101"	"endothelial.cell.of.vascular.tree"	"granulocyte"	0.00639386189258312
"4"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00628140703517588
"302"	"smooth.muscle.cell"	"plasma.cell"	0.00626959247648903
"163"	"mature.nk.t.cell"	"memory.b.cell"	0.00610287707061901
"156"	"endothelial.cell.of.artery"	"memory.b.cell"	0.00607533414337789
"166"	"pericyte.cell"	"memory.b.cell"	0.00601202404809619
"148"	"skeletal.muscle.satellite.stem.cell"	"macrophage"	0.00596658711217184
"32"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00592718035563082
"27"	"fast.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0058972198820556
"98"	"cd8.positive..alpha.beta.t.cell"	"granulocyte"	0.00586510263929619
"160"	"fast.muscle.cell"	"memory.b.cell"	0.00573065902578797
"17"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00564334085778781
"29"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0056232427366448
"155"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00560747663551402
"10"	"mast.cell"	"cd4.positive..alpha.beta.t.cell"	0.00555555555555556
"272"	"endothelial.cell.of.vascular.tree"	"nk.cell"	0.00555114988104679
"35"	"slow.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00548696844993141
"110"	"skeletal.muscle.satellite.stem.cell"	"granulocyte"	0.00523560209424084
"288"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00517241379310345
"88"	"mesenchymal.stem.cell"	"erythroid.progenitor"	0.00514579759862779
"15"	"skeletal.muscle.satellite.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00508474576271186
"247"	"tendon.cell"	"nampt.neutrophil"	0.00502933780385583
"164"	"mesenchymal.stem.cell"	"memory.b.cell"	0.00495049504950495
"173"	"cd4.positive..alpha.beta.t.cell"	"monocyte"	0.00483091787439614
"171"	"tendon.cell"	"memory.b.cell"	0.00479233226837061
"16"	"slow.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00464396284829721
"106"	"mature.nk.t.cell"	"granulocyte"	0.00462962962962963
"293"	"fast.muscle.cell"	"plasma.cell"	0.00457456541628545
"11"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00445632798573975
"169"	"smooth.muscle.cell"	"memory.b.cell"	0.00437636761487965
"100"	"endothelial.cell.of.lymphatic.vessel"	"granulocyte"	0.00428265524625268
"14"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00422832980972516
"76"	"tendon.cell"	"erythrocyte"	0.00419287211740042
"125"	"mature.nk.t.cell"	"hematopoietic.stem.cell"	0.00418410041841004
"116"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00412654745529574
"31"	"mesenchymal.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00401606425702811
"8"	"fast.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00391389432485323
"38"	"tendon.cell"	"cd8.positive..alpha.beta.t.cell"	0.00391134289439374
"94"	"t.cell"	"erythroid.progenitor"	0.0037202380952381
"286"	"capillary.endothelial.cell"	"plasma.cell"	0.00366300366300366
"9"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.0034965034965035
"254"	"erythrocyte"	"neutrophil"	0.00347624565469293
"40"	"cd4.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.00344036697247706
"266"	"tendon.cell"	"neutrophil"	0.00334448160535117
"19"	"tendon.cell"	"cd4.positive..alpha.beta.t.cell"	0.00333333333333333
"192"	"cd4.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00332225913621262
"167"	"skeletal.muscle.satellite.stem.cell"	"memory.b.cell"	0.00323624595469256
"300"	"skeletal.muscle.satellite.stem.cell"	"plasma.cell"	0.00301659125188537
"135"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00300751879699248
"291"	"endothelial.cell.of.vascular.tree"	"plasma.cell"	0.00293255131964809
"132"	"t.cell"	"hematopoietic.stem.cell"	0.00280636108512629
"189"	"t.cell"	"monocyte"	0.00264550264550265
"34"	"skeletal.muscle.satellite.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00263504611330698
"136"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00263504611330698
"117"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.0024330900243309
"303"	"t.cell"	"plasma.cell"	0.00241254523522316
"235"	"erythrocyte"	"nampt.neutrophil"	0.00231749710312862
"168"	"slow.muscle.cell"	"memory.b.cell"	0.00226928895612708
"287"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00204918032786885
"174"	"cd8.positive..alpha.beta.t.cell"	"monocyte"	0.00196463654223969
"140"	"erythrocyte"	"macrophage"	0.00193423597678917
"182"	"mature.nk.t.cell"	"monocyte"	0.00177935943060498
"147"	"pericyte.cell"	"macrophage"	0.00138121546961326
"45"	"erythrocyte"	"cd24.neutrophil"	0.00137931034482759
"179"	"fast.muscle.cell"	"monocyte"	0.0009765625
"187"	"slow.muscle.cell"	"monocyte"	0.000771604938271605
"7"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0
"26"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0
"102"	"erythrocyte"	"granulocyte"	0
"121"	"erythrocyte"	"hematopoietic.stem.cell"	0
"151"	"t.cell"	"macrophage"	0
"159"	"erythrocyte"	"memory.b.cell"	0
"178"	"erythrocyte"	"monocyte"	0
"197"	"erythrocyte"	"myeloid.progenitor"	0
"216"	"erythrocyte"	"naive.b.cell"	0
"273"	"erythrocyte"	"nk.cell"	0
"292"	"erythrocyte"	"plasma.cell"	0
