"Skeletal muscle"	"Lung"	"value"
"484"	"macrophage"	"non.classical.monocyte"	0.222222222222222
"270"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.212655601659751
"191"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.206627680311891
"367"	"endothelial.cell.of.vascular.tree"	"lung.microvascular.endothelial.cell"	0.201754385964912
"150"	"smooth.muscle.cell"	"bronchial.smooth.muscle.cell"	0.200361010830325
"467"	"mature.nk.t.cell"	"nk.cell"	0.184691358024691
"57"	"tendon.cell"	"adventitial.cell"	0.17964824120603
"709"	"endothelial.cell.of.vascular.tree"	"vein.endothelial.cell"	0.177554438860972
"50"	"mesenchymal.stem.cell"	"adventitial.cell"	0.173690932311622
"332"	"macrophage"	"intermediate.monocyte"	0.166385135135135
"172"	"capillary.endothelial.cell"	"capillary.aerocyte"	0.164662349676226
"446"	"macrophage"	"neutrophil"	0.163626312880044
"124"	"mast.cell"	"basophil"	0.163502109704641
"69"	"mesenchymal.stem.cell"	"alveolar.fibroblast"	0.163341645885287
"218"	"macrophage"	"classical.monocyte"	0.160958904109589
"412"	"mesothelial.cell"	"mesothelial.cell"	0.157293497363796
"21"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.152610441767068
"290"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.147420147420147
"267"	"capillary.endothelial.cell"	"endothelial.cell.of.artery"	0.14431934493347
"76"	"tendon.cell"	"alveolar.fibroblast"	0.141317365269461
"37"	"t.cell"	"cd4.positive..alpha.beta.t.cell"	0.140722291407223
"11"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.135220125786164
"698"	"pericyte.cell"	"vascular.associated.smooth.muscle.cell"	0.132420091324201
"18"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.12906610703043
"701"	"smooth.muscle.cell"	"vascular.associated.smooth.muscle.cell"	0.128205128205128
"389"	"macrophage"	"macrophage"	0.121654501216545
"508"	"pericyte.cell"	"pericyte.cell"	0.116809116809117
"22"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.115191986644407
"194"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.112165660051769
"158"	"endothelial.cell.of.vascular.tree"	"bronchial.vessel.endothelial.cell"	0.106639839034205
"474"	"t.cell"	"nk.cell"	0.104404567699837
"3"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.101063829787234
"511"	"smooth.muscle.cell"	"pericyte.cell"	0.0896646132785763
"643"	"slow.muscle.cell"	"smooth.muscle.cell"	0.0884177869700103
"2"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0874074074074074
"567"	"slow.muscle.cell"	"pulmonary.ionocyte"	0.0864074443336657
"704"	"capillary.endothelial.cell"	"vein.endothelial.cell"	0.0837628865979381
"707"	"endothelial.cell.of.artery"	"vein.endothelial.cell"	0.0825242718446602
"256"	"macrophage"	"dendritic.cell"	0.0794044665012407
"175"	"endothelial.cell.of.artery"	"capillary.aerocyte"	0.0790774299835255
"147"	"pericyte.cell"	"bronchial.smooth.muscle.cell"	0.0778301886792453
"559"	"fast.muscle.cell"	"pulmonary.ionocyte"	0.0734240687679083
"635"	"fast.muscle.cell"	"smooth.muscle.cell"	0.0725570509069631
"543"	"mature.nk.t.cell"	"plasmacytoid.dendritic.cell"	0.0660051768766178
"196"	"endothelial.cell.of.vascular.tree"	"capillary.endothelial.cell"	0.0658914728682171
"365"	"endothelial.cell.of.artery"	"lung.microvascular.endothelial.cell"	0.0632603406326034
"459"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0613095238095238
"659"	"mesothelial.cell"	"type.i.pneumocyte"	0.0580224985198342
"272"	"endothelial.cell.of.vascular.tree"	"endothelial.cell.of.artery"	0.0571736785329018
"167"	"skeletal.muscle.satellite.stem.cell"	"bronchial.vessel.endothelial.cell"	0.0546341463414634
"455"	"t.cell"	"neutrophil"	0.052760736196319
"362"	"capillary.endothelial.cell"	"lung.microvascular.endothelial.cell"	0.0510855683269476
"141"	"fast.muscle.cell"	"bronchial.smooth.muscle.cell"	0.0501792114695341
"644"	"smooth.muscle.cell"	"smooth.muscle.cell"	0.0494437577255871
"642"	"skeletal.muscle.satellite.stem.cell"	"smooth.muscle.cell"	0.048689138576779
"447"	"mast.cell"	"neutrophil"	0.0478334271243669
"149"	"slow.muscle.cell"	"bronchial.smooth.muscle.cell"	0.0476477683956574
"448"	"mature.nk.t.cell"	"neutrophil"	0.0467101958814666
"703"	"tendon.cell"	"vascular.associated.smooth.muscle.cell"	0.0448179271708683
"548"	"slow.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0446816923685251
"541"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0444258172673931
"355"	"mesothelial.cell"	"lung.ciliated.cell"	0.044181459566075
"316"	"mesenchymal.stem.cell"	"fibroblast"	0.0441292356185973
"72"	"skeletal.muscle.satellite.stem.cell"	"alveolar.fibroblast"	0.0430939226519337
"257"	"mast.cell"	"dendritic.cell"	0.0411764705882353
"153"	"capillary.endothelial.cell"	"bronchial.vessel.endothelial.cell"	0.0403361344537815
"678"	"mesothelial.cell"	"type.ii.pneumocyte"	0.0393765381460213
"176"	"endothelial.cell.of.lymphatic.vessel"	"capillary.aerocyte"	0.0392156862745098
"51"	"mesothelial.cell"	"adventitial.cell"	0.0390505359877489
"434"	"slow.muscle.cell"	"myofibroblast.cell"	0.0389294403892944
"506"	"mesenchymal.stem.cell"	"pericyte.cell"	0.0388663967611336
"168"	"slow.muscle.cell"	"bronchial.vessel.endothelial.cell"	0.0383720930232558
"564"	"mesothelial.cell"	"pulmonary.ionocyte"	0.0381811870878167
"696"	"mesenchymal.stem.cell"	"vascular.associated.smooth.muscle.cell"	0.0377714825306893
"286"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0374720357941834
"195"	"endothelial.cell.of.lymphatic.vessel"	"capillary.endothelial.cell"	0.0373134328358209
"156"	"endothelial.cell.of.artery"	"bronchial.vessel.endothelial.cell"	0.0370072405470636
"431"	"mesothelial.cell"	"myofibroblast.cell"	0.0363149847094801
"301"	"slow.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.036222509702458
"177"	"endothelial.cell.of.vascular.tree"	"capillary.aerocyte"	0.0350877192982456
"30"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0346494762288477
"568"	"smooth.muscle.cell"	"pulmonary.ionocyte"	0.0339595375722543
"542"	"mast.cell"	"plasmacytoid.dendritic.cell"	0.0335477941176471
"540"	"fast.muscle.cell"	"plasmacytoid.dendritic.cell"	0.033129904097646
"358"	"slow.muscle.cell"	"lung.ciliated.cell"	0.0328389830508475
"323"	"tendon.cell"	"fibroblast"	0.0320834943950522
"314"	"mast.cell"	"fibroblast"	0.0319333564734467
"562"	"mature.nk.t.cell"	"pulmonary.ionocyte"	0.0316350316350316
"646"	"tendon.cell"	"smooth.muscle.cell"	0.0314787701317716
"291"	"endothelial.cell.of.vascular.tree"	"endothelial.cell.of.lymphatic.vessel"	0.0312312312312312
