"Skeletal muscle"	"Spleen"	"value"
"218"	"macrophage"	"macrophage"	0.186392629340893
"140"	"erythrocyte"	"erythrocyte"	0.184538653366584
"332"	"macrophage"	"neutrophil"	0.149152542372881
"104"	"macrophage"	"classical.monocyte"	0.137931034482759
"353"	"mature.nk.t.cell"	"nk.cell"	0.115611814345992
"115"	"capillary.endothelial.cell"	"endothelial.cell"	0.104003139717425
"73"	"slow.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0841487279843444
"118"	"endothelial.cell.of.artery"	"endothelial.cell"	0.0787193973634652
"65"	"fast.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0740331491712707
"119"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell"	0.0737082066869301
"199"	"macrophage"	"intermediate.monocyte"	0.073489010989011
"420"	"cd4.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.0662251655629139
"120"	"endothelial.cell.of.vascular.tree"	"endothelial.cell"	0.0640413683373111
"315"	"mature.nk.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0598859315589354
"440"	"cd8.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.05859375
"21"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0583941605839416
"246"	"t.cell"	"mature.nk.t.cell"	0.0576407506702413
"287"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0559210526315789
"436"	"t.cell"	"regulatory.t.cell"	0.0549872122762148
"85"	"macrophage"	"cd141.positive.myeloid.dendritic.cell"	0.0520661157024793
"416"	"smooth.muscle.cell"	"platelet"	0.0514285714285714
"415"	"slow.muscle.cell"	"platelet"	0.0510450160771704
"167"	"skeletal.muscle.satellite.stem.cell"	"hematopoietic.stem.cell"	0.0475806451612903
"131"	"smooth.muscle.cell"	"endothelial.cell"	0.0467753366406804
"333"	"mast.cell"	"neutrophil"	0.0467562828755114
"448"	"mature.nk.t.cell"	"type.i.nk.t.cell"	0.046070460704607
"68"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0444330949948928
"322"	"t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0432960893854749
"408"	"macrophage"	"platelet"	0.0431654676258993
"334"	"mature.nk.t.cell"	"neutrophil"	0.0408479834539814
"403"	"endothelial.cell.of.artery"	"platelet"	0.0407862407862408
"231"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0403846153846154
"391"	"mature.nk.t.cell"	"plasmacytoid.dendritic.cell"	0.0396618985695709
"127"	"mesothelial.cell"	"endothelial.cell"	0.0394470667565745
"396"	"slow.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0387323943661972
"239"	"mature.nk.t.cell"	"mature.nk.t.cell"	0.0385996409335727
