"Skeletal muscle"	"Tongue"	"value"
"107"	"mesenchymal.stem.cell"	"fibroblast"	0.265275707898659
"166"	"pericyte.cell"	"pericyte.cell"	0.251436781609195
"169"	"smooth.muscle.cell"	"pericyte.cell"	0.229226361031519
"20"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.216019417475728
"62"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.215953307392996
"215"	"endothelial.cell.of.vascular.tree"	"vein.endothelial.cell"	0.213051823416507
"42"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.196669310071372
"132"	"t.cell"	"immune.cell"	0.184873949579832
"205"	"skeletal.muscle.satellite.stem.cell"	"tongue.muscle.cell"	0.169398907103825
"114"	"tendon.cell"	"fibroblast"	0.163319946452477
"123"	"macrophage"	"immune.cell"	0.124375
"125"	"mature.nk.t.cell"	"immune.cell"	0.114733542319749
"116"	"cd4.positive..alpha.beta.t.cell"	"immune.cell"	0.107883817427386
"117"	"cd8.positive..alpha.beta.t.cell"	"immune.cell"	0.0951932139491046
"92"	"slow.muscle.cell"	"epithelial.cell"	0.0727542687453601
"187"	"slow.muscle.cell"	"schwann.cell"	0.0658513640639699
"84"	"fast.muscle.cell"	"epithelial.cell"	0.0634632819582956
"39"	"capillary.endothelial.cell"	"endothelial.cell.of.artery"	0.0572878897751994
"206"	"slow.muscle.cell"	"tongue.muscle.cell"	0.0518867924528302
"124"	"mast.cell"	"immune.cell"	0.0513513513513514
"179"	"fast.muscle.cell"	"schwann.cell"	0.0489768534048977
"198"	"fast.muscle.cell"	"tongue.muscle.cell"	0.048820179007323
"184"	"mesothelial.cell"	"schwann.cell"	0.0452109845947756
"182"	"mature.nk.t.cell"	"schwann.cell"	0.0402835965194973
"181"	"mast.cell"	"schwann.cell"	0.0397786233137323
"89"	"mesothelial.cell"	"epithelial.cell"	0.0382562277580071
"108"	"mesothelial.cell"	"fibroblast"	0.0379032258064516
"180"	"macrophage"	"schwann.cell"	0.0373563218390805
"25"	"endothelial.cell.of.vascular.tree"	"capillary.endothelial.cell"	0.0372148859543818
"188"	"smooth.muscle.cell"	"schwann.cell"	0.0352941176470588
"66"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0348101265822785
"146"	"mesothelial.cell"	"keratinocyte"	0.0302267002518892
"70"	"mesothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0300751879699248
"202"	"mesenchymal.stem.cell"	"tongue.muscle.cell"	0.0292326431181486
"168"	"slow.muscle.cell"	"pericyte.cell"	0.0291616038882139
"160"	"fast.muscle.cell"	"pericyte.cell"	0.0289435600578871
"203"	"mesothelial.cell"	"tongue.muscle.cell"	0.028869286287089
"48"	"mast.cell"	"endothelial.cell.of.artery"	0.0286989795918367
"73"	"slow.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0264519838987924
"186"	"skeletal.muscle.satellite.stem.cell"	"schwann.cell"	0.0262857142857143
"23"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.0253164556962025
"164"	"mesenchymal.stem.cell"	"pericyte.cell"	0.0251572327044025
"213"	"endothelial.cell.of.artery"	"vein.endothelial.cell"	0.0249687890137328
"68"	"mature.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0247619047619048
"171"	"tendon.cell"	"pericyte.cell"	0.0246406570841889
"13"	"mesothelial.cell"	"basal.cell"	0.0243690165361184
"49"	"mature.nk.t.cell"	"endothelial.cell.of.artery"	0.0239955357142857
"54"	"slow.muscle.cell"	"endothelial.cell.of.artery"	0.0239918325676366
"67"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0235294117647059
"43"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.artery"	0.0215277777777778
"210"	"capillary.endothelial.cell"	"vein.endothelial.cell"	0.0212201591511936
"190"	"tendon.cell"	"schwann.cell"	0.0211560256894598
"47"	"macrophage"	"endothelial.cell.of.artery"	0.0209020902090209
"30"	"mature.nk.t.cell"	"capillary.endothelial.cell"	0.0199704142011834
"104"	"macrophage"	"fibroblast"	0.0187185025197984
"74"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0184774575018477
"176"	"endothelial.cell.of.lymphatic.vessel"	"schwann.cell"	0.0181301102026306
"56"	"t.cell"	"endothelial.cell.of.artery"	0.0180430256766135
"44"	"endothelial.cell.of.vascular.tree"	"endothelial.cell.of.artery"	0.0177332305319969
"15"	"skeletal.muscle.satellite.stem.cell"	"basal.cell"	0.0176390773405699
"63"	"endothelial.cell.of.vascular.tree"	"endothelial.cell.of.lymphatic.vessel"	0.0175925925925926
"29"	"mast.cell"	"capillary.endothelial.cell"	0.0175901495162709
"149"	"slow.muscle.cell"	"keratinocyte"	0.017579445571332
"41"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0175292153589316
"189"	"t.cell"	"schwann.cell"	0.0174315190323728
"58"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0172697368421053
"142"	"macrophage"	"keratinocyte"	0.0172672672672673
"51"	"mesothelial.cell"	"endothelial.cell.of.artery"	0.0170688640376692
"183"	"mesenchymal.stem.cell"	"schwann.cell"	0.0166729821902236
"61"	"endothelial.cell.of.artery"	"endothelial.cell.of.lymphatic.vessel"	0.0165745856353591
"65"	"fast.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0161182001343183
"76"	"tendon.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0158582089552239
"18"	"t.cell"	"basal.cell"	0.0155210643015521
"175"	"endothelial.cell.of.artery"	"schwann.cell"	0.0153953813855843
"55"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0152380952380952
"143"	"mast.cell"	"keratinocyte"	0.0145985401459854
"207"	"smooth.muscle.cell"	"tongue.muscle.cell"	0.0140597539543058
"9"	"macrophage"	"basal.cell"	0.013986013986014
"141"	"fast.muscle.cell"	"keratinocyte"	0.0139802631578947
"200"	"mast.cell"	"tongue.muscle.cell"	0.0138888888888889
"28"	"macrophage"	"capillary.endothelial.cell"	0.0137581462708182
"46"	"fast.muscle.cell"	"endothelial.cell.of.artery"	0.0134424313267095
"35"	"slow.muscle.cell"	"capillary.endothelial.cell"	0.0130718954248366
"174"	"cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.0127956572314851
"112"	"smooth.muscle.cell"	"fibroblast"	0.0122377622377622
"37"	"t.cell"	"capillary.endothelial.cell"	0.012012012012012
"152"	"tendon.cell"	"keratinocyte"	0.01125
"105"	"mast.cell"	"fibroblast"	0.0112165660051769
"120"	"endothelial.cell.of.vascular.tree"	"immune.cell"	0.011208967173739
"32"	"mesothelial.cell"	"capillary.endothelial.cell"	0.0111287758346582
"5"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.010989010989011
"185"	"pericyte.cell"	"schwann.cell"	0.010989010989011
"12"	"mesenchymal.stem.cell"	"basal.cell"	0.0109439124487004
"201"	"mature.nk.t.cell"	"tongue.muscle.cell"	0.0109090909090909
"162"	"mast.cell"	"pericyte.cell"	0.0108780108780109
"173"	"cd4.positive..alpha.beta.t.cell"	"schwann.cell"	0.0108390204737053
"144"	"mature.nk.t.cell"	"keratinocyte"	0.0106060606060606
"110"	"skeletal.muscle.satellite.stem.cell"	"fibroblast"	0.0105757931844888
"2"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.0105633802816901
"4"	"endothelial.cell.of.artery"	"basal.cell"	0.0105485232067511
"177"	"endothelial.cell.of.vascular.tree"	"schwann.cell"	0.0104283054003724
"192"	"cd4.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.0104011887072808
"87"	"mature.nk.t.cell"	"epithelial.cell"	0.0103092783505155
"24"	"endothelial.cell.of.lymphatic.vessel"	"capillary.endothelial.cell"	0.00995024875621891
"139"	"endothelial.cell.of.vascular.tree"	"keratinocyte"	0.00986436498150432
"86"	"mast.cell"	"epithelial.cell"	0.00959692898272553
"172"	"capillary.endothelial.cell"	"schwann.cell"	0.00956090651558074
"109"	"pericyte.cell"	"fibroblast"	0.00952380952380952
"69"	"mesenchymal.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00944287063267233
"138"	"endothelial.cell.of.lymphatic.vessel"	"keratinocyte"	0.00936524453694069
"19"	"tendon.cell"	"basal.cell"	0.00930851063829787
"165"	"mesothelial.cell"	"pericyte.cell"	0.00926585887384177
"79"	"cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.00920245398773006
"137"	"endothelial.cell.of.artery"	"keratinocyte"	0.00900900900900901
"100"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.00881488736532811
"219"	"mast.cell"	"vein.endothelial.cell"	0.00872410032715376
"140"	"erythrocyte"	"keratinocyte"	0.00849256900212314
"161"	"macrophage"	"pericyte.cell"	0.0084911822338341
"33"	"pericyte.cell"	"capillary.endothelial.cell"	0.00832177531206657
"209"	"tendon.cell"	"tongue.muscle.cell"	0.00815850815850816
"64"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00801068090787717
"157"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.00782608695652174
"52"	"pericyte.cell"	"endothelial.cell.of.artery"	0.00766609880749574
"72"	"skeletal.muscle.satellite.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00746268656716418
"134"	"capillary.endothelial.cell"	"keratinocyte"	0.00736842105263158
"83"	"erythrocyte"	"epithelial.cell"	0.00728155339805825
"31"	"mesenchymal.stem.cell"	"capillary.endothelial.cell"	0.0072463768115942
"40"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00716204118173679
"167"	"skeletal.muscle.satellite.stem.cell"	"pericyte.cell"	0.00712830957230143
"7"	"erythrocyte"	"basal.cell"	0.00710900473933649
"36"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.00704845814977974
"57"	"tendon.cell"	"endothelial.cell.of.artery"	0.00691775557263643
"222"	"mesothelial.cell"	"vein.endothelial.cell"	0.00677637947725073
"17"	"smooth.muscle.cell"	"basal.cell"	0.00672430355427474
"10"	"mast.cell"	"basal.cell"	0.00663507109004739
"6"	"endothelial.cell.of.vascular.tree"	"basal.cell"	0.00654450261780105
"193"	"cd8.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.00650195058517555
"135"	"cd4.positive..alpha.beta.t.cell"	"keratinocyte"	0.00645161290322581
"214"	"endothelial.cell.of.lymphatic.vessel"	"vein.endothelial.cell"	0.006426735218509
"145"	"mesenchymal.stem.cell"	"keratinocyte"	0.00637755102040816
"27"	"fast.muscle.cell"	"capillary.endothelial.cell"	0.0062992125984252
"71"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00627615062761506
"11"	"mature.nk.t.cell"	"basal.cell"	0.00626959247648903
"218"	"macrophage"	"vein.endothelial.cell"	0.00602928509905254
"3"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00602409638554217
"21"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00601503759398496
"122"	"fast.muscle.cell"	"immune.cell"	0.00599880023995201
"8"	"fast.muscle.cell"	"basal.cell"	0.00595238095238095
"178"	"erythrocyte"	"schwann.cell"	0.0059447983014862
"99"	"endothelial.cell.of.artery"	"fibroblast"	0.00564971751412429
"59"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00556173526140156
"150"	"smooth.muscle.cell"	"keratinocyte"	0.00549450549450549
"103"	"fast.muscle.cell"	"fibroblast"	0.00544323483670296
"95"	"tendon.cell"	"epithelial.cell"	0.00536912751677852
"163"	"mature.nk.t.cell"	"pericyte.cell"	0.00528052805280528
"130"	"slow.muscle.cell"	"immune.cell"	0.00515729757607014
