"Skeletal muscle"	"Trachea"	"value"
"218"	"macrophage"	"macrophage"	0.279352226720648
"153"	"capillary.endothelial.cell"	"endothelial.cell"	0.236220472440945
"356"	"pericyte.cell"	"smooth.muscle.cell"	0.196658097686375
"275"	"macrophage"	"neutrophil"	0.192118226600985
"126"	"mesenchymal.stem.cell"	"connective.tissue.cell"	0.185425101214575
"183"	"mesenchymal.stem.cell"	"fibroblast"	0.158505154639175
"158"	"endothelial.cell.of.vascular.tree"	"endothelial.cell"	0.15670436187399
"156"	"endothelial.cell.of.artery"	"endothelial.cell"	0.154558404558405
"190"	"tendon.cell"	"fibroblast"	0.144458281444583
"359"	"smooth.muscle.cell"	"smooth.muscle.cell"	0.144435004248088
"238"	"mast.cell"	"mast.cell"	0.135064935064935
"133"	"tendon.cell"	"connective.tissue.cell"	0.122541603630862
"87"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.109610802223987
"79"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.106232294617564
"94"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.101713062098501
"206"	"slow.muscle.cell"	"ionocyte"	0.0970149253731343
"157"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell"	0.0894700619408121
"144"	"mature.nk.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0791111111111111
"198"	"fast.muscle.cell"	"ionocyte"	0.0760703363914373
"59"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0746887966804979
"78"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0717628705148206
"75"	"t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0617283950617284
"184"	"mesothelial.cell"	"fibroblast"	0.0478056426332288
"108"	"mesothelial.cell"	"ciliated.cell"	0.0465465465465465
"151"	"t.cell"	"double.positive..alpha.beta.thymocyte"	0.0462163534789233
"277"	"mature.nk.t.cell"	"neutrophil"	0.0458765701802294
"131"	"smooth.muscle.cell"	"connective.tissue.cell"	0.0447849145550972
"127"	"mesothelial.cell"	"connective.tissue.cell"	0.0444810543657331
"53"	"skeletal.muscle.satellite.stem.cell"	"basal.cell"	0.0443974630021142
"136"	"cd8.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0413793103448276
"149"	"slow.muscle.cell"	"double.positive..alpha.beta.thymocyte"	0.0408490188225871
"364"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0404494382022472
"284"	"t.cell"	"neutrophil"	0.0403496973772697
"276"	"mast.cell"	"neutrophil"	0.0392879066912216
"207"	"smooth.muscle.cell"	"ionocyte"	0.039162466072121
"358"	"slow.muscle.cell"	"smooth.muscle.cell"	0.0390995260663507
"200"	"mast.cell"	"ionocyte"	0.0377503852080123
"372"	"mature.nk.t.cell"	"t.cell"	0.0375
"203"	"mesothelial.cell"	"ionocyte"	0.0369139904023625
"37"	"t.cell"	"b.cell"	0.0366774541531823
"51"	"mesothelial.cell"	"basal.cell"	0.0366300366300366
"129"	"skeletal.muscle.satellite.stem.cell"	"connective.tissue.cell"	0.0365425158116655
"379"	"t.cell"	"t.cell"	0.0364431486880466
"350"	"fast.muscle.cell"	"smooth.muscle.cell"	0.0356394129979036
"143"	"mast.cell"	"double.positive..alpha.beta.thymocyte"	0.0351947442515251
"19"	"tendon.cell"	"goblet.cell"	0.03515625
"201"	"mature.nk.t.cell"	"ionocyte"	0.0347764371894961
"119"	"endothelial.cell.of.lymphatic.vessel"	"connective.tissue.cell"	0.0345911949685535
"195"	"endothelial.cell.of.lymphatic.vessel"	"ionocyte"	0.0331983805668016
"135"	"cd4.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0330727600721588
"54"	"slow.muscle.cell"	"basal.cell"	0.0316879951249238
"111"	"slow.muscle.cell"	"ciliated.cell"	0.0305882352941176
"60"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0303030303030303
"13"	"mesothelial.cell"	"goblet.cell"	0.0297113752122241
"336"	"mesothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0292573143285821
"361"	"tendon.cell"	"smooth.muscle.cell"	0.0291828793774319
"68"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0284757118927973
"357"	"skeletal.muscle.satellite.stem.cell"	"smooth.muscle.cell"	0.0284313725490196
"100"	"endothelial.cell.of.lymphatic.vessel"	"ciliated.cell"	0.0271915584415584
"141"	"fast.muscle.cell"	"double.positive..alpha.beta.thymocyte"	0.0269196822594881
"232"	"endothelial.cell.of.artery"	"mast.cell"	0.0263605442176871
"112"	"smooth.muscle.cell"	"ciliated.cell"	0.0262446931686607
"46"	"fast.muscle.cell"	"basal.cell"	0.0259927797833935
"194"	"endothelial.cell.of.artery"	"ionocyte"	0.0257425742574257
"103"	"fast.muscle.cell"	"ciliated.cell"	0.025697503671072
"354"	"mesenchymal.stem.cell"	"smooth.muscle.cell"	0.0256916996047431
