"Spleen"	"Bone marrow"	"value"
"80"	"erythrocyte"	"erythrocyte"	0.51888341543514
"306"	"neutrophil"	"nampt.neutrophil"	0.478365384615385
"380"	"plasma.cell"	"plasma.cell"	0.409340659340659
"59"	"intermediate.monocyte"	"cd24.neutrophil"	0.361631753031974
"279"	"naive.b.cell"	"naive.b.cell"	0.296851574212894
"330"	"neutrophil"	"neutrophil"	0.281054823039556
"355"	"nk.cell"	"nk.cell"	0.251805985552116
"206"	"memory.b.cell"	"memory.b.cell"	0.220735785953177
"174"	"classical.monocyte"	"macrophage"	0.209876543209877
"16"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.203619909502262
"2"	"cd4.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.163366336633663
"323"	"intermediate.monocyte"	"neutrophil"	0.152556580050293
"105"	"hematopoietic.stem.cell"	"erythroid.progenitor"	0.142660234321158
"124"	"cd8.positive..alpha.beta.t.cell"	"granulocyte"	0.139389193422083
"222"	"classical.monocyte"	"monocyte"	0.131634819532909
"180"	"macrophage"	"macrophage"	0.131212723658052
"249"	"hematopoietic.stem.cell"	"myeloid.progenitor"	0.125813449023861
"23"	"regulatory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.123359580052493
"207"	"naive.b.cell"	"memory.b.cell"	0.121475054229935
"41"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.121212121212121
"100"	"cd8.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.121103117505995
"381"	"plasmacytoid.dendritic.cell"	"plasma.cell"	0.110294117647059
"48"	"type.i.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.102161100196464
"278"	"memory.b.cell"	"naive.b.cell"	0.100308641975309
"228"	"macrophage"	"monocyte"	0.0977722772277228
"129"	"hematopoietic.stem.cell"	"granulocyte"	0.0865384615384615
"360"	"type.i.nk.t.cell"	"nk.cell"	0.0715015321756895
"353"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0702127659574468
"262"	"platelet"	"myeloid.progenitor"	0.0674544559330379
"27"	"cd8.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0666666666666667
"117"	"plasmacytoid.dendritic.cell"	"erythroid.progenitor"	0.0650710545998504
"47"	"regulatory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0623885918003565
"104"	"erythrocyte"	"erythroid.progenitor"	0.0584474885844749
"349"	"mature.nk.t.cell"	"nk.cell"	0.0564516129032258
"154"	"innate.lymphoid.cell"	"hematopoietic.stem.cell"	0.0552208835341365
"37"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0526315789473684
"57"	"hematopoietic.stem.cell"	"cd24.neutrophil"	0.0524137931034483
"94"	"platelet"	"erythrocyte"	0.0495100567302733
"153"	"hematopoietic.stem.cell"	"hematopoietic.stem.cell"	0.0485952923310554
"151"	"endothelial.cell"	"hematopoietic.stem.cell"	0.0482388973966309
"97"	"cd1c.positive.myeloid.dendritic.cell"	"erythroid.progenitor"	0.0475302889095993
"247"	"endothelial.cell"	"myeloid.progenitor"	0.0474478792235802
"244"	"cd8.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.0442739079102715
"173"	"cd141.positive.myeloid.dendritic.cell"	"macrophage"	0.0439093484419263
"346"	"innate.lymphoid.cell"	"nk.cell"	0.0434131736526946
"118"	"platelet"	"erythroid.progenitor"	0.0432183908045977
"166"	"platelet"	"hematopoietic.stem.cell"	0.0418410041841004
"66"	"neutrophil"	"cd24.neutrophil"	0.0396099939061548
"197"	"cd141.positive.myeloid.dendritic.cell"	"memory.b.cell"	0.0383838383838384
"334"	"platelet"	"neutrophil"	0.0383036935704514
"299"	"intermediate.monocyte"	"nampt.neutrophil"	0.0377643504531722
"70"	"platelet"	"cd24.neutrophil"	0.036372453928225
"269"	"cd141.positive.myeloid.dendritic.cell"	"naive.b.cell"	0.0360576923076923
"285"	"plasmacytoid.dendritic.cell"	"naive.b.cell"	0.0359897172236504
"358"	"platelet"	"nk.cell"	0.0331858407079646
"55"	"endothelial.cell"	"cd24.neutrophil"	0.031484794275492
"141"	"plasmacytoid.dendritic.cell"	"granulocyte"	0.0295918367346939
"10"	"innate.lymphoid.cell"	"cd4.positive..alpha.beta.t.cell"	0.0292887029288703
"310"	"platelet"	"nampt.neutrophil"	0.0289330922242315
"213"	"plasmacytoid.dendritic.cell"	"memory.b.cell"	0.028673835125448
"319"	"endothelial.cell"	"neutrophil"	0.0282312925170068
"190"	"platelet"	"macrophage"	0.0266098988823842
"340"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0259671436142024
"149"	"cd141.positive.myeloid.dendritic.cell"	"hematopoietic.stem.cell"	0.0256410256410256
"189"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0255439924314096
"28"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0254957507082153
"145"	"cd1c.positive.myeloid.dendritic.cell"	"hematopoietic.stem.cell"	0.0254237288135593
"361"	"cd1c.positive.myeloid.dendritic.cell"	"plasma.cell"	0.0253807106598985
"221"	"cd141.positive.myeloid.dendritic.cell"	"monocyte"	0.0253164556962025
"186"	"neutrophil"	"macrophage"	0.0246238030095759
"126"	"classical.monocyte"	"granulocyte"	0.0245664739884393
"103"	"endothelial.cell"	"erythroid.progenitor"	0.024116847826087
"202"	"innate.lymphoid.cell"	"memory.b.cell"	0.0240963855421687
"43"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0240112994350282
"343"	"endothelial.cell"	"nk.cell"	0.0239282153539382
"79"	"endothelial.cell"	"erythrocyte"	0.0235553919764446
"271"	"endothelial.cell"	"naive.b.cell"	0.0226442658875091
"295"	"endothelial.cell"	"nampt.neutrophil"	0.0219817382482246
"193"	"cd1c.positive.myeloid.dendritic.cell"	"memory.b.cell"	0.0218579234972678
"212"	"plasma.cell"	"memory.b.cell"	0.0218340611353712
"125"	"cd141.positive.myeloid.dendritic.cell"	"granulocyte"	0.0216049382716049
"265"	"cd1c.positive.myeloid.dendritic.cell"	"naive.b.cell"	0.0213483146067416
"156"	"macrophage"	"hematopoietic.stem.cell"	0.0212585034013605
"223"	"endothelial.cell"	"monocyte"	0.02106149957877
"276"	"macrophage"	"naive.b.cell"	0.021018593371059
"250"	"innate.lymphoid.cell"	"myeloid.progenitor"	0.0199501246882793
"140"	"plasma.cell"	"granulocyte"	0.0198675496688742
"359"	"regulatory.t.cell"	"nk.cell"	0.019755409219191
"169"	"cd1c.positive.myeloid.dendritic.cell"	"macrophage"	0.0181818181818182
"60"	"macrophage"	"cd24.neutrophil"	0.0181543116490166
"215"	"regulatory.t.cell"	"memory.b.cell"	0.0178970917225951
"175"	"endothelial.cell"	"macrophage"	0.0178843226788432
"324"	"macrophage"	"neutrophil"	0.0171115674195756
"116"	"plasma.cell"	"erythroid.progenitor"	0.0167652859960552
"274"	"innate.lymphoid.cell"	"naive.b.cell"	0.0164383561643836
"252"	"macrophage"	"myeloid.progenitor"	0.0162361623616236
"108"	"macrophage"	"erythroid.progenitor"	0.015807560137457
"121"	"cd1c.positive.myeloid.dendritic.cell"	"granulocyte"	0.0157593123209169
"287"	"regulatory.t.cell"	"naive.b.cell"	0.0151706700379267
"284"	"plasma.cell"	"naive.b.cell"	0.0149253731343284
"241"	"cd1c.positive.myeloid.dendritic.cell"	"myeloid.progenitor"	0.0148809523809524
