"Spleen"	"Lung"	"value"
"570"	"neutrophil"	"neutrophil"	0.544117647058823
"270"	"classical.monocyte"	"classical.monocyte"	0.220394736842105
"668"	"plasma.cell"	"plasma.cell"	0.204778156996587
"414"	"classical.monocyte"	"intermediate.monocyte"	0.200312989045383
"612"	"macrophage"	"non.classical.monocyte"	0.189674523007856
"317"	"cd141.positive.myeloid.dendritic.cell"	"dendritic.cell"	0.16036036036036
"606"	"classical.monocyte"	"non.classical.monocyte"	0.155482815057283
"111"	"naive.b.cell"	"b.cell"	0.147157190635452
"110"	"memory.b.cell"	"b.cell"	0.143468950749465
"492"	"macrophage"	"macrophage"	0.134343434343434
"595"	"nk.cell"	"nk.cell"	0.12970969734404
"563"	"intermediate.monocyte"	"neutrophil"	0.117268041237113
"247"	"endothelial.cell"	"capillary.endothelial.cell"	0.113106610622851
"367"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.111111111111111
"420"	"macrophage"	"intermediate.monocyte"	0.102261553588987
"275"	"intermediate.monocyte"	"classical.monocyte"	0.0956618464961068
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0930232558139535
"47"	"regulatory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0914179104477612
"343"	"endothelial.cell"	"endothelial.cell.of.artery"	0.0893135725429017
"580"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0892018779342723
"223"	"endothelial.cell"	"capillary.aerocyte"	0.089086859688196
"391"	"endothelial.cell"	"fibroblast"	0.087103798693443
"17"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0827922077922078
"24"	"type.i.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0790273556231003
"282"	"neutrophil"	"classical.monocyte"	0.0737463126843658
"796"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.0708055413032324
"26"	"cd4.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0681198910081744
"23"	"regulatory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0673352435530086
"19"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0671550671550672
"13"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0661654135338346
"276"	"macrophage"	"classical.monocyte"	0.066147859922179
"535"	"endothelial.cell"	"myofibroblast.cell"	0.0621935483870968
"486"	"classical.monocyte"	"macrophage"	0.0621546961325967
