"Spleen"	"Skeletal muscle"	"value"
"204"	"macrophage"	"macrophage"	0.186392629340893
"152"	"erythrocyte"	"erythrocyte"	0.184538653366584
"210"	"neutrophil"	"macrophage"	0.149152542372881
"198"	"classical.monocyte"	"macrophage"	0.137931034482759
"259"	"nk.cell"	"mature.nk.t.cell"	0.115611814345992
"7"	"endothelial.cell"	"capillary.endothelial.cell"	0.104003139717425
"364"	"cd8.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.0841487279843444
"79"	"endothelial.cell"	"endothelial.cell.of.artery"	0.0787193973634652
"172"	"cd8.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.0740331491712707
"103"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0737082066869301
"203"	"intermediate.monocyte"	"macrophage"	0.073489010989011
"47"	"regulatory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0662251655629139
"127"	"endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.0640413683373111
"257"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0598859315589354
"72"	"type.i.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.05859375
"26"	"cd4.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0583941605839416
"421"	"mature.nk.t.cell"	"t.cell"	0.0576407506702413
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0559210526315789
"431"	"regulatory.t.cell"	"t.cell"	0.0549872122762148
"197"	"cd141.positive.myeloid.dendritic.cell"	"macrophage"	0.0520661157024793
"406"	"platelet"	"smooth.muscle.cell"	0.0514285714285714
"382"	"platelet"	"slow.muscle.cell"	0.0510450160771704
"345"	"hematopoietic.stem.cell"	"skeletal.muscle.satellite.stem.cell"	0.0475806451612903
"391"	"endothelial.cell"	"smooth.muscle.cell"	0.0467753366406804
"234"	"neutrophil"	"mast.cell"	0.0467562828755114
"264"	"type.i.nk.t.cell"	"mature.nk.t.cell"	0.046070460704607
"244"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0444330949948928
"425"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0432960893854749
"214"	"platelet"	"macrophage"	0.0431654676258993
"258"	"neutrophil"	"mature.nk.t.cell"	0.0408479834539814
"94"	"platelet"	"endothelial.cell.of.artery"	0.0407862407862408
"61"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0403846153846154
"261"	"plasmacytoid.dendritic.cell"	"mature.nk.t.cell"	0.0396618985695709
"295"	"endothelial.cell"	"mesothelial.cell"	0.0394470667565745
"381"	"plasmacytoid.dendritic.cell"	"slow.muscle.cell"	0.0387323943661972
"253"	"mature.nk.t.cell"	"mature.nk.t.cell"	0.0385996409335727
"190"	"platelet"	"fast.muscle.cell"	0.0381036774479397
"226"	"innate.lymphoid.cell"	"mast.cell"	0.0380875202593193
"369"	"hematopoietic.stem.cell"	"slow.muscle.cell"	0.0378042465044019
"177"	"hematopoietic.stem.cell"	"fast.muscle.cell"	0.0377471539844218
"361"	"cd1c.positive.myeloid.dendritic.cell"	"slow.muscle.cell"	0.0374029640084686
"34"	"innate.lymphoid.cell"	"cd4.positive..alpha.beta.t.cell"	0.0366013071895425
"225"	"hematopoietic.stem.cell"	"mast.cell"	0.0360128617363344
"426"	"neutrophil"	"t.cell"	0.0358942065491184
"432"	"type.i.nk.t.cell"	"t.cell"	0.0353866317169069
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0352697095435685
"452"	"plasma.cell"	"tendon.cell"	0.0349544072948328
"238"	"platelet"	"mast.cell"	0.0349324639031206
"118"	"platelet"	"endothelial.cell.of.lymphatic.vessel"	0.0348258706467662
"423"	"naive.b.cell"	"t.cell"	0.0325960419091967
"71"	"regulatory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0322003577817531
"90"	"neutrophil"	"endothelial.cell.of.artery"	0.0318042813455657
"262"	"platelet"	"mature.nk.t.cell"	0.0312236286919831
"424"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"t.cell"	0.031104199066874
"169"	"cd1c.positive.myeloid.dendritic.cell"	"fast.muscle.cell"	0.0309810671256454
"297"	"hematopoietic.stem.cell"	"mesothelial.cell"	0.0304477611940299
"394"	"innate.lymphoid.cell"	"smooth.muscle.cell"	0.0300813008130081
"235"	"nk.cell"	"mast.cell"	0.0299625468164794
"271"	"endothelial.cell"	"mesenchymal.stem.cell"	0.02958349552355
"189"	"plasmacytoid.dendritic.cell"	"fast.muscle.cell"	0.029553264604811
"227"	"intermediate.monocyte"	"mast.cell"	0.0288386593920499
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.028169014084507
"439"	"endothelial.cell"	"tendon.cell"	0.0281635802469136
"418"	"innate.lymphoid.cell"	"t.cell"	0.0280797101449275
"367"	"endothelial.cell"	"slow.muscle.cell"	0.0275145215530419
"427"	"nk.cell"	"t.cell"	0.0269106566200215
"251"	"intermediate.monocyte"	"mature.nk.t.cell"	0.0266311584553928
"104"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0264550264550265
