"Spleen"	"Tongue"	"value"
"162"	"neutrophil"	"immune.cell"	0.0870062965082999
"100"	"cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.0737396538750941
"55"	"endothelial.cell"	"endothelial.cell.of.artery"	0.0696483441447593
"223"	"endothelial.cell"	"schwann.cell"	0.062940347581024
"79"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0616113744075829
"31"	"endothelial.cell"	"capillary.endothelial.cell"	0.0606180665610143
"238"	"platelet"	"schwann.cell"	0.0579345088161209
"167"	"regulatory.t.cell"	"immune.cell"	0.0557729941291585
"149"	"cd141.positive.myeloid.dendritic.cell"	"immune.cell"	0.0537037037037037
"163"	"nk.cell"	"immune.cell"	0.0531822144725371
"220"	"cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.0503261882572227
"225"	"hematopoietic.stem.cell"	"schwann.cell"	0.0486432825943084
"70"	"platelet"	"endothelial.cell.of.artery"	0.0478489903424056
"156"	"macrophage"	"immune.cell"	0.0469387755102041
"214"	"platelet"	"pericyte.cell"	0.042713567839196
"237"	"plasmacytoid.dendritic.cell"	"schwann.cell"	0.0422585227272727
"157"	"mature.nk.t.cell"	"immune.cell"	0.0398803589232303
"94"	"platelet"	"endothelial.cell.of.lymphatic.vessel"	0.0393474088291747
"116"	"plasma.cell"	"epithelial.cell"	0.03886925795053
"150"	"classical.monocyte"	"immune.cell"	0.0358391608391608
"155"	"intermediate.monocyte"	"immune.cell"	0.0347826086956522
"161"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"immune.cell"	0.0340909090909091
"154"	"innate.lymphoid.cell"	"immune.cell"	0.0327137546468401
"168"	"type.i.nk.t.cell"	"immune.cell"	0.0326409495548961
"199"	"endothelial.cell"	"pericyte.cell"	0.0321990486644713
"66"	"neutrophil"	"endothelial.cell.of.artery"	0.0316455696202532
"226"	"innate.lymphoid.cell"	"schwann.cell"	0.0301161103047895
"84"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0299625468164794
"148"	"cd8.positive..alpha.beta.t.cell"	"immune.cell"	0.0298666666666667
"127"	"endothelial.cell"	"fibroblast"	0.0298393267023718
"80"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0292397660818713
"159"	"naive.b.cell"	"immune.cell"	0.0279279279279279
"59"	"intermediate.monocyte"	"endothelial.cell.of.artery"	0.027681660899654
"234"	"neutrophil"	"schwann.cell"	0.0273006134969325
"228"	"macrophage"	"schwann.cell"	0.0271477663230241
"60"	"macrophage"	"endothelial.cell.of.artery"	0.027027027027027
"271"	"endothelial.cell"	"vein.endothelial.cell"	0.0268794624107518
"249"	"hematopoietic.stem.cell"	"tongue.muscle.cell"	0.0262143407864302
"117"	"plasmacytoid.dendritic.cell"	"epithelial.cell"	0.0261506276150628
"52"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0257997936016512
"97"	"cd1c.positive.myeloid.dendritic.cell"	"epithelial.cell"	0.0256024096385542
"57"	"hematopoietic.stem.cell"	"endothelial.cell.of.artery"	0.0254041570438799
"46"	"platelet"	"capillary.endothelial.cell"	0.0249469214437367
"132"	"macrophage"	"fibroblast"	0.0248447204968944
"126"	"classical.monocyte"	"fibroblast"	0.0242966751918159
"142"	"platelet"	"fibroblast"	0.0236717517096265
"256"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.02321083172147
"204"	"macrophage"	"pericyte.cell"	0.0231075697211155
"90"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0229952830188679
"166"	"platelet"	"immune.cell"	0.0228270412642669
"34"	"innate.lymphoid.cell"	"capillary.endothelial.cell"	0.0227272727272727
"4"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.0220483641536273
"227"	"intermediate.monocyte"	"schwann.cell"	0.0220170454545455
"146"	"cd4.positive..alpha.beta.memory.t.cell"	"immune.cell"	0.0219146482122261
"58"	"innate.lymphoid.cell"	"endothelial.cell.of.artery"	0.0219081272084806
"69"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.artery"	0.0218687872763419
"82"	"innate.lymphoid.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0216847372810676
"202"	"innate.lymphoid.cell"	"pericyte.cell"	0.0216216216216216
"36"	"macrophage"	"capillary.endothelial.cell"	0.021505376344086
"217"	"cd1c.positive.myeloid.dendritic.cell"	"schwann.cell"	0.0209221232080589
"35"	"intermediate.monocyte"	"capillary.endothelial.cell"	0.0208333333333333
"179"	"intermediate.monocyte"	"keratinocyte"	0.020746887966805
"254"	"memory.b.cell"	"tongue.muscle.cell"	0.0203735144312394
"224"	"erythrocyte"	"schwann.cell"	0.0202521971723347
"67"	"nk.cell"	"endothelial.cell.of.artery"	0.0201612903225806
"42"	"neutrophil"	"capillary.endothelial.cell"	0.0197144799456152
"76"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0196191575302943
"250"	"innate.lymphoid.cell"	"tongue.muscle.cell"	0.0193482688391039
"200"	"erythrocyte"	"pericyte.cell"	0.0190073917634636
"160"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"immune.cell"	0.0188888888888889
"32"	"erythrocyte"	"capillary.endothelial.cell"	0.0186104218362283
"210"	"neutrophil"	"pericyte.cell"	0.0185873605947955
"33"	"hematopoietic.stem.cell"	"capillary.endothelial.cell"	0.0185185185185185
