"Spleen"	"Trachea"	"value"
"354"	"neutrophil"	"neutrophil"	0.485047410649161
"39"	"naive.b.cell"	"b.cell"	0.286245353159851
"380"	"plasma.cell"	"plasma.cell"	0.26647564469914
"276"	"macrophage"	"macrophage"	0.218836565096953
"38"	"memory.b.cell"	"b.cell"	0.19205298013245
"199"	"endothelial.cell"	"endothelial.cell"	0.178714130039956
"270"	"classical.monocyte"	"macrophage"	0.158273381294964
"347"	"intermediate.monocyte"	"neutrophil"	0.129148629148629
"151"	"endothelial.cell"	"connective.tissue.cell"	0.097941567065073
"95"	"regulatory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0907216494845361
"115"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0881578947368421
"120"	"type.i.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0833333333333333
"269"	"cd141.positive.myeloid.dendritic.cell"	"macrophage"	0.0811764705882353
"381"	"plasmacytoid.dendritic.cell"	"plasma.cell"	0.0705128205128205
"172"	"cd8.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0691797845898923
"247"	"endothelial.cell"	"ionocyte"	0.0681875792141952
"109"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.067741935483871
"244"	"cd8.positive..alpha.beta.t.cell"	"ionocyte"	0.0608365019011407
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0606936416184971
"127"	"endothelial.cell"	"ciliated.cell"	0.0599089989888777
"262"	"platelet"	"ionocyte"	0.0595783684692942
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0562180579216354
"20"	"plasma.cell"	"goblet.cell"	0.0549084858569052
"74"	"cd4.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0532915360501567
"214"	"platelet"	"endothelial.cell"	0.0522105263157895
"275"	"intermediate.monocyte"	"macrophage"	0.0485689505637468
"454"	"platelet"	"smooth.muscle.cell"	0.0460558549730524
"76"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0454201362604088
"475"	"nk.cell"	"t.cell"	0.0451745379876797
"119"	"regulatory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0449101796407186
"29"	"cd141.positive.myeloid.dendritic.cell"	"b.cell"	0.0439393939393939
"342"	"classical.monocyte"	"neutrophil"	0.0425867507886435
"480"	"type.i.nk.t.cell"	"t.cell"	0.0422960725075529
"57"	"hematopoietic.stem.cell"	"basal.cell"	0.042022792022792
"142"	"platelet"	"ciliated.cell"	0.0420193470374849
"310"	"platelet"	"mast.cell"	0.0419790104947526
"439"	"endothelial.cell"	"smooth.muscle.cell"	0.0419529837251356
"358"	"platelet"	"neutrophil"	0.0413676656817222
"249"	"hematopoietic.stem.cell"	"ionocyte"	0.0411807580174927
"21"	"plasmacytoid.dendritic.cell"	"goblet.cell"	0.0405268490374873
"223"	"endothelial.cell"	"fibroblast"	0.0402124430955994
"298"	"innate.lymphoid.cell"	"mast.cell"	0.04
"190"	"platelet"	"double.positive..alpha.beta.thymocyte"	0.0386894388288602
"166"	"platelet"	"connective.tissue.cell"	0.0385239253852393
"187"	"nk.cell"	"double.positive..alpha.beta.thymocyte"	0.0356744704570792
"156"	"macrophage"	"connective.tissue.cell"	0.0338785046728972
"153"	"hematopoietic.stem.cell"	"connective.tissue.cell"	0.0333863275039746
"348"	"macrophage"	"neutrophil"	0.0332922318125771
"458"	"cd4.positive..alpha.beta.memory.t.cell"	"t.cell"	0.0331491712707182
"469"	"mature.nk.t.cell"	"t.cell"	0.033033033033033
"297"	"hematopoietic.stem.cell"	"mast.cell"	0.0322128851540616
"307"	"nk.cell"	"mast.cell"	0.0321543408360129
"300"	"macrophage"	"mast.cell"	0.0318979266347687
"261"	"plasmacytoid.dendritic.cell"	"ionocyte"	0.0314589068029886
"204"	"macrophage"	"endothelial.cell"	0.0314009661835749
"175"	"endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.0312759479656795
"252"	"macrophage"	"ionocyte"	0.0308047747400847
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0306122448979592
"189"	"plasmacytoid.dendritic.cell"	"double.positive..alpha.beta.thymocyte"	0.0304054054054054
"178"	"innate.lymphoid.cell"	"double.positive..alpha.beta.thymocyte"	0.0303183425972713
"282"	"neutrophil"	"macrophage"	0.0300429184549356
"202"	"innate.lymphoid.cell"	"endothelial.cell"	0.0297422339722406
"177"	"hematopoietic.stem.cell"	"double.positive..alpha.beta.thymocyte"	0.028658271819366
"106"	"innate.lymphoid.cell"	"cd8.positive..alpha.beta.t.cell"	0.0285714285714286
"192"	"type.i.nk.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0285367334547662
"472"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"t.cell"	0.0283018867924528
"295"	"endothelial.cell"	"mast.cell"	0.0279593318809005
"154"	"innate.lymphoid.cell"	"connective.tissue.cell"	0.0279187817258883
"129"	"hematopoietic.stem.cell"	"ciliated.cell"	0.0279086625588982
"250"	"innate.lymphoid.cell"	"ionocyte"	0.0276535176901179
"191"	"regulatory.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0273321449792038
"473"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0272108843537415
"130"	"innate.lymphoid.cell"	"ciliated.cell"	0.0270491803278689
"273"	"hematopoietic.stem.cell"	"macrophage"	0.026694045174538
"306"	"neutrophil"	"mast.cell"	0.026691495965239
"286"	"platelet"	"macrophage"	0.0262518230432669
"248"	"erythrocyte"	"ionocyte"	0.0261096605744125
"100"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0258107213765718
"124"	"cd8.positive..alpha.beta.t.cell"	"ciliated.cell"	0.0255720053835801
"99"	"cd8.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0253164556962025
"293"	"cd141.positive.myeloid.dendritic.cell"	"mast.cell"	0.0252583237657865
"299"	"intermediate.monocyte"	"mast.cell"	0.0251299826689775
"375"	"naive.b.cell"	"plasma.cell"	0.0250521920668058
"181"	"mature.nk.t.cell"	"double.positive..alpha.beta.thymocyte"	0.024818401937046
"228"	"macrophage"	"fibroblast"	0.0246598639455782
"417"	"hematopoietic.stem.cell"	"serous.cell.of.epithelium.of.trachea"	0.0245310245310245
"444"	"macrophage"	"smooth.muscle.cell"	0.024390243902439
"241"	"cd1c.positive.myeloid.dendritic.cell"	"ionocyte"	0.0242504409171076
"415"	"endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0239675516224189
"55"	"endothelial.cell"	"basal.cell"	0.0235934664246824
"91"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0233281493001555
"49"	"cd1c.positive.myeloid.dendritic.cell"	"basal.cell"	0.0231277533039648
"436"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.0223792697290931
"296"	"erythrocyte"	"mast.cell"	0.0220125786163522
"52"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.0219646125686394
"70"	"platelet"	"basal.cell"	0.0216748768472906
"179"	"intermediate.monocyte"	"double.positive..alpha.beta.thymocyte"	0.0216322517207473
"222"	"classical.monocyte"	"fibroblast"	0.021608643457383
"236"	"plasma.cell"	"fibroblast"	0.0215633423180593
"479"	"regulatory.t.cell"	"t.cell"	0.021505376344086
"238"	"platelet"	"fibroblast"	0.0214943705220061
"186"	"neutrophil"	"double.positive..alpha.beta.thymocyte"	0.0200080032012805
"258"	"neutrophil"	"ionocyte"	0.0198119543317663
"319"	"endothelial.cell"	"mucus.secreting.cell"	0.0197292069632495
"45"	"plasmacytoid.dendritic.cell"	"b.cell"	0.0196850393700787
"433"	"cd1c.positive.myeloid.dendritic.cell"	"smooth.muscle.cell"	0.01956745623069
"9"	"hematopoietic.stem.cell"	"goblet.cell"	0.0194017784963622
"203"	"intermediate.monocyte"	"endothelial.cell"	0.01914486279515
"312"	"type.i.nk.t.cell"	"mast.cell"	0.0191326530612245
"321"	"hematopoietic.stem.cell"	"mucus.secreting.cell"	0.0191235059760956
"265"	"cd1c.positive.myeloid.dendritic.cell"	"macrophage"	0.0189873417721519
"210"	"neutrophil"	"endothelial.cell"	0.0187192118226601
"374"	"memory.b.cell"	"plasma.cell"	0.018018018018018
"25"	"cd1c.positive.myeloid.dendritic.cell"	"b.cell"	0.0179806362378976
"185"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0178791615289766
"301"	"mature.nk.t.cell"	"mast.cell"	0.0178571428571429
"418"	"innate.lymphoid.cell"	"serous.cell.of.epithelium.of.trachea"	0.0177404295051354
"237"	"plasmacytoid.dendritic.cell"	"fibroblast"	0.017683465959328
"200"	"erythrocyte"	"endothelial.cell"	0.0175824175824176
"251"	"intermediate.monocyte"	"ionocyte"	0.0174464710547185
"128"	"erythrocyte"	"ciliated.cell"	0.0174140182847192
"176"	"erythrocyte"	"double.positive..alpha.beta.thymocyte"	0.0174102285092492
"441"	"hematopoietic.stem.cell"	"smooth.muscle.cell"	0.0173564753004005
"294"	"classical.monocyte"	"mast.cell"	0.0173160173160173
"155"	"intermediate.monocyte"	"connective.tissue.cell"	0.0171673819742489
"292"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.0168878166465621
"150"	"classical.monocyte"	"connective.tissue.cell"	0.0165111270638909
"259"	"nk.cell"	"ionocyte"	0.0164644714038128
"323"	"intermediate.monocyte"	"mucus.secreting.cell"	0.0164609053497942
"132"	"macrophage"	"ciliated.cell"	0.0164561806352851
"246"	"classical.monocyte"	"ionocyte"	0.0161854768153981
"138"	"neutrophil"	"ciliated.cell"	0.0161725067385445
"53"	"cd141.positive.myeloid.dendritic.cell"	"basal.cell"	0.0161290322580645
"409"	"cd1c.positive.myeloid.dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.0160550458715596
"430"	"platelet"	"serous.cell.of.epithelium.of.trachea"	0.016008004002001
"165"	"plasmacytoid.dendritic.cell"	"connective.tissue.cell"	0.0159857904085258
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0157657657657658
"82"	"innate.lymphoid.cell"	"cd4.positive..alpha.beta.t.cell"	0.0157384987893462
"460"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0156636438582028
"141"	"plasmacytoid.dendritic.cell"	"ciliated.cell"	0.0156128024980484
"7"	"endothelial.cell"	"goblet.cell"	0.0155159038013964
"1"	"cd1c.positive.myeloid.dendritic.cell"	"goblet.cell"	0.0153631284916201
"131"	"intermediate.monocyte"	"ciliated.cell"	0.0151575588352613
"60"	"macrophage"	"basal.cell"	0.0150316455696203
"453"	"plasmacytoid.dendritic.cell"	"smooth.muscle.cell"	0.014948859166011
"5"	"cd141.positive.myeloid.dendritic.cell"	"goblet.cell"	0.0149253731343284
"271"	"endothelial.cell"	"macrophage"	0.0149200710479574
"440"	"erythrocyte"	"smooth.muscle.cell"	0.0148514851485149
"197"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell"	0.0147515527950311
"59"	"intermediate.monocyte"	"basal.cell"	0.0147186147186147
"429"	"plasmacytoid.dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.0145423438836612
"438"	"classical.monocyte"	"smooth.muscle.cell"	0.014344262295082
"148"	"cd8.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.0140712945590994
"118"	"platelet"	"cd8.positive..alpha.beta.t.cell"	0.014047866805411
"201"	"hematopoietic.stem.cell"	"endothelial.cell"	0.0139634801288937
"36"	"macrophage"	"b.cell"	0.013953488372093
"334"	"platelet"	"mucus.secreting.cell"	0.0139484978540773
"245"	"cd141.positive.myeloid.dendritic.cell"	"ionocyte"	0.0138084632516704
"442"	"innate.lymphoid.cell"	"smooth.muscle.cell"	0.0135823429541596
"355"	"nk.cell"	"neutrophil"	0.0135644310474755
"341"	"cd141.positive.myeloid.dendritic.cell"	"neutrophil"	0.0135135135135135
"152"	"erythrocyte"	"connective.tissue.cell"	0.013268156424581
"361"	"cd1c.positive.myeloid.dendritic.cell"	"plasma.cell"	0.0132575757575758
"263"	"regulatory.t.cell"	"ionocyte"	0.013254113345521
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0132325141776938
"225"	"hematopoietic.stem.cell"	"fibroblast"	0.0131675201170446
"420"	"macrophage"	"serous.cell.of.epithelium.of.trachea"	0.0130718954248366
"343"	"endothelial.cell"	"neutrophil"	0.0129255989911728
"437"	"cd141.positive.myeloid.dendritic.cell"	"smooth.muscle.cell"	0.0128893662728249
"42"	"neutrophil"	"b.cell"	0.0125698324022346
"11"	"intermediate.monocyte"	"goblet.cell"	0.0125260960334029
"211"	"nk.cell"	"endothelial.cell"	0.0125
"393"	"hematopoietic.stem.cell"	"secretory.cell"	0.0125
"226"	"innate.lymphoid.cell"	"fibroblast"	0.0124760076775432
"162"	"neutrophil"	"connective.tissue.cell"	0.0123574144486692
"69"	"plasmacytoid.dendritic.cell"	"basal.cell"	0.0123558484349259
"311"	"regulatory.t.cell"	"mast.cell"	0.0121359223300971
"416"	"erythrocyte"	"serous.cell.of.epithelium.of.trachea"	0.0120879120879121
"459"	"cd8.positive..alpha.beta.memory.t.cell"	"t.cell"	0.0120481927710843
"43"	"nk.cell"	"b.cell"	0.012
"285"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0119904076738609
"198"	"classical.monocyte"	"endothelial.cell"	0.0119581464872945
"289"	"cd1c.positive.myeloid.dendritic.cell"	"mast.cell"	0.0118406889128095
"32"	"erythrocyte"	"b.cell"	0.0118110236220472
"322"	"innate.lymphoid.cell"	"mucus.secreting.cell"	0.011727078891258
"180"	"macrophage"	"double.positive..alpha.beta.thymocyte"	0.0115526802218115
"56"	"erythrocyte"	"basal.cell"	0.0115424973767051
"145"	"cd1c.positive.myeloid.dendritic.cell"	"connective.tissue.cell"	0.0114285714285714
"46"	"platelet"	"b.cell"	0.0112903225806452
"303"	"naive.b.cell"	"mast.cell"	0.0112866817155756
"149"	"cd141.positive.myeloid.dendritic.cell"	"connective.tissue.cell"	0.0110782865583456
"313"	"cd1c.positive.myeloid.dendritic.cell"	"mucus.secreting.cell"	0.0108548168249661
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"b.cell"	0.0107991360691145
"419"	"intermediate.monocyte"	"serous.cell.of.epithelium.of.trachea"	0.0107430617726052
"58"	"innate.lymphoid.cell"	"basal.cell"	0.0107047279214987
"80"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.0105580693815988
"330"	"neutrophil"	"mucus.secreting.cell"	0.010387811634349
"81"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.010371650821089
"234"	"neutrophil"	"fibroblast"	0.0103292446739832
"12"	"macrophage"	"goblet.cell"	0.0102803738317757
"87"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0102564102564103
"384"	"type.i.nk.t.cell"	"plasma.cell"	0.0102564102564103
"283"	"nk.cell"	"macrophage"	0.0102145045965271
"428"	"plasma.cell"	"serous.cell.of.epithelium.of.trachea"	0.0101910828025478
"227"	"intermediate.monocyte"	"fibroblast"	0.0101569713758079
"450"	"neutrophil"	"smooth.muscle.cell"	0.010077059869591
