"Tongue"	"Bone marrow"	"value"
"19"	"immune.cell"	"cd8.positive..alpha.beta.t.cell"	0.0986046511627907
"175"	"immune.cell"	"nk.cell"	0.0691864189622037
"151"	"immune.cell"	"nampt.neutrophil"	0.0662251655629139
"7"	"immune.cell"	"cd4.positive..alpha.beta.t.cell"	0.0640756302521008
"163"	"immune.cell"	"neutrophil"	0.0515665796344648
"53"	"epithelial.cell"	"erythroid.progenitor"	0.049665711556829
"58"	"schwann.cell"	"erythroid.progenitor"	0.0451900034234851
"159"	"endothelial.cell.of.artery"	"neutrophil"	0.0411985018726592
"89"	"epithelial.cell"	"macrophage"	0.0411522633744856
"178"	"schwann.cell"	"nk.cell"	0.0407073740407074
"130"	"schwann.cell"	"myeloid.progenitor"	0.0405357772294677
"139"	"immune.cell"	"naive.b.cell"	0.0365944734876774
"171"	"endothelial.cell.of.artery"	"nk.cell"	0.0360144057623049
"91"	"immune.cell"	"macrophage"	0.0352459016393443
"65"	"epithelial.cell"	"granulocyte"	0.0332326283987915
"103"	"immune.cell"	"memory.b.cell"	0.0327706057596822
"123"	"endothelial.cell.of.artery"	"myeloid.progenitor"	0.0324503311258278
"27"	"endothelial.cell.of.artery"	"cd24.neutrophil"	0.0324324324324324
"166"	"schwann.cell"	"neutrophil"	0.030986864264062
"75"	"endothelial.cell.of.artery"	"hematopoietic.stem.cell"	0.0305514157973174
"31"	"immune.cell"	"cd24.neutrophil"	0.0301120448179272
"61"	"basal.cell"	"granulocyte"	0.029673590504451
"40"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.0281569965870307
"59"	"tongue.muscle.cell"	"erythroid.progenitor"	0.0279187817258883
"129"	"pericyte.cell"	"myeloid.progenitor"	0.0271828665568369
"81"	"pericyte.cell"	"hematopoietic.stem.cell"	0.0268456375838926
"34"	"schwann.cell"	"cd24.neutrophil"	0.0263527758257203
"46"	"schwann.cell"	"erythrocyte"	0.0262104113578449
"136"	"endothelial.cell.of.lymphatic.vessel"	"naive.b.cell"	0.0259849119865884
"131"	"tongue.muscle.cell"	"myeloid.progenitor"	0.0257826887661142
"76"	"endothelial.cell.of.lymphatic.vessel"	"hematopoietic.stem.cell"	0.0255957634598411
"147"	"endothelial.cell.of.artery"	"nampt.neutrophil"	0.0252152521525215
