"Tongue"	"Lung"	"value"
"7"	"immune.cell"	"cd8.positive..alpha.beta.t.cell"	0.222426470588235
"93"	"pericyte.cell"	"bronchial.smooth.muscle.cell"	0.220183486238532
"240"	"vein.endothelial.cell"	"lung.microvascular.endothelial.cell"	0.213333333333333
"441"	"pericyte.cell"	"vascular.associated.smooth.muscle.cell"	0.208530805687204
"42"	"fibroblast"	"alveolar.fibroblast"	0.205412054120541
"30"	"fibroblast"	"adventitial.cell"	0.201492537313433
"19"	"immune.cell"	"cd4.positive..alpha.beta.t.cell"	0.191446028513238
"184"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.169359664871335
"456"	"vein.endothelial.cell"	"vein.endothelial.cell"	0.162162162162162
"321"	"pericyte.cell"	"pericyte.cell"	0.133644133644134
"171"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.130503144654088
"122"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.121057985757884
"110"	"capillary.endothelial.cell"	"capillary.aerocyte"	0.118525896414343
"295"	"immune.cell"	"nk.cell"	0.114634146341463
"283"	"immune.cell"	"neutrophil"	0.114253393665158
"163"	"immune.cell"	"dendritic.cell"	0.106906338694418
"358"	"schwann.cell"	"pulmonary.ionocyte"	0.0894348894348894
"61"	"basal.cell"	"basal.cell"	0.0864
"123"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.0857142857142857
"274"	"schwann.cell"	"myofibroblast.cell"	0.0800832033281331
"68"	"keratinocyte"	"basal.cell"	0.0752212389380531
"202"	"schwann.cell"	"fibroblast"	0.0739511732638066
"307"	"immune.cell"	"non.classical.monocyte"	0.0694945848375451
"368"	"keratinocyte"	"respiratory.goblet.cell"	0.069204152249135
"139"	"immune.cell"	"classical.monocyte"	0.0691768826619965
"406"	"schwann.cell"	"smooth.muscle.cell"	0.064453125
"226"	"schwann.cell"	"lung.ciliated.cell"	0.0606846473029046
"111"	"endothelial.cell.of.artery"	"capillary.aerocyte"	0.0604432505036938
