"Tongue"	"Skeletal muscle"	"value"
"138"	"fibroblast"	"mesenchymal.stem.cell"	0.265275707898659
"165"	"pericyte.cell"	"pericyte.cell"	0.251436781609195
"201"	"pericyte.cell"	"smooth.muscle.cell"	0.229226361031519
"2"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.216019417475728
"52"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.215953307392996
"72"	"vein.endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.213051823416507
"39"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.196669310071372
"211"	"immune.cell"	"t.cell"	0.184873949579832
"179"	"tongue.muscle.cell"	"skeletal.muscle.satellite.stem.cell"	0.169398907103825
"222"	"fibroblast"	"tendon.cell"	0.163319946452477
"103"	"immune.cell"	"macrophage"	0.124375
"127"	"immune.cell"	"mature.nk.t.cell"	0.114733542319749
"19"	"immune.cell"	"cd4.positive..alpha.beta.t.cell"	0.107883817427386
"31"	"immune.cell"	"cd8.positive..alpha.beta.t.cell"	0.0951932139491046
"185"	"epithelial.cell"	"slow.muscle.cell"	0.0727542687453601
"190"	"schwann.cell"	"slow.muscle.cell"	0.0658513640639699
"89"	"epithelial.cell"	"fast.muscle.cell"	0.0634632819582956
"3"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.0572878897751994
"191"	"tongue.muscle.cell"	"slow.muscle.cell"	0.0518867924528302
"115"	"immune.cell"	"mast.cell"	0.0513513513513514
"94"	"schwann.cell"	"fast.muscle.cell"	0.0489768534048977
"95"	"tongue.muscle.cell"	"fast.muscle.cell"	0.048820179007323
"154"	"schwann.cell"	"mesothelial.cell"	0.0452109845947756
"130"	"schwann.cell"	"mature.nk.t.cell"	0.0402835965194973
"118"	"schwann.cell"	"mast.cell"	0.0397786233137323
"149"	"epithelial.cell"	"mesothelial.cell"	0.0382562277580071
"150"	"fibroblast"	"mesothelial.cell"	0.0379032258064516
"106"	"schwann.cell"	"macrophage"	0.0373563218390805
"62"	"capillary.endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.0372148859543818
"202"	"schwann.cell"	"smooth.muscle.cell"	0.0352941176470588
"100"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0348101265822785
"152"	"keratinocyte"	"mesothelial.cell"	0.0302267002518892
"148"	"endothelial.cell.of.lymphatic.vessel"	"mesothelial.cell"	0.0300751879699248
"143"	"tongue.muscle.cell"	"mesenchymal.stem.cell"	0.0292326431181486
"189"	"pericyte.cell"	"slow.muscle.cell"	0.0291616038882139
"93"	"pericyte.cell"	"fast.muscle.cell"	0.0289435600578871
"155"	"tongue.muscle.cell"	"mesothelial.cell"	0.028869286287089
"111"	"endothelial.cell.of.artery"	"mast.cell"	0.0286989795918367
"184"	"endothelial.cell.of.lymphatic.vessel"	"slow.muscle.cell"	0.0264519838987924
