"Tongue"	"Spleen"	"value"
"211"	"immune.cell"	"neutrophil"	0.0870062965082999
"41"	"epithelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0737396538750941
"75"	"endothelial.cell.of.artery"	"endothelial.cell"	0.0696483441447593
"82"	"schwann.cell"	"endothelial.cell"	0.062940347581024
"76"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell"	0.0616113744075829
"74"	"capillary.endothelial.cell"	"endothelial.cell"	0.0606180665610143
"262"	"schwann.cell"	"platelet"	0.0579345088161209
"271"	"immune.cell"	"regulatory.t.cell"	0.0557729941291585
"55"	"immune.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0537037037037037
"223"	"immune.cell"	"nk.cell"	0.0531822144725371
"46"	"schwann.cell"	"cd8.positive..alpha.beta.t.cell"	0.0503261882572227
"106"	"schwann.cell"	"hematopoietic.stem.cell"	0.0486432825943084
"255"	"endothelial.cell.of.artery"	"platelet"	0.0478489903424056
"139"	"immune.cell"	"macrophage"	0.0469387755102041
"261"	"pericyte.cell"	"platelet"	0.042713567839196
"250"	"schwann.cell"	"plasmacytoid.dendritic.cell"	0.0422585227272727
"151"	"immune.cell"	"mature.nk.t.cell"	0.0398803589232303
"256"	"endothelial.cell.of.lymphatic.vessel"	"platelet"	0.0393474088291747
"233"	"epithelial.cell"	"plasma.cell"	0.03886925795053
"67"	"immune.cell"	"classical.monocyte"	0.0358391608391608
"127"	"immune.cell"	"intermediate.monocyte"	0.0347826086956522
"199"	"immune.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0340909090909091
"115"	"immune.cell"	"innate.lymphoid.cell"	0.0327137546468401
"283"	"immune.cell"	"type.i.nk.t.cell"	0.0326409495548961
"81"	"pericyte.cell"	"endothelial.cell"	0.0321990486644713
"207"	"endothelial.cell.of.artery"	"neutrophil"	0.0316455696202532
"118"	"schwann.cell"	"innate.lymphoid.cell"	0.0301161103047895
"136"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0299625468164794
"43"	"immune.cell"	"cd8.positive..alpha.beta.t.cell"	0.0298666666666667
"78"	"fibroblast"	"endothelial.cell"	0.0298393267023718
"88"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.0292397660818713
"175"	"immune.cell"	"naive.b.cell"	0.0279279279279279
"123"	"endothelial.cell.of.artery"	"intermediate.monocyte"	0.027681660899654
"214"	"schwann.cell"	"neutrophil"	0.0273006134969325
"142"	"schwann.cell"	"macrophage"	0.0271477663230241
"135"	"endothelial.cell.of.artery"	"macrophage"	0.027027027027027
