"Tongue"	"Trachea"	"value"
"225"	"pericyte.cell"	"smooth.muscle.cell"	0.275210084033613
"78"	"fibroblast"	"connective.tissue.cell"	0.196357878068092
"114"	"fibroblast"	"fibroblast"	0.166461159062885
"55"	"immune.cell"	"cd8.positive..alpha.beta.t.cell"	0.154815481548155
"98"	"capillary.endothelial.cell"	"endothelial.cell"	0.122944400939702
"25"	"basal.cell"	"basal.cell"	0.117359413202934
"175"	"immune.cell"	"neutrophil"	0.102878138395591
"139"	"immune.cell"	"macrophage"	0.0996955859969559
"108"	"vein.endothelial.cell"	"endothelial.cell"	0.0937215650591447
"99"	"endothelial.cell.of.artery"	"endothelial.cell"	0.0899653979238754
"130"	"schwann.cell"	"ionocyte"	0.0891393442622951
"200"	"keratinocyte"	"secretory.cell"	0.0862745098039216
"32"	"keratinocyte"	"basal.cell"	0.0723025583982203
"100"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell"	0.0685019206145967
"43"	"immune.cell"	"cd4.positive..alpha.beta.t.cell"	0.0680728667305849
"70"	"schwann.cell"	"ciliated.cell"	0.0604010025062657
"91"	"immune.cell"	"double.positive..alpha.beta.thymocyte"	0.0571037003197807
"29"	"epithelial.cell"	"basal.cell"	0.0560747663551402
"151"	"immune.cell"	"mast.cell"	0.0558035714285714
"94"	"schwann.cell"	"double.positive..alpha.beta.thymocyte"	0.055524397083567
"157"	"basal.cell"	"mucus.secreting.cell"	0.0549132947976879
"19"	"immune.cell"	"b.cell"	0.0492227979274611
"123"	"endothelial.cell.of.artery"	"ionocyte"	0.0491743119266055
"82"	"schwann.cell"	"connective.tissue.cell"	0.0489181561618062
"193"	"basal.cell"	"secretory.cell"	0.0478170478170478
"8"	"keratinocyte"	"goblet.cell"	0.0424076607387141
"235"	"immune.cell"	"t.cell"	0.0421166306695464
"81"	"pericyte.cell"	"connective.tissue.cell"	0.0392902408111534
"124"	"endothelial.cell.of.lymphatic.vessel"	"ionocyte"	0.0381739472648564
"112"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.0346051464063886
"171"	"endothelial.cell.of.artery"	"neutrophil"	0.0339454646633278
"197"	"epithelial.cell"	"secretory.cell"	0.0334728033472803
"76"	"endothelial.cell.of.lymphatic.vessel"	"connective.tissue.cell"	0.0334328358208955
"87"	"endothelial.cell.of.artery"	"double.positive..alpha.beta.thymocyte"	0.0331154684095861
"63"	"endothelial.cell.of.artery"	"ciliated.cell"	0.0316248636859324
"23"	"tongue.muscle.cell"	"b.cell"	0.0298879202988792
"125"	"epithelial.cell"	"ionocyte"	0.0291088222122705
"1"	"basal.cell"	"goblet.cell"	0.0289017341040462
"147"	"endothelial.cell.of.artery"	"mast.cell"	0.0285714285714286
"154"	"schwann.cell"	"mast.cell"	0.0283154121863799
"214"	"schwann.cell"	"serous.cell.of.epithelium.of.trachea"	0.0281227173119065
"83"	"tongue.muscle.cell"	"connective.tissue.cell"	0.0258679373723622
"117"	"pericyte.cell"	"fibroblast"	0.025763358778626
"164"	"keratinocyte"	"mucus.secreting.cell"	0.0249671484888305
"136"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0248
"226"	"schwann.cell"	"smooth.muscle.cell"	0.0245700245700246
"185"	"epithelial.cell"	"plasma.cell"	0.0240963855421687
"119"	"tongue.muscle.cell"	"fibroblast"	0.0239130434782609
"142"	"schwann.cell"	"macrophage"	0.0236916548797737
