"Trachea"	"Bone marrow"	"value"
"255"	"neutrophil"	"nampt.neutrophil"	0.376674546887313
"316"	"plasma.cell"	"plasma.cell"	0.342592592592593
"275"	"neutrophil"	"neutrophil"	0.233592095977417
"222"	"b.cell"	"naive.b.cell"	0.20076726342711
"25"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.152737752161383
"162"	"b.cell"	"memory.b.cell"	0.145348837209302
"152"	"macrophage"	"macrophage"	0.139737991266376
"285"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.124890829694323
"4"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.112980769230769
"192"	"macrophage"	"monocyte"	0.0937931034482759
"288"	"double.positive..alpha.beta.thymocyte"	"nk.cell"	0.0751043115438109
"55"	"neutrophil"	"cd24.neutrophil"	0.0684385382059801
"24"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0551839464882943
"40"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0547045951859956
"5"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0515806988352745
"20"	"t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0501672240802676
"129"	"endothelial.cell"	"hematopoietic.stem.cell"	0.0498595505617977
"28"	"double.positive..alpha.beta.thymocyte"	"cd8.positive..alpha.beta.t.cell"	0.0468839336763865
"300"	"t.cell"	"nk.cell"	0.04638619201726
"52"	"macrophage"	"cd24.neutrophil"	0.0442035029190992
"91"	"ionocyte"	"erythroid.progenitor"	0.0422053231939164
"213"	"mast.cell"	"myeloid.progenitor"	0.0414250207125104
"104"	"cd4.positive..alpha.beta.t.cell"	"granulocyte"	0.0390879478827362
"83"	"basal.cell"	"erythroid.progenitor"	0.038550501156515
"203"	"basal.cell"	"myeloid.progenitor"	0.0383333333333333
"301"	"goblet.cell"	"plasma.cell"	0.0380794701986755
"127"	"connective.tissue.cell"	"hematopoietic.stem.cell"	0.0345514950166113
"155"	"neutrophil"	"macrophage"	0.033210332103321
"291"	"ionocyte"	"nk.cell"	0.0331247699668752
"289"	"endothelial.cell"	"nk.cell"	0.0320044918585065
"88"	"double.positive..alpha.beta.thymocyte"	"erythroid.progenitor"	0.0315934065934066
"99"	"smooth.muscle.cell"	"erythroid.progenitor"	0.0315018315018315
"284"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0313364055299539
"139"	"smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0309936189608022
"112"	"macrophage"	"granulocyte"	0.0308510638297872
"219"	"smooth.muscle.cell"	"myeloid.progenitor"	0.0307570977917981
"71"	"ionocyte"	"erythrocyte"	0.0304151253596383
"293"	"mast.cell"	"nk.cell"	0.0303907380607815
"54"	"mucus.secreting.cell"	"cd24.neutrophil"	0.02997002997003
"207"	"connective.tissue.cell"	"myeloid.progenitor"	0.029708853238265
"133"	"mast.cell"	"hematopoietic.stem.cell"	0.0295238095238095
"51"	"ionocyte"	"cd24.neutrophil"	0.0291913214990138
"149"	"endothelial.cell"	"macrophage"	0.028735632183908
"209"	"endothelial.cell"	"myeloid.progenitor"	0.0283076923076923
"268"	"double.positive..alpha.beta.thymocyte"	"neutrophil"	0.0277272727272727
"89"	"endothelial.cell"	"erythroid.progenitor"	0.0266512166859791
"287"	"connective.tissue.cell"	"nk.cell"	0.0264721772015127
"176"	"plasma.cell"	"memory.b.cell"	0.0263157894736842
"189"	"endothelial.cell"	"monocyte"	0.0260642919200695
"86"	"ciliated.cell"	"erythroid.progenitor"	0.026027913994719
"73"	"mast.cell"	"erythrocyte"	0.0255474452554745
"231"	"ionocyte"	"naive.b.cell"	0.0251623376623377
"53"	"mast.cell"	"cd24.neutrophil"	0.0250836120401338
"172"	"macrophage"	"memory.b.cell"	0.0249687890137328
"123"	"basal.cell"	"hematopoietic.stem.cell"	0.024904214559387
"130"	"fibroblast"	"hematopoietic.stem.cell"	0.0247933884297521
"47"	"connective.tissue.cell"	"cd24.neutrophil"	0.024683925346177
"48"	"double.positive..alpha.beta.thymocyte"	"cd24.neutrophil"	0.0246376811594203
"211"	"ionocyte"	"myeloid.progenitor"	0.0240496508921645
"206"	"ciliated.cell"	"myeloid.progenitor"	0.0238467552775606
"131"	"ionocyte"	"hematopoietic.stem.cell"	0.0236809306190278
"272"	"macrophage"	"neutrophil"	0.0235294117647059
"227"	"connective.tissue.cell"	"naive.b.cell"	0.0233881163084703
"208"	"double.positive..alpha.beta.thymocyte"	"myeloid.progenitor"	0.0233000475511175
"66"	"ciliated.cell"	"erythrocyte"	0.0230452674897119
"273"	"mast.cell"	"neutrophil"	0.0224550898203593
"68"	"double.positive..alpha.beta.thymocyte"	"erythrocyte"	0.0222784810126582
"150"	"fibroblast"	"macrophage"	0.022002200220022
"69"	"endothelial.cell"	"erythrocyte"	0.0219269102990033
"49"	"endothelial.cell"	"cd24.neutrophil"	0.0218068535825545
"266"	"ciliated.cell"	"neutrophil"	0.0217228464419476
"151"	"ionocyte"	"macrophage"	0.0217021276595745
"67"	"connective.tissue.cell"	"erythrocyte"	0.021059349074665
"232"	"macrophage"	"naive.b.cell"	0.0209606986899563
"286"	"ciliated.cell"	"nk.cell"	0.0208867717112495
"249"	"endothelial.cell"	"nampt.neutrophil"	0.0206540447504303
"253"	"mast.cell"	"nampt.neutrophil"	0.0201793721973094
"226"	"ciliated.cell"	"naive.b.cell"	0.0199511400651466
"103"	"basal.cell"	"granulocyte"	0.0196936542669584
"236"	"plasma.cell"	"naive.b.cell"	0.0193370165745856
"8"	"double.positive..alpha.beta.thymocyte"	"cd4.positive..alpha.beta.t.cell"	0.0189950980392157
"271"	"ionocyte"	"neutrophil"	0.0189028910303929
"269"	"endothelial.cell"	"neutrophil"	0.0188895248998283
"138"	"serous.cell.of.epithelium.of.trachea"	"hematopoietic.stem.cell"	0.0188492063492063
"108"	"double.positive..alpha.beta.thymocyte"	"granulocyte"	0.0188470066518847
"93"	"mast.cell"	"erythroid.progenitor"	0.018754688672168
"46"	"ciliated.cell"	"cd24.neutrophil"	0.0184966548602912
"210"	"fibroblast"	"myeloid.progenitor"	0.018308631211857
"187"	"connective.tissue.cell"	"monocyte"	0.018018018018018
"126"	"ciliated.cell"	"hematopoietic.stem.cell"	0.0179166666666667
"218"	"serous.cell.of.epithelium.of.trachea"	"myeloid.progenitor"	0.0177664974619289
"238"	"serous.cell.of.epithelium.of.trachea"	"naive.b.cell"	0.0177570093457944
"229"	"endothelial.cell"	"naive.b.cell"	0.0176470588235294
"98"	"serous.cell.of.epithelium.of.trachea"	"erythroid.progenitor"	0.0171606864274571
"228"	"double.positive..alpha.beta.thymocyte"	"naive.b.cell"	0.0169660678642715
"190"	"fibroblast"	"monocyte"	0.0164917541229385
"58"	"serous.cell.of.epithelium.of.trachea"	"cd24.neutrophil"	0.0164787510841284
"74"	"mucus.secreting.cell"	"erythrocyte"	0.0164113785557987
"84"	"cd4.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.0164092664092664
"33"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0162866449511401
"199"	"smooth.muscle.cell"	"monocyte"	0.0161691542288557
"90"	"fibroblast"	"erythroid.progenitor"	0.0160128102481986
"201"	"goblet.cell"	"myeloid.progenitor"	0.0155642023346304
"252"	"macrophage"	"nampt.neutrophil"	0.0153284671532847
