"Trachea"	"Lung"	"value"
"366"	"ciliated.cell"	"lung.ciliated.cell"	0.581894736842105
"475"	"neutrophil"	"neutrophil"	0.524602026049204
"556"	"plasma.cell"	"plasma.cell"	0.354679802955665
"512"	"macrophage"	"non.classical.monocyte"	0.281167108753316
"133"	"mast.cell"	"basophil"	0.267716535433071
"50"	"fibroblast"	"adventitial.cell"	0.265255292652553
"5"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.25197889182058
"103"	"basal.cell"	"basal.cell"	0.234185733512786
"591"	"ionocyte"	"pulmonary.ionocyte"	0.229346853563973
"209"	"endothelial.cell"	"capillary.endothelial.cell"	0.205776173285199
"82"	"b.cell"	"b.cell"	0.198738170347003
"67"	"connective.tissue.cell"	"alveolar.fibroblast"	0.198347107438017
"289"	"endothelial.cell"	"endothelial.cell.of.artery"	0.189562547966232
"739"	"smooth.muscle.cell"	"vascular.associated.smooth.muscle.cell"	0.184560780834073
"617"	"secretory.cell"	"respiratory.goblet.cell"	0.178571428571429
"352"	"macrophage"	"intermediate.monocyte"	0.176403207331042
"412"	"macrophage"	"macrophage"	0.171981776765376
"47"	"connective.tissue.cell"	"adventitial.cell"	0.170244263508512
"159"	"smooth.muscle.cell"	"bronchial.smooth.muscle.cell"	0.159594095940959
"232"	"macrophage"	"classical.monocyte"	0.154377880184332
"25"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.153508771929825
"749"	"endothelial.cell"	"vein.endothelial.cell"	0.153079710144928
"389"	"endothelial.cell"	"lung.microvascular.endothelial.cell"	0.15032080659945
"272"	"macrophage"	"dendritic.cell"	0.144404332129964
"189"	"endothelial.cell"	"capillary.aerocyte"	0.143340094658553
"601"	"goblet.cell"	"respiratory.goblet.cell"	0.133208255159475
"70"	"fibroblast"	"alveolar.fibroblast"	0.131868131868132
"24"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.125226860254083
"235"	"neutrophil"	"classical.monocyte"	0.122314049586777
"485"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.121979964643489
"169"	"endothelial.cell"	"bronchial.vessel.endothelial.cell"	0.119302949061662
"539"	"smooth.muscle.cell"	"pericyte.cell"	0.112820512820513
"658"	"serous.cell.of.epithelium.of.trachea"	"serous.cell.of.epithelium.of.bronchus"	0.106481481481481
"117"	"secretory.cell"	"basal.cell"	0.104575163398693
"309"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.103232030873131
"488"	"double.positive..alpha.beta.thymocyte"	"nk.cell"	0.102968808718527
"641"	"goblet.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0947802197802198
"327"	"connective.tissue.cell"	"fibroblast"	0.0930693069306931
"679"	"smooth.muscle.cell"	"smooth.muscle.cell"	0.0913364674278039
"614"	"mucus.secreting.cell"	"respiratory.goblet.cell"	0.0874125874125874
"355"	"neutrophil"	"intermediate.monocyte"	0.0847058823529412
"634"	"mucus.secreting.cell"	"respiratory.mucous.cell"	0.0839793281653747
"4"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0773480662983425
"20"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0767918088737201
"430"	"fibroblast"	"mesothelial.cell"	0.0760749724366042
"621"	"goblet.cell"	"respiratory.mucous.cell"	0.0718015665796345
"527"	"connective.tissue.cell"	"pericyte.cell"	0.0710352422907489
"8"	"double.positive..alpha.beta.thymocyte"	"cd8.positive..alpha.beta.t.cell"	0.0708491076257436
"568"	"double.positive..alpha.beta.thymocyte"	"plasmacytoid.dendritic.cell"	0.0663120567375887
"727"	"connective.tissue.cell"	"vascular.associated.smooth.muscle.cell"	0.0640483383685801
"331"	"ionocyte"	"fibroblast"	0.0611167002012072
"447"	"connective.tissue.cell"	"myofibroblast.cell"	0.0588023088023088
"451"	"ionocyte"	"myofibroblast.cell"	0.0572372041827188
"515"	"neutrophil"	"non.classical.monocyte"	0.0567545963229417
"571"	"ionocyte"	"plasmacytoid.dendritic.cell"	0.0558912386706949
"262"	"b.cell"	"dendritic.cell"	0.054093567251462
"588"	"double.positive..alpha.beta.thymocyte"	"pulmonary.ionocyte"	0.0518089725036179
"328"	"double.positive..alpha.beta.thymocyte"	"fibroblast"	0.0515783540022548
"311"	"ionocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0506615037108745
"638"	"serous.cell.of.epithelium.of.trachea"	"respiratory.mucous.cell"	0.0503751339764201
"691"	"ionocyte"	"type.i.pneumocyte"	0.0496402877697842
"603"	"basal.cell"	"respiratory.goblet.cell"	0.0481144343302991
"147"	"connective.tissue.cell"	"bronchial.smooth.muscle.cell"	0.0479452054794521
"448"	"double.positive..alpha.beta.thymocyte"	"myofibroblast.cell"	0.0477975632614808
"562"	"b.cell"	"plasmacytoid.dendritic.cell"	0.0466264399341744
"683"	"basal.cell"	"type.i.pneumocyte"	0.0459849004804393
"586"	"ciliated.cell"	"pulmonary.ionocyte"	0.0445746306673459
"307"	"connective.tissue.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0430728241563055
"79"	"smooth.muscle.cell"	"alveolar.fibroblast"	0.0428189116859946
"40"	"t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0420353982300885
"472"	"macrophage"	"neutrophil"	0.0410225921521998
"668"	"double.positive..alpha.beta.thymocyte"	"smooth.muscle.cell"	0.0408765276021913
"491"	"ionocyte"	"nk.cell"	0.0407418668288234
"671"	"ionocyte"	"smooth.muscle.cell"	0.040084388185654
"415"	"neutrophil"	"macrophage"	0.0390097524381095
"326"	"ciliated.cell"	"fibroblast"	0.0388517693640188
"308"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0386491557223265
"28"	"double.positive..alpha.beta.thymocyte"	"cd4.positive..alpha.beta.t.cell"	0.038220193953223
"273"	"mast.cell"	"dendritic.cell"	0.0381593714927048
"694"	"mucus.secreting.cell"	"type.i.pneumocyte"	0.0379550735863672
"84"	"cd4.positive..alpha.beta.t.cell"	"b.cell"	0.0377952755905512
"258"	"serous.cell.of.epithelium.of.trachea"	"club.cell"	0.0375
"500"	"t.cell"	"nk.cell"	0.0372792674950948
"187"	"connective.tissue.cell"	"capillary.aerocyte"	0.0366646954464814
"698"	"serous.cell.of.epithelium.of.trachea"	"type.i.pneumocyte"	0.0363890832750175
"427"	"connective.tissue.cell"	"mesothelial.cell"	0.0363147276395427
"701"	"goblet.cell"	"type.ii.pneumocyte"	0.0361757105943152
"667"	"connective.tissue.cell"	"smooth.muscle.cell"	0.0358585858585859
"572"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0358527131782946
"484"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0352028639618138
"254"	"mucus.secreting.cell"	"club.cell"	0.0345345345345345
"207"	"connective.tissue.cell"	"capillary.endothelial.cell"	0.0334128878281623
"670"	"fibroblast"	"smooth.muscle.cell"	0.0333796940194715
"179"	"smooth.muscle.cell"	"bronchial.vessel.endothelial.cell"	0.0332278481012658
"528"	"double.positive..alpha.beta.thymocyte"	"pericyte.cell"	0.0332167832167832
"371"	"ionocyte"	"lung.ciliated.cell"	0.0330872299699207
"22"	"b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0329512893982808
"473"	"mast.cell"	"neutrophil"	0.0329341317365269
"681"	"goblet.cell"	"type.i.pneumocyte"	0.0328125
"446"	"ciliated.cell"	"myofibroblast.cell"	0.0327027027027027
"531"	"ionocyte"	"pericyte.cell"	0.0322113644589215
"637"	"secretory.cell"	"respiratory.mucous.cell"	0.031986531986532
"730"	"fibroblast"	"vascular.associated.smooth.muscle.cell"	0.0319240724762727
"243"	"basal.cell"	"club.cell"	0.0319148936170213
"686"	"ciliated.cell"	"type.i.pneumocyte"	0.0316951566951567
"711"	"ionocyte"	"type.ii.pneumocyte"	0.0309544282029235
"687"	"connective.tissue.cell"	"type.i.pneumocyte"	0.0302254098360656
