"Trachea"	"Skeletal muscle"	"value"
"172"	"macrophage"	"macrophage"	0.279352226720648
"9"	"endothelial.cell"	"capillary.endothelial.cell"	0.236220472440945
"279"	"smooth.muscle.cell"	"pericyte.cell"	0.196658097686375
"175"	"neutrophil"	"macrophage"	0.192118226600985
"227"	"connective.tissue.cell"	"mesenchymal.stem.cell"	0.185425101214575
"230"	"fibroblast"	"mesenchymal.stem.cell"	0.158505154639175
"109"	"endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.15670436187399
"69"	"endothelial.cell"	"endothelial.cell.of.artery"	0.154558404558405
"370"	"fibroblast"	"tendon.cell"	0.144458281444583
"339"	"smooth.muscle.cell"	"smooth.muscle.cell"	0.144435004248088
"193"	"mast.cell"	"mast.cell"	0.135064935064935
"367"	"connective.tissue.cell"	"tendon.cell"	0.122541603630862
"205"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.109610802223987
"45"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.106232294617564
"345"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.101713062098501
"311"	"ionocyte"	"slow.muscle.cell"	0.0970149253731343
"89"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0894700619408121
"208"	"double.positive..alpha.beta.thymocyte"	"mature.nk.t.cell"	0.0791111111111111
"151"	"ionocyte"	"fast.muscle.cell"	0.0760703363914373
"24"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0746887966804979
"25"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0717628705148206
"344"	"cd4.positive..alpha.beta.t.cell"	"t.cell"	0.0617283950617284
"250"	"fibroblast"	"mesothelial.cell"	0.0478056426332288
"246"	"ciliated.cell"	"mesothelial.cell"	0.0465465465465465
"348"	"double.positive..alpha.beta.thymocyte"	"t.cell"	0.0462163534789233
"215"	"neutrophil"	"mature.nk.t.cell"	0.0458765701802294
"327"	"connective.tissue.cell"	"smooth.muscle.cell"	0.0447849145550972
"247"	"connective.tissue.cell"	"mesothelial.cell"	0.0444810543657331
"283"	"basal.cell"	"skeletal.muscle.satellite.stem.cell"	0.0443974630021142
"48"	"double.positive..alpha.beta.thymocyte"	"cd8.positive..alpha.beta.t.cell"	0.0413793103448276
"308"	"double.positive..alpha.beta.thymocyte"	"slow.muscle.cell"	0.0408490188225871
"60"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0404494382022472
"355"	"neutrophil"	"t.cell"	0.0403496973772697
"195"	"neutrophil"	"mast.cell"	0.0392879066912216
"331"	"ionocyte"	"smooth.muscle.cell"	0.039162466072121
"319"	"smooth.muscle.cell"	"slow.muscle.cell"	0.0390995260663507
"191"	"ionocyte"	"mast.cell"	0.0377503852080123
"220"	"t.cell"	"mature.nk.t.cell"	0.0375
"251"	"ionocyte"	"mesothelial.cell"	0.0369139904023625
"342"	"b.cell"	"t.cell"	0.0366774541531823
"243"	"basal.cell"	"mesothelial.cell"	0.0366300366300366
"287"	"connective.tissue.cell"	"skeletal.muscle.satellite.stem.cell"	0.0365425158116655
"360"	"t.cell"	"t.cell"	0.0364431486880466
"159"	"smooth.muscle.cell"	"fast.muscle.cell"	0.0356394129979036
"188"	"double.positive..alpha.beta.thymocyte"	"mast.cell"	0.0351947442515251
"361"	"goblet.cell"	"tendon.cell"	0.03515625
"211"	"ionocyte"	"mature.nk.t.cell"	0.0347764371894961
"87"	"connective.tissue.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0345911949685535
"91"	"ionocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0331983805668016
"28"	"double.positive..alpha.beta.thymocyte"	"cd4.positive..alpha.beta.t.cell"	0.0330727600721588
"303"	"basal.cell"	"slow.muscle.cell"	0.0316879951249238
"306"	"ciliated.cell"	"slow.muscle.cell"	0.0305882352941176
"44"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0303030303030303
"241"	"goblet.cell"	"mesothelial.cell"	0.0297113752122241
"258"	"serous.cell.of.epithelium.of.trachea"	"mesothelial.cell"	0.0292573143285821
"379"	"smooth.muscle.cell"	"tendon.cell"	0.0291828793774319
"204"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0284757118927973
"299"	"smooth.muscle.cell"	"skeletal.muscle.satellite.stem.cell"	0.0284313725490196
"86"	"ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0271915584415584
"148"	"double.positive..alpha.beta.thymocyte"	"fast.muscle.cell"	0.0269196822594881
"73"	"mast.cell"	"endothelial.cell.of.artery"	0.0263605442176871
"326"	"ciliated.cell"	"smooth.muscle.cell"	0.0262446931686607
"143"	"basal.cell"	"fast.muscle.cell"	0.0259927797833935
"71"	"ionocyte"	"endothelial.cell.of.artery"	0.0257425742574257
"146"	"ciliated.cell"	"fast.muscle.cell"	0.025697503671072
"239"	"smooth.muscle.cell"	"mesenchymal.stem.cell"	0.0256916996047431
"173"	"mast.cell"	"macrophage"	0.025065963060686
"162"	"b.cell"	"macrophage"	0.0250569476082005
"290"	"fibroblast"	"skeletal.muscle.satellite.stem.cell"	0.0247747747747748
"267"	"connective.tissue.cell"	"pericyte.cell"	0.0241509433962264
"323"	"basal.cell"	"smooth.muscle.cell"	0.0238853503184713
"202"	"b.cell"	"mature.nk.t.cell"	0.0238828967642527
"213"	"mast.cell"	"mature.nk.t.cell"	0.0233644859813084
"75"	"neutrophil"	"endothelial.cell.of.artery"	0.0231809401159047
"42"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0229555236728838
"192"	"macrophage"	"mast.cell"	0.0229533282325937
"186"	"ciliated.cell"	"mast.cell"	0.0225707727620505
"11"	"ionocyte"	"capillary.endothelial.cell"	0.0221417069243156
"98"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.lymphatic.vessel"	0.0219981668194317
"353"	"mast.cell"	"t.cell"	0.0219298245614035
"102"	"b.cell"	"endothelial.cell.of.vascular.tree"	0.0213299874529486
"67"	"connective.tissue.cell"	"endothelial.cell.of.artery"	0.0212378640776699
"212"	"macrophage"	"mature.nk.t.cell"	0.0209561231172233
"248"	"double.positive..alpha.beta.thymocyte"	"mesothelial.cell"	0.0206684256816183
"270"	"fibroblast"	"pericyte.cell"	0.0206185567010309
"338"	"serous.cell.of.epithelium.of.trachea"	"smooth.muscle.cell"	0.0205254515599343
"328"	"double.positive..alpha.beta.thymocyte"	"smooth.muscle.cell"	0.0204841713221601
"115"	"neutrophil"	"endothelial.cell.of.vascular.tree"	0.0204081632653061
"354"	"mucus.secreting.cell"	"t.cell"	0.0199789695057834
"15"	"neutrophil"	"capillary.endothelial.cell"	0.019893899204244
"19"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.0194420963651733
"40"	"t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0193370165745856
"182"	"b.cell"	"mast.cell"	0.0193370165745856
"257"	"secretory.cell"	"mesothelial.cell"	0.0192697768762677
"99"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0192307692307692
"119"	"smooth.muscle.cell"	"endothelial.cell.of.vascular.tree"	0.0190839694656489
"171"	"ionocyte"	"macrophage"	0.0190839694656489
"90"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0188679245283019
"79"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0186385737439222
"66"	"ciliated.cell"	"endothelial.cell.of.artery"	0.0186360031720856
"259"	"smooth.muscle.cell"	"mesothelial.cell"	0.0186335403726708
"22"	"b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0180921052631579
"309"	"endothelial.cell"	"slow.muscle.cell"	0.0177799135031235
"330"	"fibroblast"	"smooth.muscle.cell"	0.0176916596461668
"206"	"ciliated.cell"	"mature.nk.t.cell"	0.0175746924428823
"61"	"goblet.cell"	"endothelial.cell.of.artery"	0.0174002047082907
"70"	"fibroblast"	"endothelial.cell.of.artery"	0.0172884440400364
"307"	"connective.tissue.cell"	"slow.muscle.cell"	0.0172655156322912
"167"	"connective.tissue.cell"	"macrophage"	0.0170340681362725
"168"	"double.positive..alpha.beta.thymocyte"	"macrophage"	0.0170265780730897
"335"	"neutrophil"	"smooth.muscle.cell"	0.0169594185342217
"118"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.vascular.tree"	0.0168776371308017
"7"	"connective.tissue.cell"	"capillary.endothelial.cell"	0.0168224299065421
"83"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0166812993854258
"329"	"endothelial.cell"	"smooth.muscle.cell"	0.0166369578134284
"315"	"neutrophil"	"slow.muscle.cell"	0.0165692007797271
"333"	"mast.cell"	"smooth.muscle.cell"	0.0164576802507837
"88"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0162481536189069
"158"	"serous.cell.of.epithelium.of.trachea"	"fast.muscle.cell"	0.0162241887905605
"10"	"fibroblast"	"capillary.endothelial.cell"	0.0161904761904762
"103"	"basal.cell"	"endothelial.cell.of.vascular.tree"	0.0161453077699294
"81"	"goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0159404888416578
"187"	"connective.tissue.cell"	"mast.cell"	0.0159181353041501
"218"	"serous.cell.of.epithelium.of.trachea"	"mature.nk.t.cell"	0.0157967032967033
"242"	"b.cell"	"mesothelial.cell"	0.0157938487115544
"55"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0156372165754496
"351"	"ionocyte"	"t.cell"	0.0155440414507772
"371"	"ionocyte"	"tendon.cell"	0.0152866242038217
"184"	"cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.0151362260343088
"298"	"serous.cell.of.epithelium.of.trachea"	"skeletal.muscle.satellite.stem.cell"	0.0150375939849624
"273"	"mast.cell"	"pericyte.cell"	0.0149769585253456
"183"	"basal.cell"	"mast.cell"	0.014832162373146
"286"	"ciliated.cell"	"skeletal.muscle.satellite.stem.cell"	0.0146110872367856
"12"	"macrophage"	"capillary.endothelial.cell"	0.0145922746781116
"332"	"macrophage"	"smooth.muscle.cell"	0.0145705521472393
"346"	"ciliated.cell"	"t.cell"	0.0144520272982738
"310"	"fibroblast"	"slow.muscle.cell"	0.0144472361809045
"216"	"plasma.cell"	"mature.nk.t.cell"	0.0143884892086331
"150"	"fibroblast"	"fast.muscle.cell"	0.0143504531722054
"253"	"mast.cell"	"mesothelial.cell"	0.0142247510668563
"110"	"fibroblast"	"endothelial.cell.of.vascular.tree"	0.0141921397379913
"318"	"serous.cell.of.epithelium.of.trachea"	"slow.muscle.cell"	0.0141364474492932
"78"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.artery"	0.0140721196130167
"68"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.artery"	0.0139893873613121
"147"	"connective.tissue.cell"	"fast.muscle.cell"	0.0138150903294368
"163"	"basal.cell"	"macrophage"	0.0137976346911958
"95"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0137254901960784
"82"	"b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0136554621848739
"194"	"mucus.secreting.cell"	"mast.cell"	0.0136239782016349
"161"	"goblet.cell"	"macrophage"	0.0136054421768707
"112"	"macrophage"	"endothelial.cell.of.vascular.tree"	0.0135922330097087
"63"	"basal.cell"	"endothelial.cell.of.artery"	0.0135593220338983
"166"	"ciliated.cell"	"macrophage"	0.013555787278415
"97"	"secretory.cell"	"endothelial.cell.of.lymphatic.vessel"	0.013550135501355
"94"	"mucus.secreting.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0135275754422477
"72"	"macrophage"	"endothelial.cell.of.artery"	0.0131470829909614
"13"	"mast.cell"	"capillary.endothelial.cell"	0.0131463628396144
"93"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.012998266897747
"291"	"ionocyte"	"skeletal.muscle.satellite.stem.cell"	0.0127551020408163
"378"	"serous.cell.of.epithelium.of.trachea"	"tendon.cell"	0.0127388535031847
"269"	"endothelial.cell"	"pericyte.cell"	0.0125097732603597
"6"	"ciliated.cell"	"capillary.endothelial.cell"	0.012464817048653
"295"	"neutrophil"	"skeletal.muscle.satellite.stem.cell"	0.0124633431085044
"254"	"mucus.secreting.cell"	"mesothelial.cell"	0.0123355263157895
"33"	"mast.cell"	"cd4.positive..alpha.beta.t.cell"	0.01230012300123
"363"	"basal.cell"	"tendon.cell"	0.0121827411167513
"133"	"mast.cell"	"erythrocyte"	0.012012012012012
"74"	"mucus.secreting.cell"	"endothelial.cell.of.artery"	0.012
"292"	"macrophage"	"skeletal.muscle.satellite.stem.cell"	0.0118460019743337
"255"	"neutrophil"	"mesothelial.cell"	0.0117515388919978
"155"	"neutrophil"	"fast.muscle.cell"	0.0117122141662019
"149"	"endothelial.cell"	"fast.muscle.cell"	0.0115068493150685
"178"	"serous.cell.of.epithelium.of.trachea"	"macrophage"	0.0114632501685772
"223"	"basal.cell"	"mesenchymal.stem.cell"	0.0113871635610766
"54"	"mucus.secreting.cell"	"cd8.positive..alpha.beta.t.cell"	0.0112044817927171
"170"	"fibroblast"	"macrophage"	0.0110420979986197
"18"	"serous.cell.of.epithelium.of.trachea"	"capillary.endothelial.cell"	0.0110091743119266
"113"	"mast.cell"	"endothelial.cell.of.vascular.tree"	0.0109235352532274
"256"	"plasma.cell"	"mesothelial.cell"	0.0108910891089109
"141"	"goblet.cell"	"fast.muscle.cell"	0.0107794361525705
"288"	"double.positive..alpha.beta.thymocyte"	"skeletal.muscle.satellite.stem.cell"	0.0106723585912487
"366"	"ciliated.cell"	"tendon.cell"	0.0106609808102345
"214"	"mucus.secreting.cell"	"mature.nk.t.cell"	0.0105740181268882
"58"	"serous.cell.of.epithelium.of.trachea"	"cd8.positive..alpha.beta.t.cell"	0.0105386416861827
"111"	"ionocyte"	"endothelial.cell.of.vascular.tree"	0.0105218855218855
"198"	"serous.cell.of.epithelium.of.trachea"	"mast.cell"	0.0104501607717042
"174"	"mucus.secreting.cell"	"macrophage"	0.0104089219330855
"281"	"goblet.cell"	"skeletal.muscle.satellite.stem.cell"	0.0102827763496144
"352"	"macrophage"	"t.cell"	0.0101781170483461
"282"	"b.cell"	"skeletal.muscle.satellite.stem.cell"	0.0101651842439644
"92"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0101437024513948
"107"	"connective.tissue.cell"	"endothelial.cell.of.vascular.tree"	0.0101419878296146
"313"	"mast.cell"	"slow.muscle.cell"	0.010077059869591
"207"	"connective.tissue.cell"	"mature.nk.t.cell"	0.0100553041729512
"101"	"goblet.cell"	"endothelial.cell.of.vascular.tree"	0.0100376411543287
"201"	"goblet.cell"	"mature.nk.t.cell"	0.00994644223412395
"104"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00991501416430595
"231"	"ionocyte"	"mesenchymal.stem.cell"	0.00979557069846678
"252"	"macrophage"	"mesothelial.cell"	0.00973574408901252
"3"	"basal.cell"	"capillary.endothelial.cell"	0.00970017636684303
"51"	"ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.009657594381036
"301"	"goblet.cell"	"slow.muscle.cell"	0.00947867298578199
"14"	"mucus.secreting.cell"	"capillary.endothelial.cell"	0.00945378151260504
"185"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.00945017182130584
"153"	"mast.cell"	"fast.muscle.cell"	0.00916138125440451
"221"	"goblet.cell"	"mesenchymal.stem.cell"	0.00911458333333333
"293"	"mast.cell"	"skeletal.muscle.satellite.stem.cell"	0.00909090909090909
"235"	"neutrophil"	"mesenchymal.stem.cell"	0.00883652430044183
"343"	"basal.cell"	"t.cell"	0.00874125874125874
"297"	"secretory.cell"	"skeletal.muscle.satellite.stem.cell"	0.0087260034904014
"284"	"cd4.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00872093023255814
"114"	"mucus.secreting.cell"	"endothelial.cell.of.vascular.tree"	0.00857843137254902
"165"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0085348506401138
"276"	"plasma.cell"	"pericyte.cell"	0.00847457627118644
"376"	"plasma.cell"	"tendon.cell"	0.00836120401337793
"209"	"endothelial.cell"	"mature.nk.t.cell"	0.00828586224754013
"190"	"fibroblast"	"mast.cell"	0.00825082508250825
"154"	"mucus.secreting.cell"	"fast.muscle.cell"	0.00814995925020375
"199"	"smooth.muscle.cell"	"mast.cell"	0.00814814814814815
"244"	"cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00809352517985612
"144"	"cd4.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.00805008944543828
"271"	"ionocyte"	"pericyte.cell"	0.00801424755120214
"373"	"mast.cell"	"tendon.cell"	0.008
"232"	"macrophage"	"mesenchymal.stem.cell"	0.00795228628230616
"56"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.0078740157480315
"8"	"double.positive..alpha.beta.thymocyte"	"capillary.endothelial.cell"	0.00786240786240786
"289"	"endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00784593437945792
"369"	"endothelial.cell"	"tendon.cell"	0.00779588944011339
"31"	"ionocyte"	"cd4.positive..alpha.beta.t.cell"	0.00776610324349018
"305"	"cd8.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.0077120822622108
"53"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.00769230769230769
"77"	"secretory.cell"	"endothelial.cell.of.artery"	0.00769230769230769
"249"	"endothelial.cell"	"mesothelial.cell"	0.00766703176341731
"123"	"basal.cell"	"erythrocyte"	0.00759878419452888
"294"	"mucus.secreting.cell"	"skeletal.muscle.satellite.stem.cell"	0.0075187969924812
"136"	"plasma.cell"	"erythrocyte"	0.00749063670411985
"1"	"goblet.cell"	"capillary.endothelial.cell"	0.00747863247863248
"347"	"connective.tissue.cell"	"t.cell"	0.00736648250460405
