"Trachea"	"Spleen"	"value"
"355"	"neutrophil"	"neutrophil"	0.485047410649161
"282"	"b.cell"	"naive.b.cell"	0.286245353159851
"396"	"plasma.cell"	"plasma.cell"	0.26647564469914
"232"	"macrophage"	"macrophage"	0.218836565096953
"262"	"b.cell"	"memory.b.cell"	0.19205298013245
"129"	"endothelial.cell"	"endothelial.cell"	0.178714130039956
"112"	"macrophage"	"classical.monocyte"	0.158273381294964
"215"	"neutrophil"	"intermediate.monocyte"	0.129148629148629
"127"	"connective.tissue.cell"	"endothelial.cell"	0.097941567065073
"444"	"cd4.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.0907216494845361
"365"	"cd8.positive..alpha.beta.t.cell"	"nk.cell"	0.0881578947368421
"465"	"cd8.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.0833333333333333
"92"	"macrophage"	"cd141.positive.myeloid.dendritic.cell"	0.0811764705882353
"416"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.0705128205128205
"68"	"double.positive..alpha.beta.thymocyte"	"cd8.positive..alpha.beta.t.cell"	0.0691797845898923
"131"	"ionocyte"	"endothelial.cell"	0.0681875792141952
"245"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.067741935483871
"71"	"ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.0608365019011407
"304"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0606936416184971
"126"	"ciliated.cell"	"endothelial.cell"	0.0599089989888777
"431"	"ionocyte"	"platelet"	0.0595783684692942
"325"	"cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0562180579216354
"381"	"goblet.cell"	"plasma.cell"	0.0549084858569052
"24"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0532915360501567
"429"	"endothelial.cell"	"platelet"	0.0522105263157895
"212"	"macrophage"	"intermediate.monocyte"	0.0485689505637468
"439"	"smooth.muscle.cell"	"platelet"	0.0460558549730524
"64"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0454201362604088
"380"	"t.cell"	"nk.cell"	0.0451745379876797
"445"	"cd8.positive..alpha.beta.t.cell"	"regulatory.t.cell"	0.0449101796407186
"82"	"b.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0439393939393939
"115"	"neutrophil"	"classical.monocyte"	0.0425867507886435
"480"	"t.cell"	"type.i.nk.t.cell"	0.0422960725075529
"163"	"basal.cell"	"hematopoietic.stem.cell"	0.042022792022792
"426"	"ciliated.cell"	"platelet"	0.0420193470374849
"433"	"mast.cell"	"platelet"	0.0419790104947526
"139"	"smooth.muscle.cell"	"endothelial.cell"	0.0419529837251356
"435"	"neutrophil"	"platelet"	0.0413676656817222
"171"	"ionocyte"	"hematopoietic.stem.cell"	0.0411807580174927
"401"	"goblet.cell"	"plasmacytoid.dendritic.cell"	0.0405268490374873
"130"	"fibroblast"	"endothelial.cell"	0.0402124430955994
"193"	"mast.cell"	"innate.lymphoid.cell"	0.04
"428"	"double.positive..alpha.beta.thymocyte"	"platelet"	0.0386894388288602
"427"	"connective.tissue.cell"	"platelet"	0.0385239253852393
"368"	"double.positive..alpha.beta.thymocyte"	"nk.cell"	0.0356744704570792
"227"	"connective.tissue.cell"	"macrophage"	0.0338785046728972
"167"	"connective.tissue.cell"	"hematopoietic.stem.cell"	0.0333863275039746
"235"	"neutrophil"	"macrophage"	0.0332922318125771
"40"	"t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0331491712707182
"260"	"t.cell"	"mature.nk.t.cell"	0.033033033033033
"173"	"mast.cell"	"hematopoietic.stem.cell"	0.0322128851540616
"373"	"mast.cell"	"nk.cell"	0.0321543408360129
"233"	"mast.cell"	"macrophage"	0.0318979266347687
"411"	"ionocyte"	"plasmacytoid.dendritic.cell"	0.0314589068029886
"229"	"endothelial.cell"	"macrophage"	0.0314009661835749
"128"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell"	0.0312759479656795
"231"	"ionocyte"	"macrophage"	0.0308047747400847
"25"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0306122448979592
"408"	"double.positive..alpha.beta.thymocyte"	"plasmacytoid.dendritic.cell"	0.0304054054054054
"188"	"double.positive..alpha.beta.thymocyte"	"innate.lymphoid.cell"	0.0303183425972713
"352"	"macrophage"	"neutrophil"	0.0300429184549356
"189"	"endothelial.cell"	"innate.lymphoid.cell"	0.0297422339722406
"168"	"double.positive..alpha.beta.thymocyte"	"hematopoietic.stem.cell"	0.028658271819366
"185"	"cd8.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.0285714285714286
"468"	"double.positive..alpha.beta.thymocyte"	"type.i.nk.t.cell"	0.0285367334547662
"320"	"t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0283018867924528
"133"	"mast.cell"	"endothelial.cell"	0.0279593318809005
"187"	"connective.tissue.cell"	"innate.lymphoid.cell"	0.0279187817258883
"166"	"ciliated.cell"	"hematopoietic.stem.cell"	0.0279086625588982
"191"	"ionocyte"	"innate.lymphoid.cell"	0.0276535176901179
"448"	"double.positive..alpha.beta.thymocyte"	"regulatory.t.cell"	0.0273321449792038
"340"	"t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0272108843537415
"186"	"ciliated.cell"	"innate.lymphoid.cell"	0.0270491803278689
"172"	"macrophage"	"hematopoietic.stem.cell"	0.026694045174538
"353"	"mast.cell"	"neutrophil"	0.026691495965239
"432"	"macrophage"	"platelet"	0.0262518230432669
"151"	"ionocyte"	"erythrocyte"	0.0261096605744125
"65"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0258107213765718
"66"	"ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.0255720053835801
"45"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0253164556962025
"93"	"mast.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0252583237657865
"213"	"mast.cell"	"intermediate.monocyte"	0.0251299826689775
"296"	"plasma.cell"	"naive.b.cell"	0.0250521920668058
"248"	"double.positive..alpha.beta.thymocyte"	"mature.nk.t.cell"	0.024818401937046
"230"	"fibroblast"	"macrophage"	0.0246598639455782
"178"	"serous.cell.of.epithelium.of.trachea"	"hematopoietic.stem.cell"	0.0245310245310245
"239"	"smooth.muscle.cell"	"macrophage"	0.024390243902439
"11"	"ionocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.0242504409171076
