"Trachea"	"Tongue"	"value"
"179"	"smooth.muscle.cell"	"pericyte.cell"	0.275210084033613
"107"	"connective.tissue.cell"	"fibroblast"	0.196357878068092
"110"	"fibroblast"	"fibroblast"	0.166461159062885
"125"	"cd8.positive..alpha.beta.t.cell"	"immune.cell"	0.154815481548155
"29"	"endothelial.cell"	"capillary.endothelial.cell"	0.122944400939702
"3"	"basal.cell"	"basal.cell"	0.117359413202934
"135"	"neutrophil"	"immune.cell"	0.102878138395591
"132"	"macrophage"	"immune.cell"	0.0996955859969559
"229"	"endothelial.cell"	"vein.endothelial.cell"	0.0937215650591447
"49"	"endothelial.cell"	"endothelial.cell.of.artery"	0.0899653979238754
"191"	"ionocyte"	"schwann.cell"	0.0891393442622951
"157"	"secretory.cell"	"keratinocyte"	0.0862745098039216
"143"	"basal.cell"	"keratinocyte"	0.0723025583982203
"69"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0685019206145967
"124"	"cd4.positive..alpha.beta.t.cell"	"immune.cell"	0.0680728667305849
"186"	"ciliated.cell"	"schwann.cell"	0.0604010025062657
"128"	"double.positive..alpha.beta.thymocyte"	"immune.cell"	0.0571037003197807
"83"	"basal.cell"	"epithelial.cell"	0.0560747663551402
"133"	"mast.cell"	"immune.cell"	0.0558035714285714
"188"	"double.positive..alpha.beta.thymocyte"	"schwann.cell"	0.055524397083567
"14"	"mucus.secreting.cell"	"basal.cell"	0.0549132947976879
"122"	"b.cell"	"immune.cell"	0.0492227979274611
"51"	"ionocyte"	"endothelial.cell.of.artery"	0.0491743119266055
"187"	"connective.tissue.cell"	"schwann.cell"	0.0489181561618062
"17"	"secretory.cell"	"basal.cell"	0.0478170478170478
"141"	"goblet.cell"	"keratinocyte"	0.0424076607387141
"140"	"t.cell"	"immune.cell"	0.0421166306695464
"167"	"connective.tissue.cell"	"pericyte.cell"	0.0392902408111534
"71"	"ionocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0381739472648564
"70"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0346051464063886
"55"	"neutrophil"	"endothelial.cell.of.artery"	0.0339454646633278
"97"	"secretory.cell"	"epithelial.cell"	0.0334728033472803
"67"	"connective.tissue.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0334328358208955
"48"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.artery"	0.0331154684095861
"46"	"ciliated.cell"	"endothelial.cell.of.artery"	0.0316248636859324
"202"	"b.cell"	"tongue.muscle.cell"	0.0298879202988792
"91"	"ionocyte"	"epithelial.cell"	0.0291088222122705
"1"	"goblet.cell"	"basal.cell"	0.0289017341040462
"53"	"mast.cell"	"endothelial.cell.of.artery"	0.0285714285714286
"193"	"mast.cell"	"schwann.cell"	0.0283154121863799
"198"	"serous.cell.of.epithelium.of.trachea"	"schwann.cell"	0.0281227173119065
"207"	"connective.tissue.cell"	"tongue.muscle.cell"	0.0258679373723622
"170"	"fibroblast"	"pericyte.cell"	0.025763358778626
"154"	"mucus.secreting.cell"	"keratinocyte"	0.0249671484888305
"72"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0248
"199"	"smooth.muscle.cell"	"schwann.cell"	0.0245700245700246
"96"	"plasma.cell"	"epithelial.cell"	0.0240963855421687
"210"	"fibroblast"	"tongue.muscle.cell"	0.0239130434782609
"192"	"macrophage"	"schwann.cell"	0.0236916548797737
"195"	"neutrophil"	"schwann.cell"	0.0232924142272584
"75"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.023125
"41"	"goblet.cell"	"endothelial.cell.of.artery"	0.021018593371059
"68"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0208926875593542
"151"	"ionocyte"	"keratinocyte"	0.0207792207792208
"183"	"basal.cell"	"schwann.cell"	0.0203498750446269
"81"	"goblet.cell"	"epithelial.cell"	0.0203488372093023
"66"	"ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0202729044834308
"28"	"double.positive..alpha.beta.thymocyte"	"capillary.endothelial.cell"	0.0202450719232818
"173"	"mast.cell"	"pericyte.cell"	0.0201577563540754
"58"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.artery"	0.0200860832137733
"203"	"basal.cell"	"tongue.muscle.cell"	0.02
"112"	"macrophage"	"fibroblast"	0.0192122958693564
"171"	"ionocyte"	"pericyte.cell"	0.0192076830732293
"31"	"ionocyte"	"capillary.endothelial.cell"	0.0190839694656489
"33"	"mast.cell"	"capillary.endothelial.cell"	0.018981018981019
"119"	"smooth.muscle.cell"	"fibroblast"	0.0187793427230047
"79"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0187353629976581
"82"	"b.cell"	"epithelial.cell"	0.0186246418338109
"47"	"connective.tissue.cell"	"endothelial.cell.of.artery"	0.0177267987486966
"52"	"macrophage"	"endothelial.cell.of.artery"	0.0176151761517615
"155"	"neutrophil"	"keratinocyte"	0.0172413793103448
"190"	"fibroblast"	"schwann.cell"	0.0171972191730699
"219"	"smooth.muscle.cell"	"tongue.muscle.cell"	0.0169332079021637
"88"	"double.positive..alpha.beta.thymocyte"	"epithelial.cell"	0.0168539325842697
"211"	"ionocyte"	"tongue.muscle.cell"	0.016849199663016
"194"	"mucus.secreting.cell"	"schwann.cell"	0.0167300380228137
"84"	"cd4.positive..alpha.beta.t.cell"	"epithelial.cell"	0.0166666666666667
"62"	"b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0164410058027079
"78"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.lymphatic.vessel"	0.0160744500846024
"208"	"double.positive..alpha.beta.thymocyte"	"tongue.muscle.cell"	0.0158227848101266
"189"	"endothelial.cell"	"schwann.cell"	0.015779702970297
"206"	"ciliated.cell"	"tongue.muscle.cell"	0.015704584040747
"181"	"goblet.cell"	"schwann.cell"	0.015678776290631
"27"	"connective.tissue.cell"	"capillary.endothelial.cell"	0.0156143923964698
"178"	"serous.cell.of.epithelium.of.trachea"	"pericyte.cell"	0.0155535224153705
"204"	"cd4.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.0153846153846154
"43"	"basal.cell"	"endothelial.cell.of.artery"	0.0152460152460152
"18"	"serous.cell.of.epithelium.of.trachea"	"basal.cell"	0.0151515151515152
"6"	"ciliated.cell"	"basal.cell"	0.0150909897913893
"54"	"mucus.secreting.cell"	"endothelial.cell.of.artery"	0.0150554675118859
"166"	"ciliated.cell"	"pericyte.cell"	0.0148654077942949
"146"	"ciliated.cell"	"keratinocyte"	0.0147633521493704
"63"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0146818923327896
"73"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0145513338722716
"175"	"neutrophil"	"pericyte.cell"	0.0144356955380577
"235"	"neutrophil"	"vein.endothelial.cell"	0.0138648180242634
"35"	"neutrophil"	"capillary.endothelial.cell"	0.0137382501807664
"61"	"goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0136186770428016
"42"	"b.cell"	"endothelial.cell.of.artery"	0.0135458167330677
"158"	"serous.cell.of.epithelium.of.trachea"	"keratinocyte"	0.0132013201320132
"11"	"ionocyte"	"basal.cell"	0.0131694468832309
"4"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.0130718954248366
"136"	"plasma.cell"	"immune.cell"	0.012987012987013
"99"	"smooth.muscle.cell"	"epithelial.cell"	0.012591815320042
"182"	"b.cell"	"schwann.cell"	0.0125379939209726
"74"	"mucus.secreting.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0124164278892073
"185"	"cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.0122222222222222
"115"	"neutrophil"	"fibroblast"	0.0121428571428571
"213"	"mast.cell"	"tongue.muscle.cell"	0.0117762512266928
"32"	"macrophage"	"capillary.endothelial.cell"	0.011605415860735
"233"	"mast.cell"	"vein.endothelial.cell"	0.0115532734274711
"26"	"ciliated.cell"	"capillary.endothelial.cell"	0.0114649681528662
"163"	"basal.cell"	"pericyte.cell"	0.0114035087719298
"111"	"ionocyte"	"fibroblast"	0.0112923462986198
"65"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.010840108401084
"64"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0106382978723404
"227"	"connective.tissue.cell"	"vein.endothelial.cell"	0.0103916866506795
