Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type name
PS614675	Bone marrow failure syndrome	erythroid progenitor
PS614675	Bone marrow failure syndrome	hematopoietic stem cell
PS177000	Protoporphyria, erythropoietic	erythrocyte
PS308230	Immunodeficiency with hyper-IgM	memory b cell
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related	macrophage
236000	Hodgkin Lymphoma	plasma cell
613978	Hemoglobin H Disease	erythrocyte
613978	Hemoglobin H Disease	erythroid progenitor
PS607594	Immunodeficiency, common variable	memory b cell
PS607594	Immunodeficiency, common variable	naive b cell
PS177900	Psoriasis	neutrophil
614038	Lymphedema, Primary, With Myelodysplasia	myeloid progenitor
PS308240	Lymphoproliferative syndrome	nk cell
609135	Aplastic Anemia	granulocyte
609135	Aplastic Anemia	hematopoietic stem cell
PS603075	Macular degeneration, age-related	macrophage
PS105650	Diamond-Blackfan anemia	erythroid progenitor
607785	Juvenile Myelomonocytic Leukemia	myeloid progenitor
166900	Ovalocytosis, Hereditary Hemolytic	erythrocyte
PS227650	Fanconi anemia	erythroid progenitor
PS227650	Fanconi anemia	hematopoietic stem cell
601626	Leukemia, Acute Myeloid	myeloid progenitor
200100	Abetalipoproteinemia	erythrocyte
PS224120	Anemia, congenital dyserythropoietic	erythrocyte
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	erythrocyte
PS202700	Neutropenia, severe congenital	granulocyte
PS202700	Neutropenia, severe congenital	myeloid progenitor
231000	Gaucher Disease, Type Iii	macrophage
243150	Gastrointestinal Defects And Immunodeficiency Syndrome	memory b cell
PS187950	Thrombocythemia	erythroid progenitor
PS187950	Thrombocythemia	myeloid progenitor
214500	Chediak-higashi Syndrome	granulocyte
214500	Chediak-higashi Syndrome	neutrophil
604131	Alpha-thalassemia	erythrocyte
604131	Alpha-thalassemia	erythroid progenitor
608068	Neutrophilic Dermatosis, Acute Febrile	neutrophil
614286	Myelodysplastic Syndrome	erythroid progenitor
614286	Myelodysplastic Syndrome	myeloid progenitor
230900	Gaucher Disease, Type Ii	macrophage
PS245480	Specific granule deficiency	neutrophil
PS300818	Paroxysmal nocturnal hemoglobinuria	cd24 neutrophil
PS300818	Paroxysmal nocturnal hemoglobinuria	erythrocyte
130600	Elliptocytosis 2	erythrocyte
PS188050	Thrombophilia	monocyte
254600	Myeloperoxidase Deficiency	neutrophil
154800	Mast Cell Disease	macrophage
162800	Cyclic Hematopoiesis	granulocyte
PS601495	Agammaglobulinemia	memory b cell
PS601495	Agammaglobulinemia	naive b cell
PS601495	Agammaglobulinemia	plasma cell
PS235400	Hemolytic uremic syndrome	erythrocyte
603554	Omenn Syndrome	hematopoietic stem cell
603554	Omenn Syndrome	naive b cell
603554	Omenn Syndrome	nk cell
613985	Beta-thalassemia	erythrocyte
613985	Beta-thalassemia	erythroid progenitor
PS266600	Inflammatory bowel disease	macrophage
PS267700	Hemophagocytic lymphohistiocytosis, familial	nk cell
PS133100	Erythrocytosis, familial	erythroid progenitor
PS162000	Tubulointerstitial kidney disease	plasma cell
603903	Sickle Cell Anemia	erythrocyte
169400	Pelger-huet Anomaly	granulocyte
PS300751	Anemia, Sideroblastic	erythroid progenitor
182900	Spherocytosis, Hereditary	erythrocyte
605027	Lymphoma, Non-hodgkin, Familial	plasma cell
PS306400	Granulomatous disease, chronic	granulocyte
PS306400	Granulomatous disease, chronic	neutrophil
230800	Gaucher Disease, Type I	macrophage
611804	Elliptocytosis 1	erythrocyte
609529	Immunoglobulin A Deficiency 2	memory b cell
609529	Immunoglobulin A Deficiency 2	naive b cell
