Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type name
154700	Marfan Syndrome	smooth muscle cell
154700	Marfan Syndrome	vascular associated smooth muscle cell
PS173900	Polycystic kidney disease	basal cell
PS211400	Bronchiectasis	lung ciliated cell
PS211400	Bronchiectasis	neutrophil
PS211400	Bronchiectasis	respiratory mucous cell
PS609060	Combined oxidative phosphorylation deficiency	vein endothelial cell
PS191100	Tuberous sclerosis	smooth muscle cell
PS191100	Tuberous sclerosis	type ii pneumocyte
192430	Velocardiofacial Syndrome	cd4-positive alpha-beta t cell
PS607014	Mucopolysaccharidoses	adventitial cell
PS607014	Mucopolysaccharidoses	fibroblast
PS607014	Mucopolysaccharidoses	pericyte cell
PS227650	Fanconi anemia	fibroblast
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related	alveolar fibroblast
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related	myofibroblast cell
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related	type i pneumocyte
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related	type ii pneumocyte
PS213300	Joubert syndrome	basal cell
614327	Tumor Predisposition Syndrome	basal cell
614327	Tumor Predisposition Syndrome	plasmacytoid dendritic cell
208900	Ataxia-telangiectasia	fibroblast
PS607594	Immunodeficiency, common variable	b cell
PS607594	Immunodeficiency, common variable	plasma cell
PS607594	Immunodeficiency, common variable	plasmacytoid dendritic cell
PS244400	Primary ciliary dyskinesia	basal cell
PS244400	Primary ciliary dyskinesia	lung ciliated cell
PS244400	Primary ciliary dyskinesia	respiratory goblet cell
PS244400	Primary ciliary dyskinesia	respiratory mucous cell
PS202700	Neutropenia, severe congenital	neutrophil
PS153100	Lymphatic malformation	endothelial cell of lymphatic vessel
219700	Cystic Fibrosis	respiratory mucous cell
606690	Lymphangioleiomyomatosis	endothelial cell of lymphatic vessel
606690	Lymphangioleiomyomatosis	smooth muscle cell
PS617468	Arthrogryposis multiplex congenita	club cell
PS259700	Osteopetrosis, autosomal recessive	intermediate monocyte
PS209900	Bardet-Biedl syndrome	basal cell
152700	Systemic Lupus Erythematosus	b cell
152700	Systemic Lupus Erythematosus	dendritic cell
152700	Systemic Lupus Erythematosus	plasmacytoid dendritic cell
PS265120	Surfactant metabolism dysfunction, pulmonary	type i pneumocyte
PS265120	Surfactant metabolism dysfunction, pulmonary	type ii pneumocyte
607271	Autoimmune Lymphoproliferative Syndrome, Type Iib	cd4-positive alpha-beta t cell
PS176670	Progeria	smooth muscle cell
PS176670	Progeria	vascular associated smooth muscle cell
613490	Alpha-1-antitrypsin Deficiency	neutrophil
178500	Pulmonary Fibrosis, Idiopathic	alveolar fibroblast
178500	Pulmonary Fibrosis, Idiopathic	fibroblast
178500	Pulmonary Fibrosis, Idiopathic	myofibroblast cell
178500	Pulmonary Fibrosis, Idiopathic	type i pneumocyte
178500	Pulmonary Fibrosis, Idiopathic	type ii pneumocyte
185500	Supravalvular Aortic Stenosis	smooth muscle cell
185500	Supravalvular Aortic Stenosis	vascular associated smooth muscle cell
PS601495	Agammaglobulinemia	b cell
PS601495	Agammaglobulinemia	basophil
PS601495	Agammaglobulinemia	plasma cell
230900	Gaucher Disease, Type Ii	classical monocyte
230900	Gaucher Disease, Type Ii	macrophage
PS306400	Granulomatous disease, chronic	classical monocyte
PS306400	Granulomatous disease, chronic	intermediate monocyte
PS306400	Granulomatous disease, chronic	macrophage
PS306400	Granulomatous disease, chronic	neutrophil
PS178600	Pulmonary hypertension, primary	adventitial cell
PS178600	Pulmonary hypertension, primary	endothelial cell of artery
PS178600	Pulmonary hypertension, primary	lung microvascular endothelial cell
PS178600	Pulmonary hypertension, primary	smooth muscle cell
PS178600	Pulmonary hypertension, primary	vascular associated smooth muscle cell
PS187300	Telangiectasia, hereditary hemorrhagic	adventitial cell
PS187300	Telangiectasia, hereditary hemorrhagic	endothelial cell of artery
PS187300	Telangiectasia, hereditary hemorrhagic	pericyte cell
PS187300	Telangiectasia, hereditary hemorrhagic	vascular associated smooth muscle cell
PS187300	Telangiectasia, hereditary hemorrhagic	vein endothelial cell
230800	Gaucher Disease, Type I	classical monocyte
230800	Gaucher Disease, Type I	macrophage
PS308240	Lymphoproliferative syndrome	cd4-positive alpha-beta t cell
PS308240	Lymphoproliferative syndrome	b cell
PS308240	Lymphoproliferative syndrome	nk cell
PS308240	Lymphoproliferative syndrome	plasma cell
PS245480	Specific granule deficiency	neutrophil
PS256100	Nephronophthisis	basal cell
603554	Omenn Syndrome	cd8-positive alpha-beta t cell
603554	Omenn Syndrome	cd4-positive alpha-beta t cell
603554	Omenn Syndrome	b cell
603554	Omenn Syndrome	dendritic cell
603554	Omenn Syndrome	nk cell
PS134600	Fanconi renotubular syndrome	plasma cell
173600	Pneumothorax, Primary Spontaneous	mesothelial cell
193300	Von Hippel-lindau Syndrome	adventitial cell
193300	Von Hippel-lindau Syndrome	pericyte cell
211980	Lung Cancer, Susceptibility To	mesothelial cell
211980	Lung Cancer, Susceptibility To	nk cell
