Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type name
160800	Myotonia Congenita, Autosomal Dominant	fast muscle cell
301500	Fabry Disease	pericyte cell
PS116860	Cerebral cavernous malformations	capillary endothelial cell
PS116860	Cerebral cavernous malformations	pericyte cell
310200	Muscular Dystrophy, Duchenne Type	skeletal muscle satellite stem cell
PS160150	Myopathy, centronuclear	slow muscle cell
PS601462	Myasthenic syndrome, congenital	slow muscle cell
PS601419	Myopathy, myofibrillar	fast muscle cell
PS601419	Myopathy, myofibrillar	slow muscle cell
PS603075	Macular degeneration, age-related	pericyte cell
154700	Marfan Syndrome	smooth muscle cell
PS125310	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	pericyte cell
PS125310	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	smooth muscle cell
618859	Neurodevelopmental Disorder With Or Without Autistic Features And/or Structural Brain Abnormalities	pericyte cell
231000	Gaucher Disease, Type Iii	macrophage
214500	Chediak-higashi Syndrome	mast cell
230900	Gaucher Disease, Type Ii	macrophage
181430	Scapuloperoneal Myopathy, Myh7-related	tendon cell
612540	Myopathy, Congenital, Compton-north	fast muscle cell
612540	Myopathy, Congenital, Compton-north	slow muscle cell
PS191100	Tuberous sclerosis	smooth muscle cell
162200	Neurofibromatosis, Type I	mast cell
PS126200	Multiple sclerosis, susceptibility to	cd4-positive alpha-beta t cell
PS126200	Multiple sclerosis, susceptibility to	t cell
PS230400	Galactosemia	pericyte cell
PS166200	Osteogenesis imperfecta	mesenchymal stem cell
PS166200	Osteogenesis imperfecta	tendon cell
616034	2,4-@dienoyl-coa Reductase Deficiency	erythrocyte
100800	Achondroplasia	tendon cell
PS176670	Progeria	smooth muscle cell
PS310300	Emery-Dreifuss muscular dystrophy	tendon cell
255310	Myopathy, Congenital, With Fiber-type Disproportion	slow muscle cell
PS193100	Hypophosphatemic rickets	tendon cell
PS160565	Myopathy, tubular aggregate	slow muscle cell
PS130000	Ehlers-Danlos syndrome	tendon cell
265380	Alveolar Capillary Dysplasia With Misalignment Of Pulmonary Veins	endothelial cell of artery
255700	Myotonia Congenita, Autosomal Recessive	fast muscle cell
613470	Hemolytic Anemia, Nonspherocytic, Due To Glucose Phosphate Isomerase	erythrocyte
PS161800	Nemaline myopathy	slow muscle cell
614160	Muscle Hypertrophy	fast muscle cell
614160	Muscle Hypertrophy	skeletal muscle satellite stem cell
PS607014	Mucopolysaccharidoses	pericyte cell
300376	Muscular Dystrophy, Becker Type	skeletal muscle satellite stem cell
PS175780	Brain small vessel disease	endothelial cell of artery
PS175780	Brain small vessel disease	pericyte cell
229700	Fructose-1,6-bisphosphatase Deficiency	erythrocyte
PS132400	Epiphyseal dysplasia, multiple	tendon cell
213700	Cerebrotendinous Xanthomatosis	tendon cell
168300	Paramyotonia Congenita Of Von Eulenburg	fast muscle cell
PS192500	Long QT syndrome	slow muscle cell
