Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type name
PS308230	Immunodeficiency with hyper-IgM	memory b cell
PS267700	Hemophagocytic lymphohistiocytosis, familial	nk cell
PS267700	Hemophagocytic lymphohistiocytosis, familial	type i nk t cell
610377	Mevalonic Aciduria	intermediate monocyte
PS227650	Fanconi anemia	hematopoietic stem cell
613978	Hemoglobin H Disease	erythrocyte
603903	Sickle Cell Anemia	erythrocyte
PS607594	Immunodeficiency, common variable	memory b cell
PS607594	Immunodeficiency, common variable	naive b cell
PS224120	Anemia, congenital dyserythropoietic	erythrocyte
PS203300	Hermansky-Pudlak syndrome	platelet
PS202700	Neutropenia, severe congenital	neutrophil
231000	Gaucher Disease, Type Iii	macrophage
PS187950	Thrombocythemia	platelet
PS153100	Lymphatic malformation	endothelial cell
214500	Chediak-higashi Syndrome	neutrophil
PS259700	Osteopetrosis, autosomal recessive	intermediate monocyte
182900	Spherocytosis, Hereditary	erythrocyte
230900	Gaucher Disease, Type Ii	macrophage
PS306400	Granulomatous disease, chronic	intermediate monocyte
PS306400	Granulomatous disease, chronic	neutrophil
230800	Gaucher Disease, Type I	macrophage
603554	Omenn Syndrome	hematopoietic stem cell
603554	Omenn Syndrome	naive b cell
611804	Elliptocytosis 1	erythrocyte
260920	Hyper-igd Syndrome	intermediate monocyte
618398	T-cell Lymphoma, Subcutaneous Panniculitis-like	type i nk t cell
