		cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	cd24 neutrophil	erythrocyte	erythroid progenitor	granulocyte	hematopoietic stem cell	macrophage	memory b cell	monocyte	myeloid progenitor	naive b cell	nampt neutrophil	neutrophil	nk cell	plasma cell
249100	Familial Mediterranean Fever, Ar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS276700	Tyrosinemia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS133780	Exudative vitreoretinopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609628	Majeed Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612423	Prekallikrein Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PS614675	Bone marrow failure syndrome	2	2	0	4	97	45	67	0	1	2	49	1	1	1	7	6
261500	Eosinophil Peroxidase Deficiency	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0
141749	Fetal Hemoglobin Quantitative Trait Locus 1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PS213200	Spinocerebellar ataxia, autosomal recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301500	Fabry Disease	1	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0
616959	Retinitis Pigmentosa And Erythrocytic Microcytosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS177000	Protoporphyria, erythropoietic	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0
153670	Bernard-soulier Syndrome, Benign Autosomal Dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142680	Periodic Fever, Familial, Autosomal Dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616541	Short Stature, Microcephaly, And Endocrine Dysfunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242900	Immunoosseous Dysplasia, Schimke Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159550	Ataxia-pancytopenia Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202400	Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS308230	Immunodeficiency with hyper-IgM	0	0	0	0	0	1	1	0	18	0	0	10	0	0	0	3
271510	Spondyloepimetaphyseal Dysplasia, Sponastrime Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS145000	Hyperparathyroidism	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0
174900	Juvenile Polyposis Syndrome Juvenile Intestinal Polyposis Polyposis, Familial, Of Entire Gastrointestinal Tract Juvenile Polyposis Of Stomach, Included Juvenile Polyposis Coli, Included	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618660	Hemolytic Anemia Due To Glutathione Reductase Deficiency	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
613977	Cyanosis, Transient Neonatal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS147920	Kabuki syndrome	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
PS214100	Peroxisome biogenesis disorder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610377	Mevalonic Aciduria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS256040	Proteosome-associated autoinflammatory syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604278	Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mentalretardation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612690	Spherocytosis, Type 5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PS124000	Mitochondrial complex III deficiency, nuclear type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251260	Nijmegen Breakage Syndrome	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0
300835	Anemia, X-linked, With Or Without Neutropenia And/or Platelet Abnormalities	0	0	0	10	42	24	7	1	4	6	32	1	0	7	2	3
300842	Mcleod Syndrome	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
214800	Charge Syndrome	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
618162	Spondyloepimetaphyseal Dysplasia, Krakow Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS147060	Hyper-IgE recurrent infection syndrome	0	0	0	0	0	6	0	0	11	1	0	7	0	3	1	2
PS128100	Dystonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS242860	Immunodeficiency-centromeric instability-facial anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611881	Glycogen Storage Disease Xii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related	1	0	0	0	2	3	1	10	0	2	3	0	0	5	0	1
236000	Hodgkin Lymphoma	0	0	0	0	2	5	5	1	8	5	6	10	0	1	6	16
PS617186	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy	2	0	0	0	0	0	2	0	1	1	0	3	0	0	0	2
618451	Neurodegeneration, Early-onset, With Choreoathetoid Movements And Microcytic Anemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
