		capillary endothelial cell	cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	endothelial cell of artery	endothelial cell of lymphatic vessel	endothelial cell of vascular tree	erythrocyte	fast muscle cell	macrophage	mast cell	mature nk t cell	mesenchymal stem cell	mesothelial cell	pericyte cell	skeletal muscle satellite stem cell	slow muscle cell	smooth muscle cell	t cell	tendon cell
617982	Ververi-brady Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248510	Mannosidosis, Beta A, Lysosomal	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
618906	Intellectual Developmental Disorder With Autistic Features And Language Delay, With Or Without Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS180860	Silver-Russell syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160800	Myotonia Congenita, Autosomal Dominant	0	0	0	0	0	0	3	31	0	0	0	0	0	0	2	29	0	0	0
609628	Majeed Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617235	Myoclonus, Intractable, Neonatal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS146200	Hypoparathyroidism, familial	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PS210200	Methylcrotonylglycinuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618512	O'donnell-luria-rodan Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS614675	Bone marrow failure syndrome	0	2	2	0	0	0	4	0	0	2	0	6	0	0	0	0	0	5	0
616831	Luscan-lumish Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618829	Nabais Sa-de Vries Syndrome, Type 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617802	Neurodevelopmental Disorder With Microcephaly, Seizures, And Cortical Atrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616657	Spastic Tetraplegia, Thin Corpus Callosum, And Progressive Microcephaly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617915	Hypotonia, Ataxia, Developmental Delay, And Tooth Enamel Defect Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS613135	Parkinsonism-dystonia, infantile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS254800	Epilepsy, progressive myoclonic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
151050	Lenz-majewski Hyperostotic Dwarfism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS213200	Spinocerebellar ataxia, autosomal recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
253260	Biotinidase Deficiencymultiple Carboxylase Deficiency, Late-onset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
603896	Leukoencephalopathy With Vanishing White Matter	0	0	0	0	0	0	0	0	0	1	0	2	0	5	0	0	0	0	0
301500	Fabry Disease	2	1	0	5	3	0	1	1	0	0	0	0	0	14	0	5	0	0	0
PS251200	Microcephaly, primary autosomal recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617595	Birk-landau-perez Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS615419	Hypotonia, infantile, with psychomotor retardation and characteristic facies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142680	Periodic Fever, Familial, Autosomal Dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618619	Weiss-kruszka Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218000	Agenesis Of The Corpus Callosum With Peripheral Neuropathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227600	Factor X Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300718	Myopathy, Reducing Body, X-linked, Childhood-onset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS609308	Muscular dystrophy-dystroglycanopathy, type C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
601200	Pleuropulmonary Blastoma	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PS601675	Trichothiodystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS116200	Cataract	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
616263	Neurologic, Endocrine, And Pancreatic Disease, Multisystem, Infantile-onset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS309800	Microphthalmia, syndromic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263210	Gillessen-kaesbach-nishimura Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
619121	Neurodevelopmental Disorder With Cardiomyopathy, Spasticity, And Brain Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617435	Lopes-maciel-rodan Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180800	Roussy-levy Hereditary Areflexic Dystasia	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	6	0	0	4
201475	Acyl-coa Dehydrogenase, Very Long-chain, Deficiency Of	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
605820	Nonaka Myopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
614261	Microcephaly-capillary Malformation Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS115150	Cardiofaciocutaneous syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS268310	Robinow syndrome	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616878	Metabolic Encephalomyopathic Crises, Recurrent, With Rhabdomyolysis, Cardiac Arrhythmias, And Neurodegeneration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602398	Desmosterolosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS145000	Hyperparathyroidism	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
162100	Amyotrophy, Hereditary Neuralgic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS300345	Microphthalmia, isolated, with coloboma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
