"pair"	"pval"	"prop"	"fdr"
"7"	"1_7"	1.17686023049453e-12	0.13666815542653	2.2360344379396e-11
"26"	"2_7"	1.17686023049453e-12	0.0718328254244667	2.2360344379396e-11
"12"	"1_12"	1.71959427127183e-07	0.0611880303707012	1.63361455770824e-06
"31"	"2_12"	1.71959427127183e-07	0.104484109708315	1.63361455770824e-06
"6"	"1_6"	0.00214307361752489	0.0759267530147387	0.0135727995776577
"25"	"2_6"	0.00214307361752489	0.0531127557683936	0.0135727995776577
"11"	"1_11"	0.0756234591517479	0.121929432782492	0.359211430970803
"30"	"2_11"	0.0756234591517479	0.14018284719199	0.359211430970803
"5"	"1_5"	0.113707952637598	0.0710138454667262	0.432090220022872
"24"	"2_5"	0.113707952637598	0.0840226382237701	0.432090220022872
"4"	"1_4"	0.324008883359407	0.0080393032603841	0.999999999999968
"23"	"2_4"	0.324008883359407	0.00522420548541576	0.999999999999968
"2"	"1_2"	0.428902435253095	0.0334970969182671	0.999999999999968
"21"	"2_2"	0.428902435253095	0.0383108402263822	0.999999999999968
"9"	"1_9"	0.543728808090954	0.0276909334524341	0.999999999999968
"28"	"2_9"	0.543728808090954	0.0243796255986069	0.999999999999968
"19"	"1_19"	0.581471671548133	0.00446627958910228	0.999999999999968
"38"	"2_19"	0.581471671548133	0.00609490639965172	0.999999999999968
"3"	"1_3"	0.595946941044611	0.029477445288075	0.999999999999968
"22"	"2_3"	0.595946941044611	0.0326512842838485	0.999999999999968
"18"	"1_18"	0.631715118511385	0.00580616346583296	0.999999999999968
"37"	"2_18"	0.631715118511385	0.00740095777100566	0.999999999999968
"10"	"1_10"	0.686593538542864	0.0406431442608307	0.999999999999968
"29"	"2_10"	0.686593538542864	0.0378754897692643	0.999999999999968
"13"	"1_13"	0.693313039575157	0.0343903528360875	0.999999999999968
"32"	"2_13"	0.693313039575157	0.0370047888550283	0.999999999999968
"16"	"1_16"	0.753173654126104	0.183564091112104	0.999999999999968
"35"	"2_16"	0.753173654126104	0.187636047017849	0.999999999999968
"14"	"1_14"	0.827296501147495	0.0835194283162126	0.999999999999968
"33"	"2_14"	0.827296501147495	0.0857640400522421	0.999999999999968
"1"	"1_1"	0.928038056868927	0.00759267530147387	0.999999999999968
"20"	"2_1"	0.928038056868927	0.00827165868524162	0.999999999999968
"17"	"1_17"	0.960521839863406	0.0553818669048682	0.999999999999968
"36"	"2_17"	0.960521839863406	0.0561602089682194	0.999999999999968
"8"	"1_8"	0.999999999999959	0.0120589548905761	0.999999999999968
"27"	"2_8"	0.999999999999959	0.0121898127993034	0.999999999999968
"15"	"1_15"	0.999999999999968	0.00714604734256364	0.999999999999968
"34"	"2_15"	0.999999999999968	0.00740095777100566	0.999999999999968
