"pair"	"pval"	"prop"	"fdr"
"13"	"1_13"	5.04465910168793e-63	0.0885668276972625	7.0625227423631e-62
"27"	"2_13"	5.04465910168793e-63	0.511479591836735	7.0625227423631e-62
"3"	"1_3"	3.20121373586423e-34	0.188405797101449	2.24084961510496e-33
"17"	"2_3"	3.20121373586423e-34	0.0038265306122449	2.24084961510496e-33
"9"	"1_9"	2.41778084475544e-24	0.138486312399356	1.12829772755254e-23
"23"	"2_9"	2.41778084475544e-24	0.0038265306122449	1.12829772755254e-23
"8"	"1_8"	3.54034585456972e-23	0.161030595813205	1.2391210490994e-22
"22"	"2_8"	3.54034585456972e-23	0.0153061224489796	1.2391210490994e-22
"14"	"1_14"	1.41355736749112e-12	0.0322061191626409	3.95796062897512e-12
"28"	"2_14"	1.41355736749112e-12	0.145408163265306	3.95796062897512e-12
"4"	"1_4"	3.11746898025209e-09	0.0466988727858293	7.27409428725487e-09
"18"	"2_4"	3.11746898025209e-09	0	7.27409428725487e-09
"10"	"1_10"	4.62675109730292e-08	0.0805152979066023	9.25350219460584e-08
"24"	"2_10"	4.62675109730292e-08	0.0178571428571429	9.25350219460584e-08
"7"	"1_7"	8.78416794142212e-07	0.0402576489533011	1.53722938974887e-06
"21"	"2_7"	8.78416794142212e-07	0.00255102040816327	1.53722938974887e-06
"12"	"1_12"	9.82684181645533e-05	0.0209339774557166	0.000151486457148252
"26"	"2_12"	9.82684181645533e-05	0.0663265306122449	0.000151486457148252
"6"	"1_6"	0.000108204612248751	0.0418679549114332	0.000151486457148252
"20"	"2_6"	0.000108204612248751	0.00892857142857143	0.000151486457148252
"2"	"1_2"	0.000755302269510407	0.0209339774557166	0.0009612937975587
"16"	"2_2"	0.000755302269510407	0.0586734693877551	0.0009612937975587
"1"	"1_1"	0.0940685905764372	0.00805152979066022	0.109746689005843
"15"	"2_1"	0.0940685905764372	0.0204081632653061	0.109746689005843
"5"	"1_5"	0.300145132954666	0.0128824476650564	0.323233220105025
"19"	"2_5"	0.300145132954666	0.0216836734693878	0.323233220105025
"11"	"1_11"	0.859053012331528	0.119162640901771	0.859053012331528
"25"	"2_11"	0.859053012331528	0.123724489795918	0.859053012331528
