"pair"	"pval"	"prop"	"fdr"
"4"	"1_4"	0.000228491196499403	0.0023094688221709	0.00456982392998805
"24"	"2_4"	0.000228491196499403	0.0140625	0.00456982392998805
"3"	"1_3"	0.00337131152648625	0.0225173210161663	0.0337131152648625
"23"	"2_3"	0.00337131152648625	0.0401041666666667	0.0337131152648625
"6"	"1_6"	0.0154627995727451	0.0554272517321016	0.0951264802437215
"26"	"2_6"	0.0154627995727451	0.0380208333333333	0.0951264802437215
"12"	"1_12"	0.0190252960487443	0.0548498845265589	0.0951264802437215
"32"	"2_12"	0.0190252960487443	0.0380208333333333	0.0951264802437215
"1"	"1_1"	0.0258585346386807	0.0323325635103926	0.103434138554723
"21"	"2_1"	0.0258585346386807	0.0473958333333333	0.103434138554723
"5"	"1_5"	0.0944198023316289	0.0219399538106236	0.314732674438763
"25"	"2_5"	0.0944198023316289	0.0140625	0.314732674438763
"7"	"1_7"	0.132990279202053	0.0381062355658199	0.374607002410454
"27"	"2_7"	0.132990279202053	0.0286458333333333	0.374607002410454
"15"	"1_15"	0.149842800964182	0.0311778290993072	0.374607002410454
"35"	"2_15"	0.149842800964182	0.0229166666666667	0.374607002410454
"2"	"1_2"	0.171390924795528	0.035796766743649	0.38086872176784
"22"	"2_2"	0.171390924795528	0.0453125	0.38086872176784
"19"	"1_19"	0.212442533337077	0.163972286374134	0.424885066674155
"39"	"2_19"	0.212442533337077	0.1484375	0.424885066674155
"13"	"1_13"	0.27172963582314	0.0265588914549654	0.4940538833148
"33"	"2_13"	0.27172963582314	0.0333333333333333	0.4940538833148
"11"	"1_11"	0.304083938724013	0.0554272517321016	0.506806564540022
"31"	"2_11"	0.304083938724013	0.0640625	0.506806564540022
"10"	"1_10"	0.378402412754664	0.0415704387990762	0.582157558084098
"30"	"2_10"	0.378402412754664	0.0354166666666667	0.582157558084098
"9"	"1_9"	0.561880043459218	0.058891454965358	0.802685776370312
"29"	"2_9"	0.561880043459218	0.0640625	0.802685776370312
"8"	"1_8"	0.711570745584164	0.0155889145496536	0.948760994112218
"28"	"2_8"	0.711570745584164	0.0177083333333333	0.948760994112218
"17"	"1_17"	0.767035526198795	0.0259815242494226	0.958794407748493
"37"	"2_17"	0.767035526198795	0.028125	0.958794407748493
"16"	"1_16"	0.851826088114453	0.0687066974595843	0.999999999999995
"36"	"2_16"	0.851826088114453	0.0708333333333333	0.999999999999995
"20"	"1_20"	0.955010225312911	0.0334872979214781	0.999999999999995
"40"	"2_20"	0.955010225312911	0.034375	0.999999999999995
"14"	"1_14"	0.997484063019479	0.1229792147806	0.999999999999995
"34"	"2_14"	0.997484063019479	0.122395833333333	0.999999999999995
"18"	"1_18"	0.999999999999995	0.092378752886836	0.999999999999995
"38"	"2_18"	0.999999999999995	0.0927083333333333	0.999999999999995
