"pair"	"pval"	"prop"	"fdr"
"2"	"1_2"	2.19447647822294e-13	0.0060526746278423	3.29171471733441e-12
"17"	"2_2"	2.19447647822294e-13	0.0235533585344577	3.29171471733441e-12
"1"	"1_1"	6.23839379733691e-10	0	4.67879534800268e-09
"16"	"2_1"	6.23839379733691e-10	0.00668799069496947	4.67879534800268e-09
"14"	"1_14"	5.61364277929524e-08	0.0873548176018322	2.80682138964762e-07
"29"	"2_14"	5.61364277929524e-08	0.0564117476010468	2.80682138964762e-07
"15"	"1_15"	1.68797048266706e-07	0.0808113855717324	6.32988931000146e-07
"30"	"2_15"	1.68797048266706e-07	0.0520500145391102	6.32988931000146e-07
"5"	"1_5"	0.00485243049816838	0.0134140356617046	0.0145572914945051
"20"	"2_5"	0.00485243049816838	0.0212271009014248	0.0145572914945051
"9"	"1_9"	0.0113586446099654	0.0107966628496646	0.0264880888697622
"24"	"2_9"	0.0113586446099654	0.0171561500436173	0.0264880888697622
"11"	"1_11"	0.0128591193678419	0.67740880091608	0.0264880888697622
"26"	"2_11"	0.0128591193678419	0.702239022971794	0.0264880888697622
"13"	"1_13"	0.0141269807305399	0.0309177163422215	0.0264880888697622
"28"	"2_13"	0.0141269807305399	0.0220994475138122	0.0264880888697622
"10"	"1_10"	0.052916861385362	0.0137412072632096	0.0881947689756033
"25"	"2_10"	0.052916861385362	0.00901424832800233	0.0881947689756033
"12"	"1_12"	0.0642984845291156	0.0219204973008343	0.0964477267936734
"27"	"2_12"	0.0642984845291156	0.0282058738005234	0.0964477267936734
"3"	"1_3"	0.158332483308522	0.00359888761655488	0.215907931784348
"18"	"2_3"	0.158332483308522	0.00581564408258215	0.215907931784348
"4"	"1_4"	0.424979920649641	0.00261737281203992	0.531224900812051
"19"	"2_4"	0.424979920649641	0.00378016865367839	0.531224900812051
"8"	"1_8"	0.963120196693901	0.0240471127106167	0.999999999999976
"23"	"2_8"	0.963120196693901	0.024425705146845	0.999999999999976
"6"	"1_6"	0.99999999999997	0.0147227220677245	0.999999999999976
"21"	"2_6"	0.99999999999997	0.0145391102064554	0.999999999999976
"7"	"1_7"	0.999999999999976	0.0125961066579421	0.999999999999976
"22"	"2_7"	0.999999999999976	0.0127944169816807	0.999999999999976
