"pair"	"pval"	"prop"	"fdr"
"3"	"1_3"	6.78429588195174e-56	0.202668034889687	2.84940427041973e-54
"5"	"1_5"	7.07178312985404e-33	0.16213442791175	1.48507445726935e-31
"17"	"2_3"	3.10164155898077e-24	0.0638503708481135	4.34229818257308e-23
"33"	"3_5"	1.42075690690381e-23	0.0458199356913183	1.491794752249e-22
"13"	"1_13"	9.59216566326796e-23	0.145715751667522	8.05741915714509e-22
"14"	"1_14"	6.27092714823324e-15	0.114930733709595	4.38964900376327e-14
"42"	"3_14"	1.94096767317987e-10	0.0470257234726688	1.16458060390792e-09
"9"	"1_9"	4.53089705909998e-10	0.0595177013853258	2.37872095602749e-09
"36"	"3_8"	1.2880854122661e-07	0.0482315112540193	6.01106525724181e-07
"12"	"1_12"	2.63767927560962e-07	0.0241149307337096	1.10782529575604e-06
"4"	"1_4"	8.43249715156678e-07	0.0759363776295536	3.21968073059823e-06
"27"	"2_13"	9.74732207703489e-07	0.254434053531119	3.41156272696221e-06
"23"	"2_9"	3.43405791706683e-06	0.114479200257981	1.1094648655139e-05
"34"	"3_6"	4.03271783969708e-06	0.0996784565916399	1.20981535190912e-05
"38"	"3_10"	6.18594196167459e-06	0.0795819935691318	1.73206374926889e-05
"18"	"2_4"	3.20638033863337e-05	0.123508545630442	8.41674838891261e-05
"31"	"3_3"	6.39323254477548e-05	0.0868167202572347	0.000156476056887014
"41"	"3_13"	6.70611672372915e-05	0.253617363344051	0.000156476056887014
"6"	"1_6"	0.00105462785354958	0.0615700359158543	0.00233128262363592
"24"	"2_10"	0.00115046273568277	0.0506288294098678	0.00241597174493383
"8"	"1_8"	0.00467574495844304	0.0225756798358132	0.00935148991688609
"21"	"2_7"	0.0109778379428962	0.00161238310222509	0.0209576906182564
"22"	"2_8"	0.0137614042158831	0.0264430828764915	0.0251295207420473
"26"	"2_12"	0.0168597333907623	0.0522412125120929	0.0295045334338339
"40"	"3_12"	0.0255278174976662	0.0530546623794212	0.0428867333960792
"25"	"2_11"	0.0825175603934502	0.0486939696871977	0.13329759755865
"30"	"3_2"	0.143036763548424	0.0297427652733119	0.22177345391958
"20"	"2_6"	0.14784896927972	0.073524669461464	0.22177345391958
"35"	"3_7"	0.161567265870965	0.00562700964630225	0.233993971261397
"7"	"1_7"	0.251710811783148	0.00564391995895331	0.341151364460805
"10"	"1_10"	0.251802197578213	0.055926115956901	0.341151364460805
"19"	"2_5"	0.305982586051388	0.0896485004837149	0.401602144192447
"39"	"3_11"	0.332092383779807	0.0401929260450161	0.422251910512108
"29"	"3_1"	0.341822975176468	0.00361736334405145	0.422251910512108
"37"	"3_9"	0.365639436636826	0.10008038585209	0.438767323964191
"11"	"1_11"	0.397933947927489	0.0400205233453053	0.464256272582071
"28"	"2_14"	0.41739091488864	0.0715898097387939	0.473795092576294
"2"	"1_2"	0.438838049442051	0.0230887634684454	0.485031528330688
"1"	"1_1"	0.466775666870245	0.00615700359158543	0.502681487398725
"16"	"2_2"	0.524244260381306	0.0241857465333763	0.550456473400371
"32"	"3_4"	0.845807225721754	0.106913183279743	0.866436670251553
"15"	"2_1"	0.925592989719592	0.00515962592712028	0.925592989719592
