"pair"	"pval"	"prop"	"fdr"
"3"	"1_3"	6.78429588195174e-56	0.202668034889687	2.03528876458552e-54
"13"	"2_3"	3.10164155898077e-24	0.0638503708481135	4.65246233847116e-23
"9"	"1_9"	5.0098166633595e-11	0.284761416110826	5.0098166633595e-10
"7"	"1_7"	4.53089705909998e-10	0.0595177013853258	3.39817279432499e-09
"25"	"3_5"	1.2880854122661e-07	0.0482315112540193	7.72851247359662e-07
"19"	"2_9"	9.50717066030572e-07	0.378265075782006	4.75358533015286e-06
"17"	"2_7"	3.43405791706683e-06	0.114479200257981	1.47173910731435e-05
"28"	"3_8"	6.18594196167459e-06	0.0795819935691318	2.31972823562797e-05
"23"	"3_3"	6.39323254477548e-05	0.0868167202572347	0.000213107751492516
"24"	"3_4"	0.000387313244274606	0.252411575562701	0.00116193973282382
"18"	"2_8"	0.00115046273568277	0.0506288294098678	0.0031376256427712
"5"	"1_5"	0.00467574495844304	0.0225756798358132	0.0116893623961076
"16"	"2_6"	0.0109778379428962	0.00161238310222509	0.0253334721759143
"15"	"2_5"	0.0137614042158831	0.0264430828764915	0.0294887233197494
"4"	"1_4"	0.0181374521023473	0.299640841457158	0.0362749042046945
"20"	"2_10"	0.0825175603934502	0.0486939696871977	0.154720425737719
"22"	"3_2"	0.143036763548424	0.0297427652733119	0.25241781802663
"26"	"3_6"	0.161567265870965	0.00562700964630225	0.269278776451608
"14"	"2_4"	0.206744208674531	0.286681715575621	0.326438224222944
"6"	"1_6"	0.251710811783148	0.00564391995895331	0.359717425111733
"8"	"1_8"	0.251802197578213	0.055926115956901	0.359717425111733
"30"	"3_10"	0.332092383779807	0.0401929260450161	0.427278718970585
"29"	"3_9"	0.335579675013352	0.353697749196141	0.427278718970585
"21"	"3_1"	0.341822975176468	0.00361736334405145	0.427278718970585
"27"	"3_7"	0.365639436636826	0.10008038585209	0.438767323964191
"10"	"1_10"	0.397933947927489	0.0400205233453053	0.459154555300949
"2"	"1_2"	0.438838049442051	0.0230887634684454	0.48759783271339
"1"	"1_1"	0.466775666870245	0.00615700359158543	0.500116785932405
"12"	"2_2"	0.524244260381306	0.0241857465333763	0.542321648670316
"11"	"2_1"	0.925592989719592	0.00515962592712028	0.925592989719592
