"pair"	"pval"	"prop"	"fdr"
"17"	"1_17"	3.19974382280817e-145	0.414729852097797	6.07951326333552e-144
"36"	"2_17"	3.19974382280817e-145	0.660348912341159	6.07951326333552e-144
"14"	"1_14"	8.09992398185375e-69	0.0662541503169333	7.69492778276106e-68
"33"	"2_14"	8.09992398185375e-69	0.000861511953478355	7.69492778276106e-68
"4"	"1_4"	2.29392475062732e-43	0.0421068517959553	1.45281900873064e-42
"23"	"2_4"	2.29392475062732e-43	0.000646133965108766	1.45281900873064e-42
"19"	"1_19"	6.94325686939969e-26	0.0811952912767884	3.29804701296485e-25
"38"	"2_19"	6.94325686939969e-26	0.0327374542321775	3.29804701296485e-25
"8"	"1_8"	2.15076529000437e-08	0.00814971325083006	8.1729081020166e-08
"27"	"2_8"	2.15076529000437e-08	0.000430755976739177	8.1729081020166e-08
"12"	"1_12"	1.98857233220945e-07	0.0235436160579535	6.29714571866327e-07
"31"	"2_12"	1.98857233220945e-07	0.0101227654533707	6.29714571866327e-07
"3"	"1_3"	3.83394535354482e-06	0.0086024750980984	1.04064231024788e-05
"22"	"2_3"	3.83394535354482e-06	0.00172302390695671	1.04064231024788e-05
"15"	"1_15"	4.93320192061053e-06	0.0342589797766375	1.171635456145e-05
"34"	"2_15"	4.93320192061053e-06	0.0195993969416326	1.171635456145e-05
"13"	"1_13"	1.24677885328815e-05	0.013431934802294	2.63208869027499e-05
"32"	"2_13"	1.24677885328815e-05	0.00495369373250054	2.63208869027499e-05
"9"	"1_9"	0.000893166048662446	0.0239963779052219	0.00169701549245865
"28"	"2_9"	0.000893166048662446	0.0148610811975016	0.00169701549245865
"5"	"1_5"	0.00221798500086689	0.0565952309085421	0.00383106500149736
"24"	"2_5"	0.00221798500086689	0.0435063536506569	0.00383106500149736
"2"	"1_2"	0.00594358113297927	0.0440688198007848	0.00892388695240352
"21"	"2_2"	0.00594358113297927	0.0335989661856558	0.00892388695240352
"1"	"1_1"	0.0063295670728987	0.00286749169936613	0.00892388695240352
"20"	"2_1"	0.0063295670728987	0.000430755976739177	0.00892388695240352
"10"	"1_10"	0.00657549564913944	0.0310896468457591	0.00892388695240352
"29"	"2_10"	0.00657549564913944	0.0223993107904372	0.00892388695240352
"7"	"1_7"	0.0478827697537628	0.00633866586175672	0.0606515083547663
"26"	"2_7"	0.0478827697537628	0.00344604781391342	0.0606515083547663
"18"	"1_18"	0.0595112047317112	0.118472683368548	0.0706695556189071
"37"	"2_18"	0.0595112047317112	0.130519060951971	0.0706695556189071
"6"	"1_6"	0.148543207363309	0.00498038031995171	0.166018878817816
"25"	"2_6"	0.148543207363309	0.00301529183717424	0.166018878817816
"11"	"1_11"	0.384762389657039	0.00664050709326894	0.406138077971319
"30"	"2_11"	0.384762389657039	0.00516907172087013	0.406138077971319
"16"	"1_16"	0.68154553284125	0.0126773317235134	0.68154553284125
"35"	"2_16"	0.68154553284125	0.0116304113719578	0.68154553284125
