"Human"	"Mouse"	"value"
"36"	"erythrocyte"	"erythroblast"	0.195372750642674
"4"	"erythrocyte"	"proerythroblast"	0.106936416184971
"5"	"erythroid.progenitor"	"proerythroblast"	0.103750997605746
"102"	"granulocyte"	"immature.B.cell"	0.103040540540541
"64"	"plasma.cell"	"plasma.cell"	0.0971302428256071
"317"	"nampt.neutrophil"	"segmented.neutrophil.of.bone.marrow"	0.0894941634241245
"318"	"neutrophil"	"segmented.neutrophil.of.bone.marrow"	0.0872938894277401
"204"	"naive.b.cell"	"mature.B.cell"	0.084648493543759
"201"	"memory.b.cell"	"mature.B.cell"	0.0822281167108753
"178"	"cd8.positive..alpha.beta.t.cell"	"T.cell"	0.0818815331010453
"216"	"macrophage"	"monocyte"	0.0655737704918033
"101"	"erythroid.progenitor"	"immature.B.cell"	0.0643166357452072
"191"	"nk.cell"	"T.cell"	0.064299424184261
"85"	"erythroid.progenitor"	"precursor.B.cell"	0.0631578947368421
"291"	"cd24.neutrophil"	"band.form.neutrophil"	0.0626702997275204
"177"	"cd4.positive..alpha.beta.t.cell"	"T.cell"	0.0608899297423888
"218"	"monocyte"	"monocyte"	0.0558882235528942
"307"	"cd24.neutrophil"	"segmented.neutrophil.of.bone.marrow"	0.0537056928034372
"6"	"granulocyte"	"proerythroblast"	0.0521739130434783
"20"	"erythrocyte"	"reticulocyte"	0.0511463844797178
"91"	"myeloid.progenitor"	"precursor.B.cell"	0.0508670520231214
"155"	"myeloid.progenitor"	"hematopoietic.stem.cell"	0.0444938820912125
"221"	"nampt.neutrophil"	"monocyte"	0.0444856348470806
"79"	"nk.cell"	"early.pro.B.cell"	0.0417381360777587
"264"	"macrophage"	"neutrophilic.myeloblast"	0.0409556313993174
"151"	"hematopoietic.stem.cell"	"hematopoietic.stem.cell"	0.0409276944065484
"107"	"myeloid.progenitor"	"immature.B.cell"	0.0358056265984655
"302"	"neutrophil"	"band.form.neutrophil"	0.0348706411698538
"125"	"nampt.neutrophil"	"basophil"	0.0333041191936897
"262"	"granulocyte"	"neutrophilic.myeloblast"	0.0328185328185328
"163"	"cd24.neutrophil"	"macrophage"	0.032579185520362
"172"	"naive.b.cell"	"macrophage"	0.0321951219512195
"76"	"naive.b.cell"	"early.pro.B.cell"	0.0321500334896182
"111"	"nk.cell"	"immature.B.cell"	0.0317551963048499
"275"	"cd24.neutrophil"	"neutrophilic.metamyelocyte"	0.031700288184438
"126"	"neutrophil"	"basophil"	0.0314685314685315
"11"	"myeloid.progenitor"	"proerythroblast"	0.029718875502008
"168"	"macrophage"	"macrophage"	0.0286659316427784
"175"	"nk.cell"	"macrophage"	0.026840490797546
"63"	"nk.cell"	"plasma.cell"	0.0266753415744958
"134"	"granulocyte"	"myelocyte"	0.0266666666666667
"78"	"neutrophil"	"early.pro.B.cell"	0.0255813953488372
"222"	"neutrophil"	"monocyte"	0.0254545454545455
"77"	"nampt.neutrophil"	"early.pro.B.cell"	0.025
"37"	"erythroid.progenitor"	"erythroblast"	0.0246478873239437
"61"	"nampt.neutrophil"	"plasma.cell"	0.0242751180040459
"173"	"nampt.neutrophil"	"macrophage"	0.024
"127"	"nk.cell"	"basophil"	0.0239867659222498
"174"	"neutrophil"	"macrophage"	0.0239808153477218
"66"	"cd8.positive..alpha.beta.t.cell"	"early.pro.B.cell"	0.0237912509593246
"266"	"monocyte"	"neutrophilic.myeloblast"	0.0227920227920228
"56"	"macrophage"	"plasma.cell"	0.0226876090750436
"45"	"nampt.neutrophil"	"erythroblast"	0.0218150087260035
"234"	"monocyte"	"conventional.dendritic.cell"	0.0217391304347826
"115"	"cd24.neutrophil"	"basophil"	0.0216110019646365
"149"	"erythroid.progenitor"	"hematopoietic.stem.cell"	0.0216110019646365
"167"	"hematopoietic.stem.cell"	"macrophage"	0.0215384615384615
"67"	"cd24.neutrophil"	"early.pro.B.cell"	0.0213836477987421
"301"	"nampt.neutrophil"	"band.form.neutrophil"	0.0211111111111111
"123"	"myeloid.progenitor"	"basophil"	0.0209723546234509
"110"	"neutrophil"	"immature.B.cell"	0.0206611570247934
"60"	"naive.b.cell"	"plasma.cell"	0.020456333595594
"75"	"myeloid.progenitor"	"early.pro.B.cell"	0.0203452527743527
"59"	"myeloid.progenitor"	"plasma.cell"	0.0202458423716558
"68"	"erythrocyte"	"early.pro.B.cell"	0.0201072386058981
"35"	"cd24.neutrophil"	"erythroblast"	0.0197628458498024
"15"	"nk.cell"	"proerythroblast"	0.0197044334975369
"108"	"naive.b.cell"	"immature.B.cell"	0.019634394041977
"119"	"hematopoietic.stem.cell"	"basophil"	0.0193621867881549
"133"	"erythroid.progenitor"	"myelocyte"	0.0192307692307692
"298"	"monocyte"	"band.form.neutrophil"	0.019047619047619
"62"	"neutrophil"	"plasma.cell"	0.0187667560321716
"69"	"erythroid.progenitor"	"early.pro.B.cell"	0.0185614849187935
"100"	"erythrocyte"	"immature.B.cell"	0.0184931506849315
"65"	"cd4.positive..alpha.beta.t.cell"	"early.pro.B.cell"	0.0183406113537118
"223"	"nk.cell"	"monocyte"	0.0180257510729614
"72"	"macrophage"	"early.pro.B.cell"	0.0179726815240834
"50"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.0177404295051354
"314"	"monocyte"	"segmented.neutrophil.of.bone.marrow"	0.0175438596491228
"71"	"hematopoietic.stem.cell"	"early.pro.B.cell"	0.0171939477303989
"169"	"memory.b.cell"	"macrophage"	0.0171919770773639
"312"	"macrophage"	"segmented.neutrophil.of.bone.marrow"	0.0171052631578947
"86"	"granulocyte"	"precursor.B.cell"	0.0170940170940171
"51"	"cd24.neutrophil"	"plasma.cell"	0.0169491525423729
"135"	"hematopoietic.stem.cell"	"myelocyte"	0.0165165165165165
"232"	"macrophage"	"conventional.dendritic.cell"	0.0162074554294976
"53"	"erythroid.progenitor"	"plasma.cell"	0.0161290322580645
"131"	"cd24.neutrophil"	"myelocyte"	0.0160692212608158
"46"	"neutrophil"	"erythroblast"	0.0155979202772964
"171"	"myeloid.progenitor"	"macrophage"	0.0155979202772964
"3"	"cd24.neutrophil"	"proerythroblast"	0.0154220779220779
"99"	"cd24.neutrophil"	"immature.B.cell"	0.0153354632587859
"73"	"memory.b.cell"	"early.pro.B.cell"	0.0153191489361702
"109"	"nampt.neutrophil"	"immature.B.cell"	0.0152761457109283
"47"	"nk.cell"	"erythroblast"	0.0148514851485149
"236"	"naive.b.cell"	"conventional.dendritic.cell"	0.0148448043184885
"120"	"macrophage"	"basophil"	0.0146341463414634
"205"	"nampt.neutrophil"	"mature.B.cell"	0.0145228215767635
"52"	"erythrocyte"	"plasma.cell"	0.0142857142857143
"105"	"memory.b.cell"	"immature.B.cell"	0.0140105078809107
"55"	"hematopoietic.stem.cell"	"plasma.cell"	0.0139573070607553
"259"	"cd24.neutrophil"	"neutrophilic.myeloblast"	0.0136307311028501
"220"	"naive.b.cell"	"monocyte"	0.013437849944009
"170"	"monocyte"	"macrophage"	0.0133729569093611
"250"	"monocyte"	"promyelocyte"	0.0131578947368421
"162"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0130952380952381
"194"	"cd8.positive..alpha.beta.t.cell"	"mature.B.cell"	0.0129151291512915
"239"	"nk.cell"	"conventional.dendritic.cell"	0.0127450980392157
"164"	"erythrocyte"	"macrophage"	0.0126705653021442
"248"	"macrophage"	"promyelocyte"	0.0126050420168067
"233"	"memory.b.cell"	"conventional.dendritic.cell"	0.012531328320802
"211"	"cd24.neutrophil"	"monocyte"	0.0122950819672131
"122"	"monocyte"	"basophil"	0.0121951219512195
"114"	"cd8.positive..alpha.beta.t.cell"	"basophil"	0.0121457489878543
"227"	"cd24.neutrophil"	"conventional.dendritic.cell"	0.0121212121212121
"159"	"nk.cell"	"hematopoietic.stem.cell"	0.0118938700823422
"231"	"hematopoietic.stem.cell"	"conventional.dendritic.cell"	0.0117302052785924
"14"	"neutrophil"	"proerythroblast"	0.0116363636363636
"124"	"naive.b.cell"	"basophil"	0.0116279069767442
"189"	"nampt.neutrophil"	"T.cell"	0.0115606936416185
"209"	"cd4.positive..alpha.beta.t.cell"	"monocyte"	0.0114503816793893
"237"	"nampt.neutrophil"	"conventional.dendritic.cell"	0.0114226375908619
"238"	"neutrophil"	"conventional.dendritic.cell"	0.0114107883817427
"148"	"erythrocyte"	"hematopoietic.stem.cell"	0.0112923462986198
"95"	"nk.cell"	"precursor.B.cell"	0.0112781954887218
"12"	"naive.b.cell"	"proerythroblast"	0.0112554112554113
"226"	"cd8.positive..alpha.beta.t.cell"	"conventional.dendritic.cell"	0.0111317254174397
"13"	"nampt.neutrophil"	"proerythroblast"	0.0109090909090909
"217"	"memory.b.cell"	"monocyte"	0.0108892921960073
"195"	"cd24.neutrophil"	"mature.B.cell"	0.0108433734939759
"187"	"myeloid.progenitor"	"T.cell"	0.0107296137339056
"207"	"nk.cell"	"mature.B.cell"	0.0107212475633528
"261"	"erythroid.progenitor"	"neutrophilic.myeloblast"	0.0106382978723404
"286"	"neutrophil"	"neutrophilic.metamyelocyte"	0.0106257378984652
"113"	"cd4.positive..alpha.beta.t.cell"	"basophil"	0.0104166666666667
"74"	"monocyte"	"early.pro.B.cell"	0.01040763226366
"206"	"neutrophil"	"mature.B.cell"	0.0103199174406605
"316"	"naive.b.cell"	"segmented.neutrophil.of.bone.marrow"	0.0101237345331834
"98"	"cd8.positive..alpha.beta.t.cell"	"immature.B.cell"	0.0101088646967341
"136"	"macrophage"	"myelocyte"	0.00986842105263158
"8"	"macrophage"	"proerythroblast"	0.00968054211035818
"165"	"erythroid.progenitor"	"macrophage"	0.00951625693893735
"267"	"myeloid.progenitor"	"neutrophilic.myeloblast"	0.00951248513674197
"270"	"neutrophil"	"neutrophilic.myeloblast"	0.00948366701791359
"117"	"erythroid.progenitor"	"basophil"	0.00947459086993971
"2"	"cd8.positive..alpha.beta.t.cell"	"proerythroblast"	0.00945378151260504
"285"	"nampt.neutrophil"	"neutrophilic.metamyelocyte"	0.00944510035419126
"230"	"granulocyte"	"conventional.dendritic.cell"	0.00914076782449726
"143"	"nk.cell"	"myelocyte"	0.00890207715133531
"161"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00886262924667651
"49"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.0087527352297593
"210"	"cd8.positive..alpha.beta.t.cell"	"monocyte"	0.00867052023121387
"152"	"macrophage"	"hematopoietic.stem.cell"	0.00864553314121038
"43"	"myeloid.progenitor"	"erythroblast"	0.00853889943074004
"188"	"naive.b.cell"	"T.cell"	0.00852618757612668
"57"	"memory.b.cell"	"plasma.cell"	0.00850159404888417
"269"	"nampt.neutrophil"	"neutrophilic.myeloblast"	0.00842992623814542
"185"	"memory.b.cell"	"T.cell"	0.00840336134453781
"142"	"neutrophil"	"myelocyte"	0.00838574423480084
"103"	"hematopoietic.stem.cell"	"immature.B.cell"	0.00837988826815642
"215"	"hematopoietic.stem.cell"	"monocyte"	0.00837320574162679
"54"	"granulocyte"	"plasma.cell"	0.00827205882352941
"166"	"granulocyte"	"macrophage"	0.0082256169212691
"97"	"cd4.positive..alpha.beta.t.cell"	"immature.B.cell"	0.00802139037433155
"225"	"cd4.positive..alpha.beta.t.cell"	"conventional.dendritic.cell"	0.00802139037433155
"176"	"plasma.cell"	"macrophage"	0.00801068090787717
"118"	"granulocyte"	"basophil"	0.00798934753661784
"282"	"monocyte"	"neutrophilic.metamyelocyte"	0.00784313725490196
"157"	"nampt.neutrophil"	"hematopoietic.stem.cell"	0.00769971126082772
"158"	"neutrophil"	"hematopoietic.stem.cell"	0.00769230769230769
"58"	"monocyte"	"plasma.cell"	0.00765864332603939
"258"	"cd8.positive..alpha.beta.t.cell"	"neutrophilic.myeloblast"	0.00763358778625954
"263"	"hematopoietic.stem.cell"	"neutrophilic.myeloblast"	0.00748502994011976
"9"	"memory.b.cell"	"proerythroblast"	0.00737100737100737
"141"	"nampt.neutrophil"	"myelocyte"	0.00733752620545073
"104"	"macrophage"	"immature.B.cell"	0.00729394602479942
"184"	"macrophage"	"T.cell"	0.00716332378223496
"214"	"granulocyte"	"monocyte"	0.00714285714285714
"296"	"macrophage"	"band.form.neutrophil"	0.00704225352112676
"272"	"plasma.cell"	"neutrophilic.myeloblast"	0.00699300699300699
"235"	"myeloid.progenitor"	"conventional.dendritic.cell"	0.00697674418604651
"271"	"nk.cell"	"neutrophilic.myeloblast"	0.00693756194251734
"319"	"nk.cell"	"segmented.neutrophil.of.bone.marrow"	0.00683176771989752
"186"	"monocyte"	"T.cell"	0.0066815144766147
"208"	"plasma.cell"	"mature.B.cell"	0.00666666666666667
"256"	"plasma.cell"	"promyelocyte"	0.00662251655629139
"121"	"memory.b.cell"	"basophil"	0.00661157024793388
"24"	"macrophage"	"reticulocyte"	0.00616016427104723
"128"	"plasma.cell"	"basophil"	0.00615384615384615
"40"	"macrophage"	"erythroblast"	0.00610500610500611
"139"	"myeloid.progenitor"	"myelocyte"	0.00589622641509434
"243"	"cd24.neutrophil"	"promyelocyte"	0.00583090379008746
"192"	"plasma.cell"	"T.cell"	0.00574712643678161
"190"	"neutrophil"	"T.cell"	0.00574162679425837
"212"	"erythrocyte"	"monocyte"	0.00567536889897843
"130"	"cd8.positive..alpha.beta.t.cell"	"myelocyte"	0.0056710775047259
"39"	"hematopoietic.stem.cell"	"erythroblast"	0.00566893424036281
"138"	"monocyte"	"myelocyte"	0.00554016620498615
"179"	"cd24.neutrophil"	"T.cell"	0.00551876379690949
"7"	"hematopoietic.stem.cell"	"proerythroblast"	0.00545454545454545
"34"	"cd8.positive..alpha.beta.t.cell"	"erythroblast"	0.00542005420054201
"213"	"erythroid.progenitor"	"monocyte"	0.00538599640933573
"38"	"granulocyte"	"erythroblast"	0.00536912751677852
"116"	"erythrocyte"	"basophil"	0.00535905680600214
"44"	"naive.b.cell"	"erythroblast"	0.00529661016949153
"202"	"monocyte"	"mature.B.cell"	0.00529100529100529
"279"	"hematopoietic.stem.cell"	"neutrophilic.metamyelocyte"	0.00528169014084507
"193"	"cd4.positive..alpha.beta.t.cell"	"mature.B.cell"	0.00527704485488127
"183"	"hematopoietic.stem.cell"	"T.cell"	0.005249343832021
"229"	"erythroid.progenitor"	"conventional.dendritic.cell"	0.0051975051975052
"1"	"cd4.positive..alpha.beta.t.cell"	"proerythroblast"	0.00506970849176172
"92"	"naive.b.cell"	"precursor.B.cell"	0.00505689001264223
"224"	"plasma.cell"	"monocyte"	0.00500834724540901
"299"	"myeloid.progenitor"	"band.form.neutrophil"	0.00495662949194548
"93"	"nampt.neutrophil"	"precursor.B.cell"	0.00494071146245059
"246"	"granulocyte"	"promyelocyte"	0.00493827160493827
"219"	"myeloid.progenitor"	"monocyte"	0.00493096646942801
"156"	"naive.b.cell"	"hematopoietic.stem.cell"	0.0048721071863581
"278"	"granulocyte"	"neutrophilic.metamyelocyte"	0.00464037122969838
"144"	"plasma.cell"	"myelocyte"	0.00460829493087558
"240"	"plasma.cell"	"conventional.dendritic.cell"	0.00447427293064877
"145"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00446428571428571
"153"	"memory.b.cell"	"hematopoietic.stem.cell"	0.00421052631578947
"140"	"naive.b.cell"	"myelocyte"	0.00407608695652174
"80"	"plasma.cell"	"early.pro.B.cell"	0.0040551500405515
"294"	"granulocyte"	"band.form.neutrophil"	0.00404040404040404
