"Human"	"Mouse"	"value"
"19"	"lung.ciliated.cell"	"ciliated.epithelial.cell"	0.177681473456121
"497"	"adventitial.cell"	"fibroblast.1"	0.155963302752294
"124"	"capillary.aerocyte"	"capillary.endothelial.cell"	0.116005873715125
"74"	"type.ii.pneumocyte"	"pulmonary.ionocyte..type.II.pneumocyte"	0.11336032388664
"498"	"alveolar.fibroblast"	"fibroblast.1"	0.11304347826087
"195"	"b.cell"	"B.cell"	0.110625909752547
"381"	"cd8.positive..alpha.beta.t.cell"	"lymphocyte"	0.106837606837607
"460"	"alveolar.fibroblast"	"fibroblast"	0.101078167115903
"252"	"neutrophil"	"neutrophil"	0.0965277777777778
"125"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.0949598246895544
"91"	"endothelial.cell.of.artery"	"pulmonary.artery.endothelial.cell"	0.0898617511520737
"179"	"pericyte.cell"	"pericyte.cell"	0.0886004514672686
"114"	"vein.endothelial.cell"	"pulmonary.artery.endothelial.cell"	0.0878048780487805
"87"	"capillary.endothelial.cell"	"pulmonary.artery.endothelial.cell"	0.0767676767676768
"287"	"macrophage"	"alveolar.macrophage"	0.0757575757575758
"382"	"cd4.positive..alpha.beta.t.cell"	"lymphocyte"	0.0730434782608696
"30"	"pulmonary.ionocyte"	"ciliated.epithelial.cell"	0.0681481481481482
"189"	"vascular.associated.smooth.muscle.cell"	"pericyte.cell"	0.0646735814521049
"405"	"nk.cell"	"lymphocyte"	0.0632289748311848
"73"	"type.i.pneumocyte"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0615627466456196
"35"	"type.i.pneumocyte"	"ciliated.epithelial.cell"	0.0609809986743261
"292"	"non.classical.monocyte"	"alveolar.macrophage"	0.0603644646924829
"192"	"cd4.positive..alpha.beta.t.cell"	"B.cell"	0.0600292825768668
"318"	"dendritic.cell"	"classical.monocyte"	0.0597345132743363
"86"	"capillary.aerocyte"	"pulmonary.artery.endothelial.cell"	0.0594541910331384
"129"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.0583269378357636
"330"	"non.classical.monocyte"	"classical.monocyte"	0.0578158458244111
"51"	"club.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0547112462006079
"368"	"non.classical.monocyte"	"non.classical.monocyte"	0.0540540540540541
"325"	"macrophage"	"classical.monocyte"	0.052930056710775
"240"	"classical.monocyte"	"neutrophil"	0.0519645120405577
"290"	"neutrophil"	"alveolar.macrophage"	0.0514705882352941
"426"	"bronchial.smooth.muscle.cell"	"myofibroblast.cell"	0.0509013785790032
"455"	"vascular.associated.smooth.muscle.cell"	"myofibroblast.cell"	0.050098231827112
"284"	"intermediate.monocyte"	"alveolar.macrophage"	0.0497354497354497
"354"	"classical.monocyte"	"non.classical.monocyte"	0.0489864864864865
"186"	"smooth.muscle.cell"	"pericyte.cell"	0.0484286450283359
"169"	"fibroblast"	"pericyte.cell"	0.0476795931341386
"130"	"endothelial.cell.of.lymphatic.vessel"	"capillary.endothelial.cell"	0.0470064324591786
"360"	"intermediate.monocyte"	"non.classical.monocyte"	0.0470016207455429
"459"	"adventitial.cell"	"fibroblast"	0.0469361147327249
"278"	"classical.monocyte"	"alveolar.macrophage"	0.0465367965367965
"168"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.0447828034034931
"160"	"bronchial.smooth.muscle.cell"	"pericyte.cell"	0.0444862155388471
"356"	"dendritic.cell"	"non.classical.monocyte"	0.043956043956044
"316"	"classical.monocyte"	"classical.monocyte"	0.0433070866141732
"96"	"lung.microvascular.endothelial.cell"	"pulmonary.artery.endothelial.cell"	0.0432692307692308
"422"	"alveolar.fibroblast"	"myofibroblast.cell"	0.0403225806451613
"85"	"bronchial.vessel.endothelial.cell"	"pulmonary.artery.endothelial.cell"	0.0389863547758285
"175"	"myofibroblast.cell"	"pericyte.cell"	0.0384204909284952
"366"	"neutrophil"	"non.classical.monocyte"	0.0378787878787879
"182"	"pulmonary.ionocyte"	"pericyte.cell"	0.0376256892637042
"177"	"nk.cell"	"pericyte.cell"	0.037344398340249
"34"	"smooth.muscle.cell"	"ciliated.epithelial.cell"	0.0369583687340697
"149"	"type.i.pneumocyte"	"capillary.endothelial.cell"	0.036734693877551
"421"	"adventitial.cell"	"myofibroblast.cell"	0.0361305361305361
"493"	"vascular.associated.smooth.muscle.cell"	"fibroblast"	0.035827186512118
"516"	"mesothelial.cell"	"fibroblast.1"	0.0343980343980344
"23"	"myofibroblast.cell"	"ciliated.epithelial.cell"	0.0342146189735614
"219"	"plasmacytoid.dendritic.cell"	"B.cell"	0.0340909090909091
"123"	"bronchial.vessel.endothelial.cell"	"capillary.endothelial.cell"	0.0337931034482759
"152"	"vein.endothelial.cell"	"capillary.endothelial.cell"	0.0337711069418387
"143"	"plasmacytoid.dendritic.cell"	"capillary.endothelial.cell"	0.0333479596314173
"29"	"plasmacytoid.dendritic.cell"	"ciliated.epithelial.cell"	0.0329517863336802
"181"	"plasmacytoid.dendritic.cell"	"pericyte.cell"	0.0329317269076305
"71"	"serous.cell.of.epithelium.of.bronchus"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0327455919395466
"246"	"intermediate.monocyte"	"neutrophil"	0.0326086956521739
"17"	"fibroblast"	"ciliated.epithelial.cell"	0.0317725752508361
"483"	"pericyte.cell"	"fibroblast"	0.0309187279151943
"295"	"plasmacytoid.dendritic.cell"	"alveolar.macrophage"	0.0303772660460559
"249"	"macrophage"	"neutrophil"	0.0300480769230769
"254"	"non.classical.monocyte"	"neutrophil"	0.0298313878080415
"162"	"capillary.aerocyte"	"pericyte.cell"	0.02963841138115
"464"	"bronchial.smooth.muscle.cell"	"fibroblast"	0.0295790671217292
"69"	"respiratory.goblet.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0295566502463054
"148"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.029445073612684
"242"	"dendritic.cell"	"neutrophil"	0.0290620871862616
"273"	"basophil"	"alveolar.macrophage"	0.0290322580645161
"6"	"basal.cell"	"ciliated.epithelial.cell"	0.0286697247706422
"229"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0284775465498357
"131"	"fibroblast"	"capillary.endothelial.cell"	0.0283901135604542
"144"	"pulmonary.ionocyte"	"capillary.endothelial.cell"	0.0282758620689655
"176"	"neutrophil"	"pericyte.cell"	0.0282352941176471
"531"	"vascular.associated.smooth.muscle.cell"	"fibroblast.1"	0.0280735721200387
"70"	"respiratory.mucous.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0280146163215591
"139"	"nk.cell"	"capillary.endothelial.cell"	0.0274527452745275
