"Human"	"Mouse"	"value"
"8"	"fast.muscle.cell"	"striated.muscle.cell"	0.287471176018447
"16"	"slow.muscle.cell"	"striated.muscle.cell"	0.274214659685864
"28"	"macrophage"	"macrophage"	0.168624161073825
"266"	"tendon.cell"	"tendon.cell"	0.146258503401361
"242"	"pericyte.cell"	"pericyte.cell"	0.127131782945736
"191"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.122663551401869
"158"	"endothelial.cell.of.vascular.tree"	"vein.endothelial.cell..endothelial.stalk.cell"	0.114074074074074
"91"	"skeletal.muscle.satellite.stem.cell"	"skeletal.muscle.satellite.cell"	0.107266435986159
"245"	"smooth.muscle.cell"	"pericyte.cell"	0.10221793635487
"175"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.0946745562130177
"138"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.0924464487034949
"210"	"capillary.endothelial.cell"	"blood.vessel.endothelial.cell"	0.0904458598726115
"316"	"mesenchymal.stem.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0889261744966443
"297"	"mesenchymal.stem.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.0798226164079823
"172"	"capillary.endothelial.cell"	"endothelial.cell.of.artery"	0.0723926380368098
"278"	"mesenchymal.stem.cell"	"stromal.cell"	0.0704787234042553
"68"	"mature.nk.t.cell"	"T.helper.17.cell"	0.0687022900763359
"75"	"t.cell"	"T.helper.17.cell"	0.0675345809601302
"47"	"macrophage"	"monocyte.derived.dendritic.cell"	0.059806508355321
"194"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.0596858638743456
"156"	"endothelial.cell.of.artery"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0573033707865169
"132"	"t.cell"	"B.cell"	0.0532544378698225
"98"	"cd8.positive..alpha.beta.t.cell"	"CD8.positive..alpha.beta.T.cell"	0.052064631956912
"97"	"cd4.positive..alpha.beta.t.cell"	"CD8.positive..alpha.beta.T.cell"	0.0512820512820513
"323"	"tendon.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0502354788069074
"113"	"t.cell"	"CD8.positive..alpha.beta.T.cell"	0.0490566037735849
"153"	"capillary.endothelial.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0482921083627797
"285"	"tendon.cell"	"stromal.cell"	0.0469543147208122
"106"	"mature.nk.t.cell"	"CD8.positive..alpha.beta.T.cell"	0.0461270670147955
"259"	"mesenchymal.stem.cell"	"tendon.cell"	0.0430622009569378
"215"	"endothelial.cell.of.vascular.tree"	"blood.vessel.endothelial.cell"	0.0390738060781476
"339"	"slow.muscle.cell"	"myelinating.Schwann.cell"	0.0389837932544897
"304"	"tendon.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.0389344262295082
"60"	"cd8.positive..alpha.beta.t.cell"	"T.helper.17.cell"	0.0380487804878049
"67"	"mast.cell"	"T.helper.17.cell"	0.0377224199288256
"334"	"mature.nk.t.cell"	"myelinating.Schwann.cell"	0.0372290292177191
"358"	"slow.muscle.cell"	"smooth.muscle.cell"	0.0371501272264631
"340"	"smooth.muscle.cell"	"myelinating.Schwann.cell"	0.0363924050632911
