"Human"	"Mouse"	"value"
"100"	"cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.210280373831776
"92"	"plasma.cell"	"T1.B.cell"	0.123456790123457
"105"	"hematopoietic.stem.cell"	"mesenchymal.stem.cell"	0.102617079889807
"255"	"naive.b.cell"	"marginal.zone.B.cell.of.spleen"	0.0972972972972973
"254"	"memory.b.cell"	"marginal.zone.B.cell.of.spleen"	0.0948275862068965
"42"	"neutrophil"	"macrophage"	0.0822281167108753
"93"	"plasmacytoid.dendritic.cell"	"T1.B.cell"	0.0777502067824648
"30"	"classical.monocyte"	"macrophage"	0.0674418604651163
"7"	"endothelial.cell"	"epithelial.cell"	0.0620666886761307
"35"	"intermediate.monocyte"	"macrophage"	0.0564149226569609
"60"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0534716679968077
"287"	"regulatory.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.0534124629080119
"36"	"macrophage"	"macrophage"	0.0529801324503311
"18"	"neutrophil"	"epithelial.cell"	0.0520887055183084
"22"	"platelet"	"epithelial.cell"	0.0519369944657301
"204"	"macrophage"	"follicular.B.cell"	0.0515337423312883
"117"	"plasmacytoid.dendritic.cell"	"mesenchymal.stem.cell"	0.0491174213353799
"149"	"cd141.positive.myeloid.dendritic.cell"	"conventional.dendritic.cell"	0.0478260869565217
"352"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.0462962962962963
"187"	"nk.cell"	"natural.killer.cell"	0.0406015037593985
"125"	"cd141.positive.myeloid.dendritic.cell"	"monocyte"	0.0387096774193548
"97"	"cd1c.positive.myeloid.dendritic.cell"	"mesenchymal.stem.cell"	0.0359223300970874
"315"	"cd8.positive..alpha.beta.memory.t.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.0357142857142857
"46"	"platelet"	"macrophage"	0.0356425702811245
"70"	"platelet"	"plasmacytoid.dendritic.cell"	0.0353114271701815
"9"	"hematopoietic.stem.cell"	"epithelial.cell"	0.0333333333333333
"55"	"endothelial.cell"	"plasmacytoid.dendritic.cell"	0.0317804261466233
"145"	"cd1c.positive.myeloid.dendritic.cell"	"conventional.dendritic.cell"	0.0311890838206628
"79"	"endothelial.cell"	"T1.B.cell"	0.0291607396870555
"156"	"macrophage"	"conventional.dendritic.cell"	0.0291375291375291
"226"	"innate.lymphoid.cell"	"mature.NK.T.cell"	0.0282208588957055
