"Human"	"Mouse"	"value"
"7"	"immune.cell"	"Langerhans.cell"	0.157268170426065
"44"	"keratinocyte"	"keratinocyte.1"	0.0803059273422562
"20"	"keratinocyte"	"keratinocyte"	0.0553977272727273
"29"	"epithelial.cell"	"mesenchymal.stem.cell"	0.0549313358302122
"70"	"schwann.cell"	"basal.cell.1"	0.0408710217755444
"3"	"endothelial.cell.of.artery"	"Langerhans.cell"	0.0359085963003264
"63"	"endothelial.cell.of.artery"	"basal.cell.1"	0.0337756332931242
"4"	"endothelial.cell.of.lymphatic.vessel"	"Langerhans.cell"	0.03125
"64"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell.1"	0.028236914600551
"10"	"schwann.cell"	"Langerhans.cell"	0.0267829336655248
"25"	"basal.cell"	"mesenchymal.stem.cell"	0.0264105642256903
"9"	"pericyte.cell"	"Langerhans.cell"	0.0244530244530245
"34"	"schwann.cell"	"mesenchymal.stem.cell"	0.023400365630713
"31"	"immune.cell"	"mesenchymal.stem.cell"	0.0204236006051437
"27"	"endothelial.cell.of.artery"	"mesenchymal.stem.cell"	0.0203193033381713
"37"	"basal.cell"	"keratinocyte.1"	0.0198019801980198
"22"	"schwann.cell"	"keratinocyte"	0.0197215777262181
"54"	"fibroblast"	"basal.cell"	0.0186757215619694
"61"	"basal.cell"	"basal.cell.1"	0.0183887915936953
"69"	"pericyte.cell"	"basal.cell.1"	0.0181554103122731
"67"	"immune.cell"	"basal.cell.1"	0.0171884591774095
"21"	"pericyte.cell"	"keratinocyte"	0.0163576881134133
"62"	"capillary.endothelial.cell"	"basal.cell.1"	0.0161550888529887
"2"	"capillary.endothelial.cell"	"Langerhans.cell"	0.0154277699859748
"71"	"tongue.muscle.cell"	"basal.cell.1"	0.0152
"66"	"fibroblast"	"basal.cell.1"	0.0151515151515152
"12"	"vein.endothelial.cell"	"Langerhans.cell"	0.015025041736227
"13"	"basal.cell"	"keratinocyte"	0.0146412884333821
"14"	"capillary.endothelial.cell"	"keratinocyte"	0.0141570141570142
"15"	"endothelial.cell.of.artery"	"keratinocyte"	0.0138549307253464
"68"	"keratinocyte"	"basal.cell.1"	0.0125208681135225
"6"	"fibroblast"	"Langerhans.cell"	0.0124567474048443
"35"	"tongue.muscle.cell"	"mesenchymal.stem.cell"	0.0115789473684211
"52"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.0110974106041924
"28"	"endothelial.cell.of.lymphatic.vessel"	"mesenchymal.stem.cell"	0.0110921501706485
"16"	"endothelial.cell.of.lymphatic.vessel"	"keratinocyte"	0.0108695652173913
"58"	"schwann.cell"	"basal.cell"	0.0103777501037775
"85"	"basal.cell"	"keratinocyte.2"	0.0101522842639594
"1"	"basal.cell"	"Langerhans.cell"	0.00970149253731343
"51"	"endothelial.cell.of.artery"	"basal.cell"	0.00969932104752667
"26"	"capillary.endothelial.cell"	"mesenchymal.stem.cell"	0.00956429330499469
"112"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell.4"	0.00924702774108322
"117"	"pericyte.cell"	"basal.cell.4"	0.00899550224887556
"17"	"epithelial.cell"	"keratinocyte"	0.00886262924667651
"19"	"immune.cell"	"keratinocyte"	0.00849617672047579
"57"	"pericyte.cell"	"basal.cell"	0.00829875518672199
"11"	"tongue.muscle.cell"	"Langerhans.cell"	0.0082930200414651
"49"	"basal.cell"	"basal.cell"	0.00823045267489712
