"Human"	"Mouse"	"value"
"370"	"fibroblast"	"fibroblast.2"	0.175038051750381
"239"	"smooth.muscle.cell"	"myofibroblast.cell"	0.148026315789474
"6"	"ciliated.cell"	"ciliated.epithelial.cell"	0.141047586442999
"269"	"endothelial.cell"	"capillary.endothelial.cell"	0.123417721518987
"367"	"connective.tissue.cell"	"fibroblast.2"	0.122586062132662
"249"	"endothelial.cell"	"endothelial.cell.of.artery"	0.115441176470588
"52"	"macrophage"	"macrophage"	0.109529025191676
"32"	"macrophage"	"fibroblast"	0.108998732572877
"350"	"fibroblast"	"fibroblast.1"	0.0978593272171254
"347"	"connective.tissue.cell"	"fibroblast.1"	0.0919148936170213
"289"	"endothelial.cell"	"vein.endothelial.cell"	0.0837043633125557
"101"	"goblet.cell"	"glandular.epithelial.cell"	0.0802603036876356
"165"	"cd8.positive..alpha.beta.t.cell"	"T.cell"	0.0777777777777778
"83"	"basal.cell"	"club.cell"	0.0775462962962963
"55"	"neutrophil"	"macrophage"	0.068696330991413
"11"	"ionocyte"	"ciliated.epithelial.cell"	0.0657769304099142
"309"	"endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0656603773584906
"97"	"secretory.cell"	"club.cell"	0.065439672801636
"330"	"fibroblast"	"chondrocyte"	0.0625
"35"	"neutrophil"	"fibroblast"	0.0602928509905254
"71"	"ionocyte"	"thyroid.follicular.cell"	0.0559105431309904
"151"	"ionocyte"	"myelinating.Schwann.cell"	0.051516258677384
"162"	"b.cell"	"T.cell"	0.0481770833333333
"327"	"connective.tissue.cell"	"chondrocyte"	0.0480693459416864
"202"	"b.cell"	"dendritic.cell.1"	0.0462046204620462
"127"	"connective.tissue.cell"	"non.myelinating.Schwann.cell"	0.0451686678101772
"8"	"double.positive..alpha.beta.thymocyte"	"ciliated.epithelial.cell"	0.0410461314929168
"61"	"goblet.cell"	"thyroid.follicular.cell"	0.0407149950347567
"164"	"cd4.positive..alpha.beta.t.cell"	"T.cell"	0.0398818316100443
"212"	"macrophage"	"dendritic.cell.1"	0.0384615384615385
"148"	"double.positive..alpha.beta.thymocyte"	"myelinating.Schwann.cell"	0.0350801212646167
"131"	"ionocyte"	"non.myelinating.Schwann.cell"	0.0348089292470677
"168"	"double.positive..alpha.beta.thymocyte"	"T.cell"	0.0347826086956522
"139"	"smooth.muscle.cell"	"non.myelinating.Schwann.cell"	0.0339233038348083
"1"	"goblet.cell"	"ciliated.epithelial.cell"	0.0329024676850764
"255"	"neutrophil"	"endothelial.cell.of.artery"	0.0326842837273992
"192"	"macrophage"	"dendritic.cell"	0.0326530612244898
"339"	"smooth.muscle.cell"	"chondrocyte"	0.0319634703196347
"94"	"mucus.secreting.cell"	"club.cell"	0.031767955801105
"173"	"mast.cell"	"T.cell"	0.0316973415132924
"175"	"neutrophil"	"T.cell"	0.0311341734618236
"81"	"goblet.cell"	"club.cell"	0.0311173974540311
"135"	"neutrophil"	"non.myelinating.Schwann.cell"	0.0303030303030303
"53"	"mast.cell"	"macrophage"	0.0302713987473904
"359"	"smooth.muscle.cell"	"fibroblast.1"	0.0288115246098439
"63"	"basal.cell"	"thyroid.follicular.cell"	0.0288065843621399
"118"	"serous.cell.of.epithelium.of.trachea"	"glandular.epithelial.cell"	0.028169014084507
"147"	"connective.tissue.cell"	"myelinating.Schwann.cell"	0.028169014084507
"253"	"mast.cell"	"endothelial.cell.of.artery"	0.0279589934762349
"129"	"endothelial.cell"	"non.myelinating.Schwann.cell"	0.0267441860465116
"227"	"connective.tissue.cell"	"myofibroblast.cell"	0.0264808362369338
"229"	"endothelial.cell"	"myofibroblast.cell"	0.0261818181818182
"130"	"fibroblast"	"non.myelinating.Schwann.cell"	0.0259951259138911
"123"	"basal.cell"	"non.myelinating.Schwann.cell"	0.0252293577981651
"76"	"plasma.cell"	"thyroid.follicular.cell"	0.0251497005988024
"379"	"smooth.muscle.cell"	"fibroblast.2"	0.0247469066366704
"159"	"smooth.muscle.cell"	"myelinating.Schwann.cell"	0.0245358090185676
"143"	"basal.cell"	"myelinating.Schwann.cell"	0.0241545893719807
"180"	"t.cell"	"T.cell"	0.0239852398523985
"78"	"serous.cell.of.epithelium.of.trachea"	"thyroid.follicular.cell"	0.0237489397794741
"146"	"ciliated.cell"	"myelinating.Schwann.cell"	0.0236474381941956
"42"	"b.cell"	"macrophage"	0.0235294117647059
"153"	"mast.cell"	"myelinating.Schwann.cell"	0.0232717316906229
"182"	"b.cell"	"dendritic.cell"	0.02321083172147
"195"	"neutrophil"	"dendritic.cell"	0.0229357798165138
"155"	"neutrophil"	"myelinating.Schwann.cell"	0.0228882833787466
"172"	"macrophage"	"T.cell"	0.0227272727272727
"310"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0224971878515186
"79"	"smooth.muscle.cell"	"thyroid.follicular.cell"	0.0218238503507405
"45"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.021608643457383
"307"	"connective.tissue.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0214830214830215
"149"	"endothelial.cell"	"myelinating.Schwann.cell"	0.0214018191546281
"128"	"double.positive..alpha.beta.thymocyte"	"non.myelinating.Schwann.cell"	0.0213636363636364
"215"	"neutrophil"	"dendritic.cell.1"	0.0209205020920502
"98"	"serous.cell.of.epithelium.of.trachea"	"club.cell"	0.0206896551724138
"247"	"connective.tissue.cell"	"endothelial.cell.of.artery"	0.0206851971557854
"33"	"mast.cell"	"fibroblast"	0.0204326923076923
"275"	"neutrophil"	"capillary.endothelial.cell"	0.0198383541513593
"18"	"serous.cell.of.epithelium.of.trachea"	"ciliated.epithelial.cell"	0.0196808510638298
"133"	"mast.cell"	"non.myelinating.Schwann.cell"	0.0196078431372549
"7"	"connective.tissue.cell"	"ciliated.epithelial.cell"	0.0195833333333333
"205"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell.1"	0.0188679245283019
"138"	"serous.cell.of.epithelium.of.trachea"	"non.myelinating.Schwann.cell"	0.0188383045525903
"152"	"macrophage"	"myelinating.Schwann.cell"	0.0187541862022773
"3"	"basal.cell"	"ciliated.epithelial.cell"	0.0187110187110187
"311"	"ionocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0183917878528657
"271"	"ionocyte"	"capillary.endothelial.cell"	0.0183290707587383
"279"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.0183220829315333
"74"	"mucus.secreting.cell"	"thyroid.follicular.cell"	0.0181470869149952
"126"	"ciliated.cell"	"non.myelinating.Schwann.cell"	0.0180045011252813
"230"	"fibroblast"	"myofibroblast.cell"	0.0179372197309417
"299"	"smooth.muscle.cell"	"vein.endothelial.cell"	0.0178997613365155
"114"	"mucus.secreting.cell"	"glandular.epithelial.cell"	0.0177514792899408
"15"	"neutrophil"	"ciliated.epithelial.cell"	0.0177335640138408
"319"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0174757281553398
"145"	"cd8.positive..alpha.beta.t.cell"	"myelinating.Schwann.cell"	0.0172155688622754
"251"	"ionocyte"	"endothelial.cell.of.artery"	0.0171849427168576
"13"	"mast.cell"	"ciliated.epithelial.cell"	0.0170278637770898
"68"	"double.positive..alpha.beta.thymocyte"	"thyroid.follicular.cell"	0.0169811320754717
"315"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0169491525423729
"272"	"macrophage"	"capillary.endothelial.cell"	0.0167487684729064
"66"	"ciliated.cell"	"thyroid.follicular.cell"	0.0166666666666667
"91"	"ionocyte"	"club.cell"	0.0166156536947967
"14"	"mucus.secreting.cell"	"ciliated.epithelial.cell"	0.0165998855180309
"338"	"serous.cell.of.epithelium.of.trachea"	"chondrocyte"	0.0165184243964422
"231"	"ionocyte"	"myofibroblast.cell"	0.0162254483347566
"132"	"macrophage"	"non.myelinating.Schwann.cell"	0.0162241887905605
"308"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0161030595813204
"86"	"ciliated.cell"	"club.cell"	0.0158730158730159
"235"	"neutrophil"	"myofibroblast.cell"	0.0154639175257732
"285"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.015220700152207
"268"	"double.positive..alpha.beta.thymocyte"	"capillary.endothelial.cell"	0.0149492792311799
"213"	"mast.cell"	"dendritic.cell.1"	0.0145278450363196
"73"	"mast.cell"	"thyroid.follicular.cell"	0.0144810941271118
"263"	"basal.cell"	"capillary.endothelial.cell"	0.0142711518858308
"233"	"mast.cell"	"myofibroblast.cell"	0.0142421159715158
"313"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0142276422764228
"184"	"cd4.positive..alpha.beta.t.cell"	"dendritic.cell"	0.014218009478673
"72"	"macrophage"	"thyroid.follicular.cell"	0.0141843971631206
"259"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0140721196130167
"117"	"secretory.cell"	"glandular.epithelial.cell"	0.013986013986014
"295"	"neutrophil"	"vein.endothelial.cell"	0.0136869118905047
"245"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0136268343815514
"185"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0135823429541596
"75"	"neutrophil"	"thyroid.follicular.cell"	0.013571869216533
"242"	"b.cell"	"endothelial.cell.of.artery"	0.0135287485907554
"203"	"basal.cell"	"dendritic.cell.1"	0.0134803921568627
"48"	"double.positive..alpha.beta.thymocyte"	"macrophage"	0.0134625740441572
"141"	"goblet.cell"	"myelinating.Schwann.cell"	0.0134387351778656
