Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type	PrEDiCT score	Number of causal genes	Affected cell type (1=Yes, 0=No)
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd4-positive, alpha-beta t cell	0.42737652389056296	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd8-positive, alpha-beta t cell	1.05945589649678	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd24 neutrophil	-0.9305063680138279	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	erythrocyte	-0.964527425805946	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	erythroid progenitor	-0.10199480910493199	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	granulocyte	0.0560481526840802	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	hematopoietic stem cell	2.18778004753269	1	1
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	macrophage	0.25015937293609397	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	memory b cell	-0.478557962851834	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	monocyte	-0.284361562662475	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	myeloid progenitor	0.0963722616349517	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	naive b cell	-0.964527425805946	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	nampt neutrophil	-0.964527425805946	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	neutrophil	-0.964527425805946	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	nk cell	1.9465546731496102	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	plasma cell	-0.3702165224679121	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	cd4-positive, alpha-beta t cell	-0.332537021876637	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	cd8-positive, alpha-beta t cell	-0.321644780022099	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	cd24 neutrophil	-0.33553562227551503	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	erythrocyte	-0.231227953556858	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	erythroid progenitor	3.62447404163302	1	1
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	granulocyte	-0.33697281345469	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	hematopoietic stem cell	-0.313073557379795	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	macrophage	-0.337576839652129	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	memory b cell	-0.249911986372471	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	monocyte	-0.311536117366522	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	myeloid progenitor	0.710024163201238	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	naive b cell	-0.257128124229589	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	nampt neutrophil	-0.32170762708510997	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	neutrophil	-0.337576839652129	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	nk cell	-0.337576839652129	1	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	plasma cell	-0.31049208225858504	1	0
PS105650	Diamond-Blackfan anemia	cd4-positive, alpha-beta t cell	1.12518138990287	19	0
PS105650	Diamond-Blackfan anemia	cd8-positive, alpha-beta t cell	0.33840863806451904	19	0
PS105650	Diamond-Blackfan anemia	cd24 neutrophil	-1.25506345404438	19	0
PS105650	Diamond-Blackfan anemia	erythrocyte	-1.27495787536303	19	0
PS105650	Diamond-Blackfan anemia	erythroid progenitor	0.8087788058366859	19	0
PS105650	Diamond-Blackfan anemia	granulocyte	0.18372972798099801	19	0
PS105650	Diamond-Blackfan anemia	hematopoietic stem cell	1.12075538663762	19	0
PS105650	Diamond-Blackfan anemia	macrophage	0.229251204052448	19	0
PS105650	Diamond-Blackfan anemia	memory b cell	0.937671157919505	19	0
PS105650	Diamond-Blackfan anemia	monocyte	-0.215893378569538	19	0
PS105650	Diamond-Blackfan anemia	myeloid progenitor	0.869452750710925	19	0
PS105650	Diamond-Blackfan anemia	naive b cell	0.8470138834217771	19	0
PS105650	Diamond-Blackfan anemia	nampt neutrophil	-1.3391604159391202	19	0
PS105650	Diamond-Blackfan anemia	neutrophil	-1.33443329516419	19	0
PS105650	Diamond-Blackfan anemia	nk cell	-0.320012672284745	19	0
PS105650	Diamond-Blackfan anemia	plasma cell	-0.9422979404249929	19	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	cd4-positive, alpha-beta t cell	0.0399276047663128	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	cd8-positive, alpha-beta t cell	-0.0185683464583422	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	cd24 neutrophil	-1.16708589719615	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	erythrocyte	-1.05632664449298	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	erythroid progenitor	0.744884510865673	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	granulocyte	1.1471914830875	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	hematopoietic stem cell	0.39032509119133896	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	macrophage	-0.46293498713917797	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	memory b cell	0.218468620034797	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	monocyte	0.47220621653503403	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	myeloid progenitor	2.3968602440446802	1	1
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	naive b cell	0.804993072235332	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	nampt neutrophil	-1.23364728083229	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	neutrophil	-1.08197974062776	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	nk cell	-0.270688734964076	1	0
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	plasma cell	-0.9236252110498921	1	0
116920	Leukocyte Adhesion Deficiency, Type I	cd4-positive, alpha-beta t cell	-0.439141900407845	1	0
116920	Leukocyte Adhesion Deficiency, Type I	cd8-positive, alpha-beta t cell	0.17964879292516298	1	0
116920	Leukocyte Adhesion Deficiency, Type I	cd24 neutrophil	0.7308310315781501	1	0
116920	Leukocyte Adhesion Deficiency, Type I	erythrocyte	-1.07770761789492	1	0
116920	Leukocyte Adhesion Deficiency, Type I	erythroid progenitor	-1.0505107499711	1	0
116920	Leukocyte Adhesion Deficiency, Type I	granulocyte	0.259047051585777	1	0
116920	Leukocyte Adhesion Deficiency, Type I	hematopoietic stem cell	-0.901818380148481	1	0
116920	Leukocyte Adhesion Deficiency, Type I	macrophage	1.11194038073587	1	0
116920	Leukocyte Adhesion Deficiency, Type I	memory b cell	-0.815428616056871	1	0
116920	Leukocyte Adhesion Deficiency, Type I	monocyte	0.898591944314959	1	0
116920	Leukocyte Adhesion Deficiency, Type I	myeloid progenitor	-1.02995374702109	1	0
116920	Leukocyte Adhesion Deficiency, Type I	naive b cell	-0.8348856183730691	1	0
116920	Leukocyte Adhesion Deficiency, Type I	nampt neutrophil	1.48948053189953	1	0
116920	Leukocyte Adhesion Deficiency, Type I	neutrophil	1.4512216565976201	1	0
116920	Leukocyte Adhesion Deficiency, Type I	nk cell	1.08758746270187	1	0
116920	Leukocyte Adhesion Deficiency, Type I	plasma cell	-1.05890222246557	1	0
PS120100	Familial cold autoinflammatory syndrome	cd4-positive, alpha-beta t cell	-0.4599558177835365	2	0
PS120100	Familial cold autoinflammatory syndrome	cd8-positive, alpha-beta t cell	-0.5539161401285155	2	0
PS120100	Familial cold autoinflammatory syndrome	cd24 neutrophil	0.5378068976237991	2	0
PS120100	Familial cold autoinflammatory syndrome	erythrocyte	-0.6019886085535845	2	0
PS120100	Familial cold autoinflammatory syndrome	erythroid progenitor	-0.5819892840762375	2	0
PS120100	Familial cold autoinflammatory syndrome	granulocyte	0.5807935482717619	2	0
PS120100	Familial cold autoinflammatory syndrome	hematopoietic stem cell	-0.392810602641979	2	0
PS120100	Familial cold autoinflammatory syndrome	macrophage	0.9052188939171131	2	0
PS120100	Familial cold autoinflammatory syndrome	memory b cell	-0.5826524450787665	2	0
PS120100	Familial cold autoinflammatory syndrome	monocyte	1.0122207086454131	2	0
PS120100	Familial cold autoinflammatory syndrome	myeloid progenitor	-0.537168201369153	2	0
PS120100	Familial cold autoinflammatory syndrome	naive b cell	-0.6019886085535845	2	0
PS120100	Familial cold autoinflammatory syndrome	nampt neutrophil	1.4550743731251852	2	0
PS120100	Familial cold autoinflammatory syndrome	neutrophil	0.9464940449641309	2	0
PS120100	Familial cold autoinflammatory syndrome	nk cell	-0.530212751348602	2	0
PS120100	Familial cold autoinflammatory syndrome	plasma cell	-0.594926007013447	2	0
PS124900	Deafness, autosomal dominant	cd4-positive, alpha-beta t cell	-0.145205080544367	1	0
PS124900	Deafness, autosomal dominant	cd8-positive, alpha-beta t cell	0.49121478759981996	1	0
PS124900	Deafness, autosomal dominant	cd24 neutrophil	1.8584916761703798	1	0
PS124900	Deafness, autosomal dominant	erythrocyte	-1.33999924474951	1	0
PS124900	Deafness, autosomal dominant	erythroid progenitor	-0.686565896834067	1	0
PS124900	Deafness, autosomal dominant	granulocyte	0.401560559057918	1	0
PS124900	Deafness, autosomal dominant	hematopoietic stem cell	-0.722800822674656	1	0
PS124900	Deafness, autosomal dominant	macrophage	-0.358812865489418	1	0
PS124900	Deafness, autosomal dominant	memory b cell	-0.7753685894655359	1	0
PS124900	Deafness, autosomal dominant	monocyte	0.12384578150951199	1	0
PS124900	Deafness, autosomal dominant	myeloid progenitor	-0.224752014931756	1	0
PS124900	Deafness, autosomal dominant	naive b cell	-0.9831229415360391	1	0
PS124900	Deafness, autosomal dominant	nampt neutrophil	0.9889479323969829	1	0
PS124900	Deafness, autosomal dominant	neutrophil	1.7367107518163702	1	0
PS124900	Deafness, autosomal dominant	nk cell	0.938231919292491	1	0
PS124900	Deafness, autosomal dominant	plasma cell	-1.3023759516181201	1	0
PS127000	Kenny-Caffey syndrome	cd4-positive, alpha-beta t cell	-0.37597316222910204	1	0
PS127000	Kenny-Caffey syndrome	cd8-positive, alpha-beta t cell	0.35800923449190003	1	0
PS127000	Kenny-Caffey syndrome	cd24 neutrophil	0.09918473141239999	1	0
PS127000	Kenny-Caffey syndrome	erythrocyte	-1.25597266251605	1	0
PS127000	Kenny-Caffey syndrome	erythroid progenitor	-0.390494942479918	1	0
PS127000	Kenny-Caffey syndrome	granulocyte	2.89708370745527	1	1
PS127000	Kenny-Caffey syndrome	hematopoietic stem cell	-0.243926452701075	1	0
PS127000	Kenny-Caffey syndrome	macrophage	-0.39837585718728996	1	0
PS127000	Kenny-Caffey syndrome	memory b cell	-0.5067368342159749	1	0
PS127000	Kenny-Caffey syndrome	monocyte	0.183184965282849	1	0
PS127000	Kenny-Caffey syndrome	myeloid progenitor	0.281043942321547	1	0
PS127000	Kenny-Caffey syndrome	naive b cell	0.0108493026958948	1	0
PS127000	Kenny-Caffey syndrome	nampt neutrophil	-0.741649325580629	1	0
PS127000	Kenny-Caffey syndrome	neutrophil	-0.14739112650787	1	0
PS127000	Kenny-Caffey syndrome	nk cell	1.4216174907713703	1	0
PS127000	Kenny-Caffey syndrome	plasma cell	-1.19045301101332	1	0
PS127550	Dyskeratosis congenita	cd4-positive, alpha-beta t cell	-0.127628270335227	5	0
PS127550	Dyskeratosis congenita	cd8-positive, alpha-beta t cell	-0.224135001309265	5	0
PS127550	Dyskeratosis congenita	cd24 neutrophil	-0.7538548860610649	5	0
PS127550	Dyskeratosis congenita	erythrocyte	-1.32081460840793	5	0
PS127550	Dyskeratosis congenita	erythroid progenitor	0.913806926195582	5	0
PS127550	Dyskeratosis congenita	granulocyte	-0.0216418244313323	5	0
PS127550	Dyskeratosis congenita	hematopoietic stem cell	0.23837510861468603	5	0
PS127550	Dyskeratosis congenita	macrophage	0.0855448056419799	5	0
PS127550	Dyskeratosis congenita	memory b cell	0.07919022285021801	5	0
PS127550	Dyskeratosis congenita	monocyte	-0.15796751793858999	5	0
PS127550	Dyskeratosis congenita	myeloid progenitor	0.0889246020709318	5	0
PS127550	Dyskeratosis congenita	naive b cell	-0.20877845364511396	5	0
PS127550	Dyskeratosis congenita	nampt neutrophil	-0.8551163254765859	5	0
PS127550	Dyskeratosis congenita	neutrophil	-0.8799469988975509	5	0
PS127550	Dyskeratosis congenita	nk cell	-0.085071729606972	5	0
PS127550	Dyskeratosis congenita	plasma cell	-0.8140359696141508	5	0
PS130000	Ehlers-Danlos syndrome	cd4-positive, alpha-beta t cell	-0.38395123653867047	6	0
PS130000	Ehlers-Danlos syndrome	cd8-positive, alpha-beta t cell	-0.44109042185068303	6	0
PS130000	Ehlers-Danlos syndrome	cd24 neutrophil	-0.5603475736832481	6	0
PS130000	Ehlers-Danlos syndrome	erythrocyte	-0.9135247545917284	6	0
PS130000	Ehlers-Danlos syndrome	erythroid progenitor	-0.131733957348736	6	0
PS130000	Ehlers-Danlos syndrome	granulocyte	0.012808674356971902	6	0
PS130000	Ehlers-Danlos syndrome	hematopoietic stem cell	0.12587786421825853	6	0
PS130000	Ehlers-Danlos syndrome	macrophage	-0.5044427228356195	6	0
PS130000	Ehlers-Danlos syndrome	memory b cell	-0.2779601685623555	6	0
PS130000	Ehlers-Danlos syndrome	monocyte	0.372610095247022	6	0
PS130000	Ehlers-Danlos syndrome	myeloid progenitor	-0.14457657863274342	6	0
PS130000	Ehlers-Danlos syndrome	naive b cell	-0.027235074312976476	6	0
PS130000	Ehlers-Danlos syndrome	nampt neutrophil	-0.5561146650609136	6	0
PS130000	Ehlers-Danlos syndrome	neutrophil	-0.568952683823721	6	0
PS130000	Ehlers-Danlos syndrome	nk cell	0.007181358515631481	6	0
PS130000	Ehlers-Danlos syndrome	plasma cell	-0.2669884466798755	6	0
130600	Elliptocytosis 2	cd4-positive, alpha-beta t cell	-0.291877380313139	1	0
130600	Elliptocytosis 2	cd8-positive, alpha-beta t cell	-0.29595260763547604	1	0
130600	Elliptocytosis 2	cd24 neutrophil	-0.291274811905961	1	0
130600	Elliptocytosis 2	erythrocyte	3.7155586858048397	1	1
130600	Elliptocytosis 2	erythroid progenitor	0.239570504045167	1	0
130600	Elliptocytosis 2	granulocyte	-0.29474950538103	1	0
130600	Elliptocytosis 2	hematopoietic stem cell	-0.28905438100743297	1	0
130600	Elliptocytosis 2	macrophage	-0.294600730420197	1	0
130600	Elliptocytosis 2	memory b cell	-0.29206937902574603	1	0
130600	Elliptocytosis 2	monocyte	-0.286583427053936	1	0
130600	Elliptocytosis 2	myeloid progenitor	-0.147031132642506	1	0
130600	Elliptocytosis 2	naive b cell	-0.29595260763547604	1	0
130600	Elliptocytosis 2	nampt neutrophil	-0.29595260763547604	1	0
130600	Elliptocytosis 2	neutrophil	-0.292923695227766	1	0
130600	Elliptocytosis 2	nk cell	-0.291459151255201	1	0
130600	Elliptocytosis 2	plasma cell	-0.295647772710664	1	0
PS133100	Erythrocytosis, familial	cd4-positive, alpha-beta t cell	-0.31815494233248104	3	0
PS133100	Erythrocytosis, familial	cd8-positive, alpha-beta t cell	-0.192906941600875	3	0
PS133100	Erythrocytosis, familial	cd24 neutrophil	0.6755419223457371	3	0
PS133100	Erythrocytosis, familial	erythrocyte	-0.7158522485308408	3	0
PS133100	Erythrocytosis, familial	erythroid progenitor	-0.0997263517134079	3	0
PS133100	Erythrocytosis, familial	granulocyte	-0.278479123176812	3	0
PS133100	Erythrocytosis, familial	hematopoietic stem cell	-0.27595450693718604	3	0
PS133100	Erythrocytosis, familial	macrophage	-0.361534759434883	3	0
PS133100	Erythrocytosis, familial	memory b cell	-0.433602704193916	3	0
PS133100	Erythrocytosis, familial	monocyte	-0.293052926221447	3	0
PS133100	Erythrocytosis, familial	myeloid progenitor	0.15914360707214	3	0
PS133100	Erythrocytosis, familial	naive b cell	-0.49433721296019895	3	0
PS133100	Erythrocytosis, familial	nampt neutrophil	-0.369821832572354	3	0
PS133100	Erythrocytosis, familial	neutrophil	-0.51764406026572	3	0
PS133100	Erythrocytosis, familial	nk cell	-0.22987167107053	3	0
PS133100	Erythrocytosis, familial	plasma cell	-0.571866502879957	3	0
PS231200	Bleeding disorder, platelet-type	cd4-positive, alpha-beta t cell	-0.36684781383326703	12	0
PS231200	Bleeding disorder, platelet-type	cd8-positive, alpha-beta t cell	-0.368016066603324	12	0
PS231200	Bleeding disorder, platelet-type	cd24 neutrophil	-0.3199519101211025	12	0
PS231200	Bleeding disorder, platelet-type	erythrocyte	-0.5552476977887806	12	0
PS231200	Bleeding disorder, platelet-type	erythroid progenitor	-0.24767109919406088	12	0
PS231200	Bleeding disorder, platelet-type	granulocyte	-0.276724386777798	12	0
PS231200	Bleeding disorder, platelet-type	hematopoietic stem cell	-0.09369779260781844	12	0
PS231200	Bleeding disorder, platelet-type	macrophage	-0.30489000345544603	12	0
PS231200	Bleeding disorder, platelet-type	memory b cell	-0.40657648666748647	12	0
PS231200	Bleeding disorder, platelet-type	monocyte	-0.2597990664459095	12	0
PS231200	Bleeding disorder, platelet-type	myeloid progenitor	-0.0004827089708007992	12	0
PS231200	Bleeding disorder, platelet-type	naive b cell	-0.42815341024868697	12	0
PS231200	Bleeding disorder, platelet-type	nampt neutrophil	-0.3228462928255985	12	0
PS231200	Bleeding disorder, platelet-type	neutrophil	-0.21954503015382648	12	0
PS231200	Bleeding disorder, platelet-type	nk cell	-0.2703297250590705	12	0
PS231200	Bleeding disorder, platelet-type	plasma cell	-0.6399032304160206	12	0
140700	Heinz Body Anemias	cd4-positive, alpha-beta t cell	-0.27436516204655903	3	0
140700	Heinz Body Anemias	cd8-positive, alpha-beta t cell	-0.275162477246403	3	0
140700	Heinz Body Anemias	cd24 neutrophil	-0.27138810996728396	3	0
140700	Heinz Body Anemias	erythrocyte	3.7325086731029904	3	1
