Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type	PrEDiCT score	Number of causal genes	Affected cell type (1=Yes, 0=No)
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	capillary endothelial cell	0.0191723680016519	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	cd4-positive, alpha-beta t cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	cd8-positive, alpha-beta t cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	endothelial cell of artery	4.077907112331291	1	1
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	endothelial cell of lymphatic vessel	0.35414463210944197	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	endothelial cell of vascular tree	-0.27007237468831197	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	erythrocyte	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	fast muscle cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	macrophage	-0.277350004486947	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	mast cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	mature nk t cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	mesenchymal stem cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	mesothelial cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	pericyte cell	-0.20133437354949899	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	skeletal muscle satellite stem cell	-0.282078886354992	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	slow muscle cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	smooth muscle cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	t cell	-0.285032372780219	1	0
100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality Andcryptorchidism	tendon cell	-0.285032372780219	1	0
PS100300	Adams-Oliver syndrome	capillary endothelial cell	2.2082601729952254	2	1
PS100300	Adams-Oliver syndrome	cd4-positive, alpha-beta t cell	-0.5945982645995809	2	0
PS100300	Adams-Oliver syndrome	cd8-positive, alpha-beta t cell	-0.6013922629758764	2	0
PS100300	Adams-Oliver syndrome	endothelial cell of artery	1.85785094335631	2	0
PS100300	Adams-Oliver syndrome	endothelial cell of lymphatic vessel	1.360480139835545	2	0
PS100300	Adams-Oliver syndrome	endothelial cell of vascular tree	1.11743836791111	2	0
PS100300	Adams-Oliver syndrome	erythrocyte	-0.35749876911867695	2	0
PS100300	Adams-Oliver syndrome	fast muscle cell	-0.651068560147144	2	0
PS100300	Adams-Oliver syndrome	macrophage	-0.24396139287138208	2	0
PS100300	Adams-Oliver syndrome	mast cell	-0.661590219011843	2	0
PS100300	Adams-Oliver syndrome	mature nk t cell	-0.661590219011843	2	0
PS100300	Adams-Oliver syndrome	mesenchymal stem cell	-0.46065217612711096	2	0
PS100300	Adams-Oliver syndrome	mesothelial cell	-0.661590219011843	2	0
PS100300	Adams-Oliver syndrome	pericyte cell	0.7584786853112161	2	0
PS100300	Adams-Oliver syndrome	skeletal muscle satellite stem cell	-0.525053311690696	2	0
PS100300	Adams-Oliver syndrome	slow muscle cell	-0.661590219011843	2	0
PS100300	Adams-Oliver syndrome	smooth muscle cell	-0.4252636026142485	2	0
PS100300	Adams-Oliver syndrome	t cell	-0.580461499319457	2	0
PS100300	Adams-Oliver syndrome	tendon cell	-0.21619759389786555	2	0
103050	Adenylosuccinase Deficiency	capillary endothelial cell	-0.337330731330441	1	0
103050	Adenylosuccinase Deficiency	cd4-positive, alpha-beta t cell	-0.04659021437915901	1	0
103050	Adenylosuccinase Deficiency	cd8-positive, alpha-beta t cell	-0.431210181543372	1	0
103050	Adenylosuccinase Deficiency	endothelial cell of artery	-0.46758802638179	1	0
103050	Adenylosuccinase Deficiency	endothelial cell of lymphatic vessel	-0.269462934155316	1	0
103050	Adenylosuccinase Deficiency	endothelial cell of vascular tree	-0.38073062403620206	1	0
103050	Adenylosuccinase Deficiency	erythrocyte	-0.6277191510729749	1	0
103050	Adenylosuccinase Deficiency	fast muscle cell	3.5788596161578305	1	1
103050	Adenylosuccinase Deficiency	macrophage	-0.42596541460064397	1	0
103050	Adenylosuccinase Deficiency	mast cell	0.131322646073467	1	0
103050	Adenylosuccinase Deficiency	mature nk t cell	0.170925137140622	1	0
103050	Adenylosuccinase Deficiency	mesenchymal stem cell	-0.40550708301112504	1	0
103050	Adenylosuccinase Deficiency	mesothelial cell	-0.367265323984799	1	0
103050	Adenylosuccinase Deficiency	pericyte cell	-0.429150318859505	1	0
103050	Adenylosuccinase Deficiency	skeletal muscle satellite stem cell	-0.22516300853228302	1	0
103050	Adenylosuccinase Deficiency	slow muscle cell	1.68847877022367	1	0
103050	Adenylosuccinase Deficiency	smooth muscle cell	-0.377612469798209	1	0
103050	Adenylosuccinase Deficiency	t cell	-0.412674953247618	1	0
103050	Adenylosuccinase Deficiency	tendon cell	-0.36561573466214703	1	0
105120	Amyloidosis V	capillary endothelial cell	0.4536191466777871	1	0
105120	Amyloidosis V	cd4-positive, alpha-beta t cell	-0.5653779957731739	1	0
105120	Amyloidosis V	cd8-positive, alpha-beta t cell	-0.5696321394360289	1	0
105120	Amyloidosis V	endothelial cell of artery	0.25959097311760804	1	0
105120	Amyloidosis V	endothelial cell of lymphatic vessel	-0.38522352826584705	1	0
105120	Amyloidosis V	endothelial cell of vascular tree	0.31400198879042995	1	0
105120	Amyloidosis V	erythrocyte	-0.5078434447953549	1	0
105120	Amyloidosis V	fast muscle cell	-0.540673345636723	1	0
105120	Amyloidosis V	macrophage	-0.39733234200656603	1	0
105120	Amyloidosis V	mast cell	-0.49470356893888706	1	0
105120	Amyloidosis V	mature nk t cell	-0.5683709156999771	1	0
105120	Amyloidosis V	mesenchymal stem cell	3.52851264263868	1	1
105120	Amyloidosis V	mesothelial cell	-0.514077491692892	1	0
105120	Amyloidosis V	pericyte cell	0.255634240369944	1	0
105120	Amyloidosis V	skeletal muscle satellite stem cell	-0.480124401355806	1	0
105120	Amyloidosis V	slow muscle cell	-0.49846513581173907	1	0
105120	Amyloidosis V	smooth muscle cell	-0.146994671644355	1	0
105120	Amyloidosis V	t cell	-0.548918409372539	1	0
105120	Amyloidosis V	tendon cell	1.40637839883544	1	0
PS105400	Amyotrophic lateral sclerosis	capillary endothelial cell	-0.245713593981292	21	0
PS105400	Amyotrophic lateral sclerosis	cd4-positive, alpha-beta t cell	-0.26719386449982	21	0
PS105400	Amyotrophic lateral sclerosis	cd8-positive, alpha-beta t cell	-0.215247022448392	21	0
PS105400	Amyotrophic lateral sclerosis	endothelial cell of artery	0.0414230927986693	21	0
PS105400	Amyotrophic lateral sclerosis	endothelial cell of lymphatic vessel	-0.0471640432179742	21	0
PS105400	Amyotrophic lateral sclerosis	endothelial cell of vascular tree	-0.0766059183453313	21	0
PS105400	Amyotrophic lateral sclerosis	erythrocyte	-1.60949717397634	21	0
PS105400	Amyotrophic lateral sclerosis	fast muscle cell	-0.39862393800360096	21	0
PS105400	Amyotrophic lateral sclerosis	macrophage	0.0473628763189384	21	0
PS105400	Amyotrophic lateral sclerosis	mast cell	-0.125527795352988	21	0
PS105400	Amyotrophic lateral sclerosis	mature nk t cell	-0.180726750333932	21	0
