Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type	PrEDiCT score	Number of causal genes	Affected cell type (1=Yes, 0=No)
105830	Angelman Syndrome	basal cell	-0.100141371240729	1	0
105830	Angelman Syndrome	capillary endothelial cell	1.65377779465981	1	0
105830	Angelman Syndrome	endothelial cell of artery	0.8523943933466558	1	0
105830	Angelman Syndrome	endothelial cell of lymphatic vessel	-0.13253499881664998	1	0
105830	Angelman Syndrome	epithelial cell	-2.09174292263561	1	0
105830	Angelman Syndrome	fibroblast	-0.0344757987688619	1	0
105830	Angelman Syndrome	immune cell	0.162161168758641	1	0
105830	Angelman Syndrome	keratinocyte	-1.3608010200187	1	0
105830	Angelman Syndrome	pericyte cell	-0.226758158558065	1	0
105830	Angelman Syndrome	schwann cell	0.91810054588169	1	0
105830	Angelman Syndrome	tongue muscle cell	-0.20538641775032399	1	0
105830	Angelman Syndrome	vein endothelial cell	0.5654067851421429	1	0
117650	Cerebrocostomandibular Syndrome	basal cell	0.526711722294016	1	0
117650	Cerebrocostomandibular Syndrome	capillary endothelial cell	-0.291254148085945	1	0
117650	Cerebrocostomandibular Syndrome	endothelial cell of artery	-0.47404713501519896	1	0
117650	Cerebrocostomandibular Syndrome	endothelial cell of lymphatic vessel	1.0218817027168199	1	0
117650	Cerebrocostomandibular Syndrome	epithelial cell	2.4793955987361898	1	1
117650	Cerebrocostomandibular Syndrome	fibroblast	-1.32720097891633	1	0
117650	Cerebrocostomandibular Syndrome	immune cell	0.39354582159767004	1	0
117650	Cerebrocostomandibular Syndrome	keratinocyte	-0.13318552690525	1	0
117650	Cerebrocostomandibular Syndrome	pericyte cell	-0.594728105269482	1	0
117650	Cerebrocostomandibular Syndrome	schwann cell	-0.7552050672382371	1	0
117650	Cerebrocostomandibular Syndrome	tongue muscle cell	-0.37061265747819605	1	0
117650	Cerebrocostomandibular Syndrome	vein endothelial cell	-0.47530122643604905	1	0
130650	Beckwith-wiedemann Syndrome	basal cell	0.274594571540375	2	0
130650	Beckwith-wiedemann Syndrome	capillary endothelial cell	1.0783280925317997	2	0
130650	Beckwith-wiedemann Syndrome	endothelial cell of artery	-0.482228770310419	2	0
130650	Beckwith-wiedemann Syndrome	endothelial cell of lymphatic vessel	-0.05965724068944203	2	0
130650	Beckwith-wiedemann Syndrome	epithelial cell	-0.8892686208463045	2	0
130650	Beckwith-wiedemann Syndrome	fibroblast	0.5636623232162735	2	0
130650	Beckwith-wiedemann Syndrome	immune cell	-0.61934549799327	2	0
130650	Beckwith-wiedemann Syndrome	keratinocyte	-0.5018027000906881	2	0
130650	Beckwith-wiedemann Syndrome	pericyte cell	-0.43582797129821005	2	0
130650	Beckwith-wiedemann Syndrome	schwann cell	-0.5978828022883019	2	0
130650	Beckwith-wiedemann Syndrome	tongue muscle cell	2.01822385217842	2	1
130650	Beckwith-wiedemann Syndrome	vein endothelial cell	-0.348795235950237	2	0
146510	Pallister-hall Syndrome 1	basal cell	0.247405993827485	1	0
146510	Pallister-hall Syndrome 1	capillary endothelial cell	-0.334973924232719	1	0
146510	Pallister-hall Syndrome 1	endothelial cell of artery	-0.8093094513339959	1	0
146510	Pallister-hall Syndrome 1	endothelial cell of lymphatic vessel	-0.6096911474907221	1	0
146510	Pallister-hall Syndrome 1	epithelial cell	-0.5138797702495661	1	0
146510	Pallister-hall Syndrome 1	fibroblast	2.74911176467808	1	1
146510	Pallister-hall Syndrome 1	immune cell	-0.7776104191134999	1	0
146510	Pallister-hall Syndrome 1	keratinocyte	-0.6298354454999611	1	0
146510	Pallister-hall Syndrome 1	pericyte cell	0.34788574248061893	1	0
146510	Pallister-hall Syndrome 1	schwann cell	0.300721463368299	1	0
146510	Pallister-hall Syndrome 1	tongue muscle cell	0.63351541640507	1	0
146510	Pallister-hall Syndrome 1	vein endothelial cell	-0.603340222839092	1	0
PS148210	Keratitis-ichthyosis-deafness syndrome	basal cell	1.22053530099712	1	0
