Disease\Phenotypic series accession (OMIM)	Disease\Phenotypic series name (OMIM)	Cell type	PrEDiCT score	Number of causal genes	Affected cell type (1=Yes, 0=No)
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd1c-positive myeloid dendritic cell	0.590973931577997	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd4-positive, alpha-beta memory t cell	-0.246022012418084	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd8-positive, alpha-beta memory t cell	0.849712753536766	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd8-positive, alpha-beta t cell	0.5275520541432179	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	cd141-positive myeloid dendritic cell	0.6579186982532379	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	classical monocyte	-0.464748293591902	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	endothelial cell	-1.17506613855202	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	erythrocyte	-1.38375299957825	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	hematopoietic stem cell	0.0394489403689946	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	innate lymphoid cell	-0.40743788566472394	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	intermediate monocyte	-1.2983592059501001	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	macrophage	2.4333953994709705	1	1
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	mature nk t cell	-0.245487203237508	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	memory b cell	-0.8342213637420759	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	naive b cell	-1.14991736919858	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	naive thymus-derived cd4-positive, alpha-beta t cell	-0.46809827578926505	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	naive thymus-derived cd8-positive, alpha-beta t cell	0.196004862598026	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	neutrophil	-1.2456709285016598	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	nk cell	2.03065648507804	1	1
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	plasma cell	0.6757873004210929	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	plasmacytoid dendritic cell	0.822516030881318	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	platelet	-0.662725623659265	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	regulatory t cell	0.370638003904576	1	0
102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-negative, Due To Adenosine Deaminase Deficiency	type i nk t cell	0.38690283964920097	1	0
105200	Amyloidosis, Familial Visceral	cd1c-positive myeloid dendritic cell	0.45685924488124396	2	0
105200	Amyloidosis, Familial Visceral	cd4-positive, alpha-beta memory t cell	-0.030529140944843047	2	0
105200	Amyloidosis, Familial Visceral	cd8-positive, alpha-beta memory t cell	0.3011581891249946	2	0
105200	Amyloidosis, Familial Visceral	cd8-positive, alpha-beta t cell	0.26748622202499694	2	0
105200	Amyloidosis, Familial Visceral	cd141-positive myeloid dendritic cell	1.215913152984098	2	0
105200	Amyloidosis, Familial Visceral	classical monocyte	0.626345284937812	2	0
105200	Amyloidosis, Familial Visceral	endothelial cell	0.04504553870278405	2	0
105200	Amyloidosis, Familial Visceral	erythrocyte	-1.440197882761604	2	0
105200	Amyloidosis, Familial Visceral	hematopoietic stem cell	-0.4460735581634874	2	0
105200	Amyloidosis, Familial Visceral	innate lymphoid cell	-0.20560264138045653	2	0
105200	Amyloidosis, Familial Visceral	intermediate monocyte	0.5062130165798797	2	0
105200	Amyloidosis, Familial Visceral	macrophage	-0.14131814528180603	2	0
105200	Amyloidosis, Familial Visceral	mature nk t cell	0.042217336371239034	2	0
105200	Amyloidosis, Familial Visceral	memory b cell	-0.5883761068540889	2	0
105200	Amyloidosis, Familial Visceral	naive b cell	-0.696067884986235	2	0
