Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted (ODiseA)	Human affected cell types	Mouse similar affected cell types
105830	Angelman Syndrome	601623	UBE3A	Ube3a	1	1			1	1			
117650	Cerebrocostomandibular Syndrome	182282	SNRPB	Snrpb	1	1			1	1		['epithelial.cell']	['mesenchymal.stem.cell']
130650	Beckwith-wiedemann Syndrome	616186	ICR1		1	1			0	0			
130650	Beckwith-wiedemann Syndrome	604115	KCNQ1OT1		1	1			1	0			
130650	Beckwith-wiedemann Syndrome	600856	CDKN1C		1	1			1	0			
146510	Pallister-hall Syndrome 1	165240	GLI3	Gli3	1	1			1	0			
148210	"Keratitis-ichthyosis-deafness Syndrome, Autosomal Dominant"	121011	GJB2	Gjb2	1	1	PS148210	Keratitis-ichthyosis-deafness syndrome	1	1		['keratinocyte']	['keratinocyte.1']
151050	Lenz-majewski Hyperostotic Dwarfism	612792	PTDSS1	Ptdss1	1	1			1	1		['schwann.cell']	
158350	Cowden Disease	601728	PTEN	Pten	1	1	PS158350	Cowden disease	1	1			
159950	Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy	613468	ASAH1	Asah1	1	1			1	1		['pericyte.cell']	
174300	Orofaciodigital Syndrome V	615464	DDX59	Ddx59	1	1	PS311200	Orofaciodigital syndrome	1	0			
180700	"Robinow Syndrome, Autosomal Dominant"	164975	WNT5A	Wnt5a	1	1	PS268310	Robinow syndrome	1	1		['fibroblast']	
187300	"Telangiectasia, Hereditary Hemorrhagic, Type 1"	131195	ENG	Eng	1	1	PS187300	"Telangiectasia, hereditary hemorrhagic"	1	0			
201100	"Acrodermatitis Enteropathica, Zinc-deficiency Type"	607059	SLC39A4	Slc39a4	1	1			1	0			
201300	"Neuropathy, Hereditary Sensory And Autonomic, Type Ii"	605232	WNK1	Wnk1	1	1	PS162400	Hereditary sensory and autonomic neuropathy	1	1		['endothelial.cell.of.artery']	
202650	Agnathia-otocephaly Complex	167420	PRRX1	Prrx1	1	1			1	0			
205100	"Amyotrophic Lateral Sclerosis 2, Juvenile"	606352	ALS2	Als2	1	1	PS105400	Amyotrophic lateral sclerosis	1	0			
208400	Aspartylglucosaminuria	613228	AGA	Aga	1	1			1	1			
211530	"Bulbar Palsy, Progressive, With Sensorineural Deafness"	613350	SLC52A3	Slc52a3	1	1	PS211530	Brown-Vialetto-Van Laere syndrome	0	1			
212066	"Congenital Disorder Of Glycosylation, Type Iia"	602616	MGAT2	Mgat2	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1			
213300	Joubert Syndrome 1	613037	INPP5E	Inpp5e	1	1	PS213300	Joubert syndrome	0	0			
214100	Zellweger Syndrome	602136	PEX1	Pex1	1	1	PS214100	Peroxisome biogenesis disorder	1	0		['endothelial.cell.of.lymphatic.vessel']	
217085	"Congenital Heart Defects, Hamartomas Of Tongue, And Polysyndactyly"	613580	WDPCP	Wdpcp	1	1			0	0			
218040	Costello Syndrome	190020	HRAS	Hras	1	1			1	0			
218700	"Hypothyroidism, Congenital, Nongoitrous, 2"	167415	PAX8	Pax8	1	1	PS275200	"Hypothyroidism, congenital, nongoitrous"	0	0			
219000	Fraser Syndrome	607830	FRAS1	Fras1	1	1	PS219000	Fraser syndrome	1	1		['basal.cell']	
223900	"Neuropathy, Hereditary Sensory And Autonomic, Type Iii"	603722	ELP1	Elp1	1	1	PS162400	Hereditary sensory and autonomic neuropathy	1	0		['endothelial.cell.of.artery']	
230000	Fucosidosis	612280	FUCA1	Fuca1	1	1			1	1			
232300	Glycogen Storage Disease Ii	606800	GAA	Gaa	1	1			1	1		['schwann.cell']	
234500	Hartnup Disorder	608893	SLC6A19	Slc6a19	1	1			0	0			
241800	"Hypothalamic Hamartomascongenital Hypothalamic Hamartoma Syndrome, Included"	601500	SMO	Smo	1	1			0	1			
242860	Immunodeficiency-centromeric Instability-facial Anomalies Syndrome1	602900	DNMT3B	Dnmt3b	1	1	PS242860	Immunodeficiency-centromeric instability-facial anomalies	0	0			
248500	"Mannosidosis, Alpha B, Lysosomal"	609458	MAN2B1	Man2b1	1	1			0	1			
249000	"Meckel Syndrome, Type 1"	609883	MKS1	Mks1	1	1	PS249000	Meckel syndrome	0	0			
251900	"Mitochondrial Myopathy, Episodic, With Optic Atrophy And Reversible Leukoencephalopathy"	614585	FDX2	Fdx2	1	1			1	0			
252500	Mucolipidosis Ii Alpha/beta	607840	GNPTAB	Gnptab	1	1			1	0			
253200	Mucopolysaccharidosis Type Vi	611542	ARSB	Arsb	1	1	PS607014	Mucopolysaccharidoses	1	1			
253250	Mulibrey Nanism	605073	TRIM37	Trim37	1	1			1	1			
253300	"Spinal Muscular Atrophy, Type I"	600354	SMN1	Smn1	1	1			0	1			
253400	"Spinal Muscular Atrophy, Type Iii"	601627	SMN2	Smn1	1	1			0	1			
253400	"Spinal Muscular Atrophy, Type Iii"	600354	SMN1	Smn1	1	1			0	1			
253550	"Spinal Muscular Atrophy, Type Ii"	600354	SMN1	Smn1	1	1			0	1			
254940	Carey-fineman-ziter Syndrome	615345	MYMK	Mymk	1	1			0	0			
256040	Proteasome-associated Autoinflammatory Syndrome 1 And Digenic Forms	177046	PSMB8	Psmb8	1	1	PS256040	Proteosome-associated autoinflammatory syndrome	1	1			
257980	Odontoonychodermal Dysplasia	606268	WNT10A	Wnt10a	1	1			1	1		['basal.cell']	
258860	Orofaciodigital Syndrome Iv	613847	TCTN3	Tctn3	1	1	PS311200	Orofaciodigital syndrome	1	0			
259775	Raine Syndrome	611061	FAM20C	Fam20c	1	1			1	1		['fibroblast']	
260660	Pelviscapular Dysplasia	604127	TBX15	Tbx15	1	1			1	0			
261740	"Glycogen Storage Disease Of Heart, Lethal Congenital"	602743	PRKAG2	Prkag2	1	1			1	1			
263520	Short-rib Thoracic Dysplasia 6 With Or Without Polydactyly	604588	NEK1	Nek1	1	1	PS208500	Short-rib thoracic dysplasia	1	0			
266920	Short-rib Thoracic Dysplasia 9 With Or Without Polydactyly	614620	IFT140	Ift140	1	1	PS208500	Short-rib thoracic dysplasia	0	0			
